Bell No,Actual Time,Ideal time from medium response Kalman Filter
1,0,0
2,210,216.522
3,410,433.043
4,650,649.565
5,850,866.087
6,1060,1082.61
7,1290,1299.13
8,1490,1515.65
9,1720,1732.17
10,1970,1948.7
12,2120,2165.22
11,2160,2381.74
1,2570,2598.26
2,2810,2814.78
3,3000,3031.3
4,3180,3247.83
5,3460,3464.35
6,3630,3680.87
7,3840,3897.39
8,4090,4113.91
9,4330,4330.43
10,4530,4546.96
11,4720,4763.48
12,4980,4980
1,5460,5410.17
2,5670,5618.57
3,5840,5826.96
4,6100,6035.36
5,6290,6243.75
6,6460,6452.15
7,6630,6660.54
8,6860,6868.94
9,7100,7077.34
10,7250,7285.73
11,7450,7494.13
12,7690,7702.52
1,7960,7910.92
2,8180,8119.31
3,8350,8327.71
4,8540,8536.1
5,8670,8744.5
6,8900,8952.9
7,9120,9161.29
8,9380,9369.69
9,9560,9578.08
10,9780,9786.48
11,9960,9994.87
12,10220,10203.3
1,10690,10646.6
2,10890,10851.5
3,11080,11056.3
4,11290,11261.2
5,11490,11466.1
6,11680,11670.9
7,11890,11875.8
8,12070,12080.7
9,12280,12285.6
10,12470,12490.4
11,12660,12695.3
12,12870,12900.2
1,13170,13105
2,13350,13309.9
3,13520,13514.8
4,13690,13719.7
5,13890,13924.5
6,14120,14129.4
7,14330,14334.3
8,14520,14539.1
9,14730,14744
10,14930,14948.9
11,15110,15153.8
12,15420,15358.6
1,15870,15822.9
2,16070,16028.4
3,16240,16233.9
4,16470,16439.4
5,16660,16644.9
6,16860,16850.4
7,17080,17055.9
8,17270,17261.4
9,17480,17466.9
10,17660,17672.4
11,17840,17877.9
12,18030,18083.4
1,18370,18288.9
2,18570,18494.4
3,18720,18699.9
4,18880,18905.4
5,19080,19110.9
6,19270,19316.4
7,19490,19521.9
8,19760,19727.4
9,19950,19932.9
10,20150,20138.4
11,20320,20343.9
12,20540,20549.4
1,21040,21007.2
2,21260,21211.7
3,21420,21416.1
4,21650,21620.5
5,21880,21824.9
6,22050,22029.4
7,22240,22233.8
8,22430,22438.2
9,22650,22642.6
10,22800,22847.1
11,23000,23051.5
12,23220,23255.9
1,23490,23460.3
2,23690,23664.7
3,23870,23869.2
4,24060,24073.6
5,24250,24278
6,24490,24482.4
7,24710,24686.9
8,24870,24891.3
9,25120,25095.7
10,25290,25300.1
11,25470,25504.6
12,25740,25709
1,26190,26163
2,26390,26366.2
3,26550,26569.3
4,26790,26772.4
5,26990,26975.5
6,27180,27178.7
7,27390,27381.8
8,27610,27584.9
9,27820,27788
10,28020,27991.1
11,28170,28194.3
12,28370,28397.4
1,28620,28600.5
2,28830,28803.6
3,28980,29006.8
4,29170,29209.9
5,29350,29413
6,29590,29616.1
7,29820,29819.3
8,29960,30022.4
9,30250,30225.5
10,30480,30428.6
11,30650,30631.8
12,30850,30834.9
1,31350,31290.2
2,31530,31493.4
3,31690,31696.6
4,31900,31899.9
5,32080,32103.1
6,32280,32306.3
7,32470,32509.5
8,32740,32712.7
9,32940,32915.9
10,33100,33119.2
11,33280,33322.4
12,33500,33525.6
1,33790,33728.8
2,33960,33932
3,34130,34135.3
4,34320,34338.5
5,34530,34541.7
6,34730,34744.9
7,34940,34948.1
8,35140,35151.3
9,35350,35354.6
10,35570,35557.8
11,35750,35761
12,36010,35964.2
1,36460,36427.1
2,36650,36630.7
3,36810,36834.3
4,37080,37037.8
5,37280,37241.4
6,37450,37445
7,37640,37648.6
8,37870,37852.1
9,38090,38055.7
10,38240,38259.3
11,38420,38462.8
12,38610,38666.4
1,38900,38870
2,39110,39073.5
3,39260,39277.1
4,39480,39480.7
5,39640,39684.3
6,39860,39887.8
7,40110,40091.4
8,40290,40295
9,40510,40498.5
10,40730,40702.1
11,40890,40905.7
12,41130,41109.2
1,41590,41554.5
2,41790,41758.6
3,41950,41962.6
4,42150,42166.6
5,42360,42370.7
6,42530,42574.7
7,42730,42778.8
8,42960,42982.8
9,43210,43186.8
10,43390,43390.9
11,43560,43594.9
12,43750,43798.9
1,44030,44003
2,44240,44207
3,44400,44411
4,44600,44615.1
5,44780,44819.1
6,45010,45023.1
7,45220,45227.2
8,45440,45431.2
9,45640,45635.2
10,45850,45839.3
11,46060,46043.3
12,46310,46247.3
2,46780,46723.1
1,47010,46929.7
4,47170,47136.2
3,47360,47342.8
6,47520,47549.4
5,47740,47756
8,47970,47962.6
7,48180,48169.2
10,48350,48375.8
9,48600,48582.4
12,48760,48789
11,48980,48995.6
1,49200,49202.2
2,49430,49408.8
4,49590,49615.4
6,49830,49822
