 104  1237  3 6 0 5 4 2 8 1 E T 9 7   70
 105  1249  6 3 5 0 2 4 1 8 T E 7 9   -
 106  1261  6 5 3 2 0 4 8 1 T 7 E 9   69
 107  1273  5 6 2 3 4 0 1 8 7 T 9 E   -
 108  1285  6 5 3 2 4 1 0 8 T 7 E 9   58
 109  1297  5 6 2 3 1 4 8 0 7 T 9 E   -
 110  1309  5 2 6 3 4 1 8 7 0 9 T E   47
 111  1321  2 5 3 6 1 4 7 8 9 0 E T   -
 112  1333  5 2 3 1 6 4 8 7 0 9 T E   36
 113  1345  2 5 1 3 4 6 7 8 9 0 E T   -
 114  1357  2 5 3 1 4 7 6 9 8 E 0 T   25
 115  1369  5 2 1 3 7 4 9 6 E 8 T 0   -
 116  1381  5 1 2 3 4 7 6 9 8 E 0 T   4
 117  1393  1 5 3 2 7 4 9 6 E 8 T 0   -
 118  1405  5 1 3 7 2 9 4 E 6 T 8 0   3
 119  1417  1 5 7 3 9 2 E 4 T 6 0 8   -
 120  1429  1 5 3 7 2 9 4 E 6 T 8 0   2
 121  1441  5 1 7 3 9 2 E 4 T 6 0 8   -
 122  1453  1 5 7 9 3 E 2 T 4 0 6 8   3
 123  1465  5 1 9 7 E 3 T 2 0 4 8 6   -
 124  1477  5 9 1 7 3 E 2 T 4 0 6 8   4
 125  1489  9 5 7 1 E 3 T 2 0 4 8 6   -
 126  1501  9 5 1 7 E T 3 0 2 8 4 6   25
 127  1513  5 9 7 1 T E 0 3 8 2 6 4   -
 128  1525  9 5 7 T 1 E 3 0 2 8 4 6   36
 129  1537  5 9 T 7 E 1 0 3 8 2 6 4   -
 130  1549  5 T 9 7 1 E 0 8 3 6 2 4   47
 131  1561  T 5 7 9 E 1 8 0 6 3 4 2   -
 132  1573  5 T 9 7 E 8 1 0 3 6 2 4   58
 133  1585  T 5 7 9 8 E 0 1 6 3 4 2   -
 134  1597  T 7 5 8 9 E 1 0 6 4 3 2   69
 135  1609  7 T 8 5 E 9 0 1 4 6 2 3   -
 136  1621  T 7 5 8 9 E 0 4 1 6 3 2   70
 137  1633  7 T 8 5 E 9 4 0 6 1 2 3   -
 138  1645  7 8 T E 5 4 9 0 1 6 3 2   8
 139  1657  8 7 E T 4 5 0 9 6 1 2 3   -
 140  1669  7 8 T E 5 4 9 0 6 2 1 3   9
 141  1681  8 7 E T 4 5 0 9 2 6 3 1   -
 142  1693  8 E 7 4 T 0 5 2 9 6 1 3   0
 143  1705  E 8 4 7 0 T 2 5 6 9 3 1   -
 144  1717  8 E 7 4 T 0 5 2 9 6 3 1   E
 145  1729  E 8 4 7 0 T 2 5 6 9 1 3   -
 146  1741  E 4 8 0 7 2 T 6 5 9 3 1   0
 147  1753  4 E 0 8 2 7 6 T 9 5 1 3   -
 148  1765  E 4 8 0 7 2 T 6 9 1 5 3   9
 149  1777  4 E 0 8 2 7 6 T 1 9 3 5   -
 150  1789  4 0 E 2 8 6 7 T 9 1 5 3   8
