Bell No,Actual Time,Ideal time from medium response Kalman Filter
1,0,0
2,220,212.174
3,400,424.348
4,640,636.522
5,820,848.696
6,1000,1060.87
7,1240,1273.04
8,1370,1485.22
9,1640,1697.39
10,1910,1909.57
11,2010,2121.74
12,2260,2333.91
1,2530,2546.09
2,2750,2758.26
3,2980,2970.43
4,3160,3182.61
5,3300,3394.78
6,3570,3606.96
7,3810,3819.13
8,3950,4031.3
9,4140,4243.48
10,4400,4455.65
11,4590,4667.83
12,4880,4880
1,5300,5273.53
2,5480,5477.58
3,5680,5681.64
4,5890,5885.7
5,6060,6089.76
6,6270,6293.82
7,6500,6497.88
8,6670,6701.94
9,6880,6905.99
10,7120,7110.05
11,7310,7314.11
12,7500,7518.17
1,7730,7722.23
2,7920,7926.29
3,8130,8130.35
4,8360,8334.41
5,8530,8538.46
6,8730,8742.52
7,8950,8946.58
8,9150,9150.64
9,9310,9354.7
10,9550,9558.76
11,9720,9762.82
12,10000,9966.87
1,10420,10399.9
2,10610,10602.7
3,10820,10805.6
4,11050,11008.5
5,11210,11211.3
6,11450,11414.2
7,11660,11617.1
8,11830,11820
9,12050,12022.8
10,12250,12225.7
11,12400,12428.6
12,12600,12631.4
1,12760,12834.3
2,13030,13037.2
3,13250,13240
4,13470,13442.9
5,13630,13645.8
6,13830,13848.6
7,14110,14051.5
8,14250,14254.4
9,14420,14457.2
10,14640,14660.1
11,14820,14863
12,15120,15065.9
1,15540,15504.5
2,15730,15706.4
3,15960,15908.3
4,16130,16110.1
5,16320,16312
6,16520,16513.9
7,16740,16715.7
8,16870,16917.6
9,17120,17119.5
10,17330,17321.3
11,17510,17523.2
12,17720,17725.1
1,17950,17926.9
2,18150,18128.8
3,18370,18330.7
4,18530,18532.5
5,18720,18734.4
6,18900,18936.3
7,19130,19138.1
8,19320,19340
9,19500,19541.9
10,19740,19743.7
11,19940,19945.6
12,20190,20147.5
1,20640,20588.1
2,20820,20788.9
3,21050,20989.7
4,21210,21190.4
5,21390,21391.2
6,21600,21591.9
7,21780,21792.7
8,21960,21993.5
9,22180,22194.2
10,22400,22395
11,22580,22595.8
12,22770,22796.5
1,23010,22997.3
2,23200,23198
3,23430,23398.8
4,23610,23599.6
5,23770,23800.3
6,23990,24001.1
7,24250,24201.9
8,24390,24402.6
9,24590,24603.4
10,24790,24804.1
11,24990,25004.9
12,25220,25205.7
1,25690,25639.6
2,25860,25839.4
3,26070,26039.3
4,26240,26239.1
5,26410,26438.9
6,26620,26638.7
7,26880,26838.5
8,27010,27038.4
9,27260,27238.2
10,27410,27438
11,27590,27637.8
12,27810,27837.6
1,27990,28037.5
2,28250,28237.3
3,28460,28437.1
4,28670,28636.9
5,28840,28836.7
6,29040,29036.6
7,29270,29236.4
8,29430,29436.2
9,29610,29636
10,29810,29835.8
11,29990,30035.7
12,30310,30235.5
1,30710,30676.7
2,30880,30876.8
3,31090,31077
4,31280,31277.2
5,31470,31477.4
6,31690,31677.5
7,31900,31877.7
8,32090,32077.9
9,32300,32278
10,32480,32478.2
11,32630,32678.4
12,32850,32878.6
1,33090,33078.7
2,33270,33278.9
3,33480,33479.1
4,33670,33679.3
5,33870,33879.4
6,34070,34079.6
7,34310,34279.8
8,34480,34479.9
9,34680,34680.1
10,34890,34880.3
11,35040,35080.5
12,35320,35280.6
1,35760,35721.5
2,35910,35921.4
3,36140,36121.4
4,36320,36321.3
5,36500,36521.2
6,36720,36721.1
7,36960,36921.1
8,37130,37121
9,37350,37320.9
10,37500,37520.8
11,37700,37720.8
12,37870,37920.7
1,38140,38120.6
2,38350,38320.5
3,38540,38520.5
4,38720,38720.4
5,38910,38920.3
6,39100,39120.2
7,39340,39320.2
8,39520,39520.1
9,39710,39720
10,39910,39919.9
11,40080,40119.9
12,40360,40319.8
1,40800,40758.7
2,40980,40959.3
3,41190,41159.8
4,41350,41360.4
5,41520,41560.9
6,41730,41761.4
7,41940,41962
8,42120,42162.5
9,42350,42363.1
10,42630,42563.6
11,42770,42764.2
12,42970,42964.7
1,43190,43165.3
2,43370,43365.8
3,43560,43566.3
4,43740,43766.9
5,43960,43967.4
6,44160,44168
7,44380,44368.5
8,44530,44569.1
9,44730,44769.6
10,45010,44970.1
11,45150,45170.7
12,45440,45371.2
1,45840,45803.9
2,46030,46004.4
3,46210,46204.9
4,46400,46405.5
5,46580,46606
6,46760,46806.5
7,46960,47007.1
8,47190,47207.6
9,47410,47408.1
10,47620,47608.7
11,47780,47809.2
12,48000,48009.7
1,48230,48210.3
2,48430,48410.8
3,48620,48611.4
4,48820,48811.9
5,49010,49012.4
6,49230,49213
7,49430,49413.5
8,49600,49614
9,49810,49814.6
10,50010,50015.1
11,50170,50215.6
12,50470,50416.2
2,50860,50873.7
1,51120,51075.5
4,51320,51277.4
3,51490,51479.3
6,51690,51681.2
5,51930,51883
8,52090,52084.9
7,52340,52286.8
10,52460,52488.7
9,52680,52690.5
12,52860,52892.4
11,53080,53094.3
1,53300,53296.2
2,53500,53498
4,53720,53699.9
6,53880,53901.8
3,54110,54103.7
8,54370,54305.5
5,54550,54507.4
10,54700,54709.3
7,54880,54911.2
12,55140,55113
9,55290,55314.9
11,55470,55516.8
2,55930,55953.6
1,56190,56154.9
6,56330,56356.2
4,56530,56557.5
8,56780,56758.8
3,56980,56960.2
10,57120,57161.5
5,57310,57362.8
12,57570,57564.1
7,57840,57765.4
11,57980,57966.7
9,58150,58168
2,58390,58369.4
6,58570,58570.7
1,58820,58772
4,58970,58973.3
3,59190,59174.6
8,59380,59375.9
5,59540,59577.2
10,59690,59778.6
7,60000,59979.9
12,60170,60181.2
9,60390,60382.5
11,60610,60583.8
6,61030,61024.8
2,61260,61226.4
4,61450,61428
1,61670,61629.7
8,61840,61831.3
3,62060,62032.9
10,62150,62234.5
5,62330,62436.2
12,62620,62637.8
7,62850,62839.4
11,63020,63041.1
9,63220,63242.7
6,63450,63444.3
2,63680,63645.9
1,63890,63847.6
4,64090,64049.2
8,64250,64250.8
10,64420,64452.4
3,64670,64654.1
12,64890,64855.7
5,65070,65057.3
11,65220,65258.9
7,65460,65460.6
9,65660,65662.2
2,66120,66109.9
6,66310,66311.7
4,66520,66513.4
1,66770,66715.2
10,66870,66917
8,67060,67118.7
12,67300,67320.5
3,67550,67522.2
11,67710,67724
5,67930,67925.8
9,68150,68127.5
7,68400,68329.3
6,68560,68531
2,68730,68732.8
4,68960,68934.6
10,69150,69136.3
1,69390,69338.1
8,69510,69539.8
3,69770,69741.6
12,69940,69943.4
5,70130,70145.1
11,70290,70346.9
7,70530,70548.7
9,70730,70750.4
2,71180,71183.3
6,71390,71386.3
10,71620,71589.3
4,71720,71792.3
8,71960,71995.3
1,72210,72198.3
12,72380,72401.3
3,72610,72604.3
11,72810,72807.3
5,72960,73010.3
9,73190,73213.2
7,73410,73416.2
2,73610,73619.2
10,73830,73822.2
6,74010,74025.2
4,74260,74228.2
1,74480,74431.2
8,74580,74634.2
12,74840,74837.2
11,75070,75040.2
3,75300,75243.2
9,75440,75446.2
5,75630,75649.2
7,75860,75852.2
10,76290,76289.4
2,76490,76493.3
4,76700,76697.1
6,76910,76900.9
8,77070,77104.7
1,77290,77308.5
11,77510,77512.3
12,77700,77716.1
9,77890,77920
3,78160,78123.8
7,78370,78327.6
5,78530,78531.4
2,78760,78735.2
10,78910,78939
6,79100,79142.8
4,79350,79346.7
8,79520,79550.5
11,79790,79754.3
1,79980,79958.1
12,80160,80161.9
3,80430,80365.7
9,80550,80569.5
5,80720,80773.3
7,81000,80977.2
10,81420,81409.6
2,81630,81613.6
4,81820,81817.7
6,82010,82021.8
11,82230,82225.8
8,82420,82429.9
