 105  1249  E 4 8 0 9 3 T 6 1 2 7 5   -
 106  1261  E 8 4 9 0 T 3 6 2 1 5 7   8
 107  1273  8 E 9 4 T 0 6 3 1 2 7 5   -
 108  1285  E 8 4 9 0 T 6 1 3 2 5 7   70
 109  1297  8 E 9 4 T 0 1 6 2 3 7 5   -
 110  1309  8 9 E T 4 0 6 1 2 7 3 5   69
 111  1321  9 8 T E 0 4 1 6 7 2 5 3   -
 112  1333  8 9 E T 0 1 4 6 2 7 3 5   58
 113  1345  9 8 T E 1 0 6 4 7 2 5 3   -
 114  1357  9 T 8 E 0 1 6 7 4 5 2 3   47
 115  1369  T 9 E 8 1 0 7 6 5 4 3 2   -
 116  1381  9 T E 1 8 0 6 7 4 5 2 3   36
 117  1393  T 9 1 E 0 8 7 6 5 4 3 2   -
 118  1405  T 9 E 1 0 7 8 5 6 3 4 2   25
 119  1417  9 T 1 E 7 0 5 8 3 6 2 4   -
 120  1429  9 1 T E 0 7 8 5 6 3 4 2   4
 121  1441  1 9 E T 7 0 5 8 3 6 2 4   -
 122  1453  9 1 E 7 T 5 0 3 8 2 6 4   3
 123  1465  1 9 7 E 5 T 3 0 2 8 4 6   -
 124  1477  1 9 E 7 T 5 0 3 8 2 6 4   2
 125  1489  9 1 7 E 5 T 3 0 2 8 4 6   -
 126  1501  1 9 7 5 E 3 T 2 0 4 8 6   3
 127  1513  9 1 5 7 3 E 2 T 4 0 6 8   -
 128  1525  9 5 1 7 E 3 T 2 0 4 8 6   4
 129  1537  5 9 7 1 3 E 2 T 4 0 6 8   -
 130  1549  5 9 1 7 3 2 E 4 T 6 0 8   25
 131  1561  9 5 7 1 2 3 4 E 6 T 8 0   -
 132  1573  5 9 7 2 1 3 E 4 T 6 0 8   36
 133  1585  9 5 2 7 3 1 4 E 6 T 8 0   -
 134  1597  9 2 5 7 1 3 4 6 E 8 T 0   47
 135  1609  2 9 7 5 3 1 6 4 8 E 0 T   -
 136  1621  9 2 5 7 3 6 1 4 E 8 T 0   58
