 104  1237  T E 0 9 8 7 5 1 3 2 6 4   70
 105  1249  E T 9 0 7 8 1 5 3 6 2 4   9
 106  1261  T E 0 9 8 7 5 1 6 3 4 2   -
 107  1273  T 0 E 8 9 7 1 5 3 6 2 4   6
 108  1285  0 T 8 E 9 1 7 5 6 3 4 2   58
 109  1297  T 0 E 8 1 9 7 6 5 4 3 2   7
 110  1309  0 T 8 E 9 1 6 7 4 5 2 3   -
 111  1321  0 8 T E 1 9 7 6 5 4 3 2   4
 112  1333  8 0 T 1 E 9 6 7 4 5 2 3   36
 113  1345  0 8 1 T E 6 9 4 7 2 5 3   5
 114  1357  8 0 T 1 6 E 4 9 2 7 3 5   -
 115  1369  0 8 1 T 6 4 E 2 9 3 7 5   5
 116  1381  0 1 8 T 4 6 2 E 3 9 5 7   4
 117  1393  1 0 T 8 6 4 E 2 9 3 7 5   -
 118  1405  0 1 8 T 6 E 4 9 2 7 3 5   5
 119  1417  1 0 T 8 E 6 9 4 7 2 5 3   -
 120  1429  1 T 0 E 8 9 6 7 4 5 2 3   1
 121  1441  T 1 E 0 9 8 7 6 5 4 3 2   -
 122  1453  1 T 0 E 9 7 8 5 6 3 4 2   5
 123  1465  T 1 E 0 7 9 5 8 3 6 2 4   -
 124  1477  T E 1 0 9 7 8 5 6 3 4 2   4
 125  1489  E T 0 1 9 8 7 6 5 4 3 2   5
 126  1501  T E 1 0 8 9 6 7 4 5 2 3   -
 127  1513  E T 0 1 8 6 9 4 7 2 5 3   5
 128  1525  T E 0 8 1 6 4 9 2 7 3 5   36
 129  1537  T 0 E 8 6 1 9 4 7 2 5 3   4
 130  1549  0 T 8 E 1 6 4 9 2 7 3 5   -
 131  1561  T 0 E 8 6 1 4 2 9 3 7 5   7
 132  1573  0 T 8 E 6 4 1 2 3 9 5 7   58
 133  1585  0 8 T 6 E 4 2 1 9 3 7 5   6
 134  1597  8 0 6 T 4 E 1 2 3 9 5 7   -
 135  1609  0 8 T 6 E 4 2 1 3 5 9 7   9
 136  1621  8 0 6 T 4 E 2 3 1 5 7 9   70
 137  1633  8 6 0 4 T 2 E 3 5 1 9 7   8
 138  1645  6 8 4 0 2 T 3 E 1 5 7 9   -
 139  1657  6 4 8 2 0 3 T E 5 1 9 7   8
 140  1669  4 6 2 8 3 0 E T 5 9 1 7   9
 141  1681  6 4 8 2 0 3 T E 9 5 7 1   -
 142  1693  6 8 4 0 2 T 3 E 5 9 1 7   8
 143  1705  8 6 0 4 T 2 E 3 9 5 7 1   -
 144  1717  8 0 6 T 4 E 2 9 3 7 5 1   1
 145  1729  0 8 T 6 E 4 9 2 7 3 1 5   -
 146  1741  0 T 8 E 6 9 4 2 3 7 5 1   8
 147  1753  T 0 E 8 9 6 2 4 7 3 1 5   -
 148  1765  0 T 8 E 6 9 4 2 7 1 3 5   9
 149  1777  0 8 T 6 E 4 9 2 1 7 5 3   8
 150  1789  8 0 6 T 4 E 2 9 7 1 3 5   -
 151  1801  8 6 0 4 T 2 E 9 1 7 5 3   8
 152  1813  6 8 4 0 2 T E 1 9 7 3 5   70
 153  1825  8 6 0 4 T 2 1 E 9 3 7 5   9
 154  1837  6 8 4 0 2 T E 1 3 9 5 7   -
 155  1849  6 4 8 2 0 T 1 E 9 3 7 5   6
 156  1861  4 6 2 8 0 1 T E 3 9 5 7   58
 157  1873  6 4 8 2 1 0 T 3 E 5 9 7   7
 158  1885  4 6 2 8 0 1 3 T 5 E 7 9   -
 159  1897  4 2 6 8 1 0 T 3 E 5 9 7   4
 160  1909  2 4 6 1 8 0 3 T 5 E 7 9   36
 161  1921  4 2 1 6 8 3 0 5 T 7 E 9   5
 162  1933  2 4 6 1 3 8 5 0 7 T 9 E   -
 163  1945  4 2 1 6 3 5 8 7 0 9 T E   5
 164  1957  4 1 2 6 5 3 7 8 9 0 E T   4
 165  1969  1 4 6 2 3 5 8 7 0 9 T E   -
 166  1981  4 1 2 6 3 8 5 0 7 T 9 E   5
 167  1993  1 4 6 2 8 3 0 5 T 7 E 9   -
 168  2005  1 6 4 8 2 0 3 T 5 E 7 9   1
 169  2017  6 1 8 4 0 2 T 3 E 5 9 7   -
 170  2029  1 6 4 8 0 T 2 E 3 9 5 7   5
 171  2041  6 1 8 4 T 0 E 2 9 3 7 5   -
 172  2053  6 8 1 4 0 T 2 E 3 9 5 7   4
 173  2065  8 6 4 1 0 2 T 3 E 5 9 7   5
 174  2077  6 8 1 4 2 0 3 T 5 E 7 9   -
 175  2089  8 6 4 1 2 3 0 5 T 7 E 9   5
 176  2101  6 8 4 2 1 3 5 0 7 T 9 E   36
 177  2113  6 4 8 2 3 1 0 5 T 7 E 9   4
 178  2125  4 6 2 8 1 3 5 0 7 T 9 E   -
 179  2137  6 4 8 2 3 1 5 7 0 9 T E   7
 180  2149  4 6 2 8 3 5 1 7 9 0 E T   58
 181  2161  4 2 6 3 8 5 7 1 0 9 T E   6
 182  2173  2 4 3 6 5 8 1 7 9 0 E T   -
 183  2185  4 2 6 3 8 5 7 1 9 E 0 T   9
 184  2197  2 4 3 6 5 8 7 9 1 E T 0   70
 185  2209  2 3 4 5 6 7 8 9 E 1 0 T   8
 186  2221  3 2 5 4 7 6 9 8 1 E T 0   -
 187  2233  3 5 2 7 4 9 6 8 E 1 0 T   8
 188  2245  5 3 7 2 9 4 8 6 E 0 1 T   9
 189  2257  3 5 2 7 4 9 6 8 0 E T 1   -
 190  2269  3 2 5 4 7 6 9 8 E 0 1 T   8
 191  2281  2 3 4 5 6 7 8 9 0 E T 1   -
 192  2293  2 4 3 6 5 8 7 0 9 T E 1   1
 193  2305  4 2 6 3 8 5 0 7 T 9 1 E   -
 194  2317  4 6 2 8 3 0 5 7 9 T E 1   8
 195  2329  6 4 8 2 0 3 7 5 T 9 1 E   -
 196  2341  4 6 2 8 3 0 5 7 T 1 9 E   9
 197  2353  4 2 6 3 8 5 0 7 1 T E 9   8
 198  2365  2 4 3 6 5 8 7 0 T 1 9 E   -
 199  2377  2 3 4 5 6 7 8 0 1 T E 9   8
 200  2389  3 2 5 4 7 6 8 1 0 T 9 E   70
 201  2401  2 3 4 5 6 7 1 8 0 9 T E   9
 202  2413  3 2 5 4 7 6 8 1 9 0 E T   -
 203  2425  3 5 2 7 4 6 1 8 0 9 T E   6
 204  2437  5 3 7 2 4 1 6 8 9 0 E T   58
 205  2449  3 5 2 7 1 4 6 9 8 E 0 T   7
 206  2461  5 3 7 2 4 1 9 6 E 8 T 0   -
 207  2473  5 7 3 2 1 4 6 9 8 E 0 T   4
 208  2485  7 5 3 1 2 4 9 6 E 8 T 0   36
 209  2497  5 7 1 3 2 9 4 E 6 T 8 0   5
 210  2509  7 5 3 1 9 2 E 4 T 6 0 8   -
 211  2521  5 7 1 3 9 E 2 T 4 0 6 8   5
 212  2533  5 1 7 3 E 9 T 2 0 4 8 6   4
 213  2545  1 5 3 7 9 E 2 T 4 0 6 8   -
 214  2557  5 1 7 3 9 2 E 4 T 6 0 8   5
 215  2569  1 5 3 7 2 9 4 E 6 T 8 0   -
 216  2581  1 3 5 2 7 4 9 6 E 8 T 0   1
 217  2593  3 1 2 5 4 7 6 9 8 E 0 T   -
 218  2605  1 3 5 2 4 6 7 8 9 0 E T   5
 219  2617  3 1 2 5 6 4 8 7 0 9 T E   -
 220  2629  3 2 1 5 4 6 7 8 9 0 E T   4
 221  2641  2 3 5 1 4 7 6 9 8 E 0 T   5
 222  2653  3 2 1 5 7 4 9 6 E 8 T 0   -
 223  2665  2 3 5 1 7 9 4 E 6 T 8 0   5
 224  2677  3 2 5 7 1 9 E 4 T 6 0 8   36
 225  2689  3 5 2 7 9 1 4 E 6 T 8 0   4
 226  2701  5 3 7 2 1 9 E 4 T 6 0 8   -
 227  2713  3 5 2 7 9 1 E T 4 0 6 8   7
 228  2725  5 3 7 2 9 E 1 T 0 4 8 6   58
 229  2737  5 7 3 9 2 E T 1 4 0 6 8   6
