 104  1237  E 7 9 1 T 5 0 3 8 2 6 4   25
 105  1249  7 E 1 9 5 T 3 0 2 8 4 6   -
 106  1261  7 1 E 9 T 5 0 3 8 2 6 4   4
 107  1273  1 7 9 E 5 T 3 0 2 8 4 6   -
 108  1285  7 1 9 5 E 3 T 2 0 4 8 6   3
 109  1297  1 7 5 9 3 E 2 T 4 0 6 8   -
 110  1309  1 7 9 5 E 3 T 2 0 4 8 6   2
 111  1321  7 1 5 9 3 E 2 T 4 0 6 8   -
 112  1333  1 7 5 3 9 2 E 4 T 6 0 8   3
 113  1345  7 1 3 5 2 9 4 E 6 T 8 0   -
 114  1357  7 3 1 5 9 2 E 4 T 6 0 8   4
 115  1369  3 7 5 1 2 9 4 E 6 T 8 0   -
 116  1381  3 7 1 5 2 4 9 6 E 8 T 0   25
 117  1393  7 3 5 1 4 2 6 9 8 E 0 T   -
 118  1405  3 7 5 4 1 2 9 6 E 8 T 0   36
 119  1417  7 3 4 5 2 1 6 9 8 E 0 T   -
 120  1429  7 4 3 5 1 2 6 8 9 0 E T   47
 121  1441  4 7 5 3 2 1 8 6 0 9 T E   -
 122  1453  7 4 3 5 2 8 1 6 9 0 E T   58
 123  1465  4 7 5 3 8 2 6 1 0 9 T E   -
 124  1477  4 5 7 8 3 2 1 6 0 T 9 E   69
 125  1489  5 4 8 7 2 3 6 1 T 0 E 9   -
 126  1501  4 5 7 8 3 2 6 T 1 0 9 E   70
 127  1513  5 4 8 7 2 3 T 6 0 1 E 9   -
 128  1525  5 8 4 2 7 T 3 6 1 0 9 E   8
 129  1537  8 5 2 4 T 7 6 3 0 1 E 9   -
 130  1549  5 8 4 2 7 T 3 6 0 E 1 9   9
 131  1561  8 5 2 4 T 7 6 3 E 0 9 1   -
 132  1573  8 2 5 T 4 6 7 E 3 0 1 9   0
 133  1585  2 8 T 5 6 4 E 7 0 3 9 1   -
 134  1597  8 2 5 T 4 6 7 E 3 0 9 1   E
 135  1609  2 8 T 5 6 4 E 7 0 3 1 9   -
 136  1621  2 T 8 6 5 E 4 0 7 3 9 1   0
 137  1633  T 2 6 8 E 5 0 4 3 7 1 9   -
 138  1645  2 T 8 6 5 E 4 0 3 1 7 9   9
 139  1657  T 2 6 8 E 5 0 4 1 3 9 7   -
 140  1669  T 6 2 E 8 0 5 4 3 1 7 9   8
 141  1681  6 T E 2 0 8 4 5 1 3 9 7   -
 142  1693  T 6 2 E 8 0 4 1 5 3 7 9   70
 143  1705  6 T E 2 0 8 1 4 3 5 9 7   -
 144  1717  6 E T 0 2 8 4 1 3 9 5 7   69
 145  1729  E 6 0 T 8 2 1 4 9 3 7 5   -
 146  1741  6 E T 0 8 1 2 4 3 9 5 7   58
 147  1753  E 6 0 T 1 8 4 2 9 3 7 5   -
 148  1765  E 0 6 T 8 1 4 9 2 7 3 5   47
 149  1777  0 E T 6 1 8 9 4 7 2 5 3   -
 150  1789  E 0 T 1 6 8 4 9 2 7 3 5   36
 151  1801  0 E 1 T 8 6 9 4 7 2 5 3   -
 152  1813  0 E T 1 8 9 6 7 4 5 2 3   25
 153  1825  E 0 1 T 9 8 7 6 5 4 3 2   -
 154  1837  E 1 0 T 8 9 6 7 4 5 2 3   4
 155  1849  1 E T 0 9 8 7 6 5 4 3 2   -
 156  1861  E 1 T 9 0 7 8 5 6 3 4 2   3
 157  1873  1 E 9 T 7 0 5 8 3 6 2 4   -
 158  1885  1 E T 9 0 7 8 5 6 3 4 2   2
 159  1897  E 1 9 T 7 0 5 8 3 6 2 4   -
 160  1909  1 E 9 7 T 5 0 3 8 2 6 4   3
 161  1921  E 1 7 9 5 T 3 0 2 8 4 6   -
 162  1933  E 7 1 9 T 5 0 3 8 2 6 4   4
 163  1945  7 E 9 1 5 T 3 0 2 8 4 6   -
 164  1957  7 E 1 9 5 3 T 2 0 4 8 6   25
 165  1969  E 7 9 1 3 5 2 T 4 0 6 8   -
 166  1981  7 E 9 3 1 5 T 2 0 4 8 6   36
 167  1993  E 7 3 9 5 1 2 T 4 0 6 8   -
 168  2005  E 3 7 9 1 5 2 4 T 6 0 8   47
 169  2017  3 E 9 7 5 1 4 2 6 T 8 0   -
 170  2029  E 3 7 9 5 4 1 2 T 6 0 8   58
 171  2041  3 E 9 7 4 5 2 1 6 T 8 0   -
 172  2053  3 9 E 4 7 5 1 2 6 8 T 0   69
 173  2065  9 3 4 E 5 7 2 1 8 6 0 T   -
 174  2077  3 9 E 4 7 5 2 8 1 6 T 0   70
 175  2089  9 3 4 E 5 7 8 2 6 1 0 T   -
 176  2101  9 4 3 5 E 8 7 2 1 6 T 0   8
 177  2113  4 9 5 3 8 E 2 7 6 1 0 T   -
 178  2125  9 4 3 5 E 8 7 2 6 0 1 T   9
 179  2137  4 9 5 3 8 E 2 7 0 6 T 1   -
 180  2149  4 5 9 8 3 2 E 0 7 6 1 T   0
 181  2161  5 4 8 9 2 3 0 E 6 7 T 1   -
 182  2173  4 5 9 8 3 2 E 0 7 6 T 1   E
 183  2185  5 4 8 9 2 3 0 E 6 7 1 T   -
 184  2197  5 8 4 2 9 0 3 6 E 7 T 1   0
 185  2209  8 5 2 4 0 9 6 3 7 E 1 T   -
 186  2221  5 8 4 2 9 0 3 6 7 1 E T   9
 187  2233  8 5 2 4 0 9 6 3 1 7 T E   -
 188  2245  8 2 5 0 4 6 9 3 7 1 E T   8
 189  2257  2 8 0 5 6 4 3 9 1 7 T E   -
 190  2269  8 2 5 0 4 6 3 1 9 7 E T   70
 191  2281  2 8 0 5 6 4 1 3 7 9 T E   -
 192  2293  2 0 8 6 5 4 3 1 7 T 9 E   69
 193  2305  0 2 6 8 4 5 1 3 T 7 E 9   -
 194  2317  2 0 8 6 4 1 5 3 7 T 9 E   58
 195  2329  0 2 6 8 1 4 3 5 T 7 E 9   -
 196  2341  0 6 2 8 4 1 3 T 5 E 7 9   47
 197  2353  6 0 8 2 1 4 T 3 E 5 9 7   -
 198  2365  0 6 8 1 2 4 3 T 5 E 7 9   36
 199  2377  6 0 1 8 4 2 T 3 E 5 9 7   -
 200  2389  6 0 8 1 4 T 2 E 3 9 5 7   25
 201  2401  0 6 1 8 T 4 E 2 9 3 7 5   -
 202  2413  0 1 6 8 4 T 2 E 3 9 5 7   4
 203  2425  1 0 8 6 T 4 E 2 9 3 7 5   -
 204  2437  0 1 8 T 6 E 4 9 2 7 3 5   3
 205  2449  1 0 T 8 E 6 9 4 7 2 5 3   -
 206  2461  1 0 8 T 6 E 4 9 2 7 3 5   2
 207  2473  0 1 T 8 E 6 9 4 7 2 5 3   -
 208  2485  1 0 T E 8 9 6 7 4 5 2 3   3
 209  2497  0 1 E T 9 8 7 6 5 4 3 2   -
 210  2509  0 E 1 T 8 9 6 7 4 5 2 3   4
 211  2521  E 0 T 1 9 8 7 6 5 4 3 2   -
 212  2533  E 0 1 T 9 7 8 5 6 3 4 2   25
 213  2545  0 E T 1 7 9 5 8 3 6 2 4   -
 214  2557  E 0 T 7 1 9 8 5 6 3 4 2   36
 215  2569  0 E 7 T 9 1 5 8 3 6 2 4   -
 216  2581  0 7 E T 1 9 5 3 8 2 6 4   47
 217  2593  7 0 T E 9 1 3 5 2 8 4 6   -
 218  2605  0 7 E T 9 3 1 5 8 2 6 4   58
 219  2617  7 0 T E 3 9 5 1 2 8 4 6   -
 220  2629  7 T 0 3 E 9 1 5 2 4 8 6   69
 221  2641  T 7 3 0 9 E 5 1 4 2 6 8   -
 222  2653  7 T 0 3 E 9 5 4 1 2 8 6   70
 223  2665  T 7 3 0 9 E 4 5 2 1 6 8   -
 224  2677  T 3 7 9 0 4 E 5 1 2 8 6   8
 225  2689  3 T 9 7 4 0 5 E 2 1 6 8   -
 226  2701  T 3 7 9 0 4 E 5 2 6 1 8   9
 227  2713  3 T 9 7 4 0 5 E 6 2 8 1   -
 228  2725  3 9 T 4 7 5 0 6 E 2 1 8   0
 229  2737  9 3 4 T 5 7 6 0 2 E 8 1   -
 230  2749  3 9 T 4 7 5 0 6 E 2 8 1   E
 231  2761  9 3 4 T 5 7 6 0 2 E 1 8   -
 232  2773  9 4 3 5 T 6 7 2 0 E 8 1   0
