   1     1  1 2 3 4 5 6 7 8 9 0 E T   
   2    13  1 2 3 4 5 6 7 8 9 0 E T   =
   3    25  1 2 3 4 5 6 7 8 9 0 E T   =
   4    37  1 2 3 4 5 6 7 8 9 0 E T   =
   5    49  1 2 3 4 5 6 7 8 9 0 E T   =
   6    61  1 2 3 4 5 6 7 8 9 0 E T   =
   7    73  1 2 3 4 5 6 7 8 9 0 E T   =
   8    85  1 2 3 4 5 6 7 8 9 0 E T   =
   9    97  1 2 3 4 5 6 7 8 9 0 E T   =
  10   109  1 2 3 4 5 6 7 8 9 0 E T   =
  11   121  1 2 3 4 5 6 7 8 9 0 E T   =
  12   133  1 2 3 4 5 6 7 8 9 0 E T   =
  13   145  1 2 3 4 5 6 7 8 9 0 E T   =
  14   157  1 2 3 4 5 6 7 8 9 0 E T   =
  15   169  1 2 3 4 5 6 7 8 9 0 E T   =
  16   181  1 2 3 4 5 6 7 8 9 0 E T   =
  17   193  1 2 3 4 5 6 7 8 9 0 E T   =
  18   205  1 2 3 4 5 6 7 8 9 0 E T   =
  19   217  1 2 3 4 5 6 7 8 9 0 E T   =
  20   229  1 2 3 4 5 6 7 8 9 0 E T   =
  21   241  1 2 3 4 5 6 7 8 9 0 E T   =
  22   253  1 2 3 4 5 6 7 8 9 0 E T   =
  23   265  1 2 3 4 5 6 7 8 9 0 E T   =
  24   277  1 2 3 4 5 6 7 8 9 0 E T   =
  25   289  1 2 3 4 5 6 7 8 9 0 E T   =
  26   301  1 2 3 4 5 6 7 8 9 0 E T   =
  27   313  1 2 3 4 5 6 7 8 9 0 E T   =
  28   325  1 2 3 4 5 6 7 8 9 0 E T   =
  29   337  1 2 3 4 5 6 7 8 9 0 E T   =
  30   349  1 2 3 4 5 6 7 8 9 0 E T   =
  31   361  1 2 3 4 5 6 7 8 9 0 E T   =
  32   373  1 2 3 4 5 6 7 8 9 0 E T   =
  33   385  2 1 3 5 4 7 6 9 8 E 0 T   3
  34   397  2 3 1 4 5 6 7 8 9 0 E T   1
  35   409  3 2 4 1 6 5 8 7 9 0 E T   90E
  36   421  2 3 4 6 1 8 5 9 7 E 0 T   3
  37   433  2 4 3 1 6 5 8 7 9 0 E T   1
  38   445  4 2 3 6 1 8 5 9 7 E 0 T   3
  39   457  4 3 2 1 6 5 8 7 9 0 E T   1
  40   469  3 4 2 6 1 8 5 9 7 E 0 T   3
  41   481  4 3 6 2 8 1 9 5 E 7 0 T   E
  42   493  4 6 3 8 2 9 1 E 5 0 7 T   1
  43   505  6 4 3 2 8 1 9 5 E 7 0 T   3
  44   517  6 3 4 8 2 9 1 E 5 0 7 T   1
  45   529  3 6 4 2 8 1 9 5 E 7 0 T   3
  46   541  3 4 6 8 2 9 1 E 5 0 7 T   1
  47   553  4 3 8 6 9 2 E 1 0 5 7 T   E
  48   565  3 4 8 9 6 E 2 0 1 7 5 T   3
  49   577  3 8 4 6 9 2 E 1 0 5 7 T   1
  50   589  8 3 4 9 6 E 2 0 1 7 5 T   3
  51   601  8 4 3 6 9 2 E 1 0 5 7 T   1
  52   613  4 8 3 9 6 E 2 0 1 7 5 T   3
  53   625  8 4 9 3 E 6 0 2 7 1 5 T   E
  54   637  8 9 4 E 3 0 6 7 2 5 1 T   1
  55   649  9 8 4 3 E 6 0 2 7 1 5 T   3
  56   661  9 4 8 E 3 0 6 7 2 5 1 T   1
  57   673  4 9 8 3 E 6 0 2 7 1 5 T   3
  58   685  4 8 9 E 3 0 6 7 2 5 1 T   1
  59   697  8 4 E 9 0 3 7 6 5 2 1 T   E
  60   709  4 8 E 0 9 7 3 5 6 1 2 T   3
  61   721  4 E 8 9 0 3 7 6 5 2 1 T   1
  62   733  E 4 8 0 9 7 3 5 6 1 2 T   3
  63   745  E 8 4 9 0 3 7 6 5 2 1 T   1
  64   757  8 E 4 0 9 7 3 5 6 1 2 T   3
  65   769  E 8 0 4 7 9 5 3 1 6 2 T   E
  66   781  E 0 8 7 4 5 9 1 3 2 6 T   1
  67   793  0 E 8 4 7 9 5 3 1 6 2 T   3
  68   805  0 8 E 7 4 5 9 1 3 2 6 T   1
  69   817  8 0 E 4 7 9 5 3 1 6 2 T   3
  70   829  8 E 0 7 4 5 9 1 3 2 6 T   1
  71   841  E 8 7 0 5 4 1 9 2 3 6 T   E
  72   853  8 E 7 5 0 1 4 2 9 6 3 T   3
  73   865  8 7 E 0 5 4 1 9 2 3 6 T   1
  74   877  7 8 E 5 0 1 4 2 9 6 3 T   3
  75   889  7 E 8 0 5 4 1 9 2 3 6 T   1
  76   901  E 7 8 5 0 1 4 2 9 6 3 T   3
  77   913  7 E 5 8 1 0 2 4 6 9 3 T   E
  78   925  7 5 E 1 8 2 0 6 4 3 9 T   1
  79   937  5 7 E 8 1 0 2 4 6 9 3 T   3
  80   949  5 E 7 1 8 2 0 6 4 3 9 T   1
  81   961  E 5 7 8 1 0 2 4 6 9 3 T   3
  82   973  E 7 5 1 8 2 0 6 4 3 9 T   1
  83   985  7 E 1 5 2 8 6 0 3 4 9 T   E
  84   997  E 7 1 2 5 6 8 3 0 9 4 T   3
  85  1009  E 1 7 5 2 8 6 0 3 4 9 T   1
  86  1021  1 E 7 2 5 6 8 3 0 9 4 T   3
  87  1033  1 7 E 5 2 8 6 0 3 4 9 T   1
  88  1045  7 1 E 2 5 6 8 3 0 9 4 T   3
  89  1057  1 7 2 E 6 5 3 8 9 0 4 T   E
  90  1069  1 2 7 6 E 3 5 9 8 4 0 T   1
  91  1081  2 1 7 E 6 5 3 8 9 0 4 T   3
  92  1093  2 7 1 6 E 3 5 9 8 4 0 T   1
  93  1105  7 2 1 E 6 5 3 8 9 0 4 T   3
  94  1117  7 1 2 6 E 3 5 9 8 4 0 T   1
  95  1129  1 7 6 2 3 E 9 5 8 0 4 T   9
  96  1141  7 1 6 3 2 9 E 8 5 4 0 T   3
  97  1153  7 6 1 2 3 E 9 5 8 0 4 T   1
  98  1165  6 7 1 3 2 9 E 8 5 4 0 T   3
  99  1177  6 1 7 2 3 E 9 5 8 0 4 T   1
 100  1189  1 6 7 3 2 9 E 8 5 4 0 T   3
 101  1201  6 1 3 7 9 2 8 E 4 5 0 T   E
 102  1213  6 3 1 9 7 8 2 4 E 0 5 T   1
 103  1225  3 6 1 7 9 2 8 E 4 5 0 T   3
 104  1237  3 1 6 9 7 8 2 4 E 0 5 T   1
 105  1249  1 3 6 7 9 2 8 E 4 5 0 T   3
 106  1261  1 6 3 9 7 8 2 4 E 0 5 T   1
 107  1273  6 1 9 3 8 7 4 2 0 E 5 T   E
