Bell No,Actual Time,Ideal time from medium response Kalman Filter
3,64400,64366.4
4,64620,64551.6
5,64780,64736.7
6,64970,64921.9
7,65160,65107
8,65290,65292.1
9,65420,65477.3
10,65620,65662.4
11,65840,65847.6
12,66020,66032.7
1,66480,66471.2
2,66660,66656.6
3,66880,66842
4,67050,67027.4
5,67220,67212.8
6,67390,67398.2
7,67590,67583.6
8,67740,67769
9,67920,67954.4
10,68110,68139.8
11,68250,68325.2
12,68490,68510.7
1,68650,68696.1
2,68920,68881.5
3,69090,69066.9
4,69280,69252.3
5,69470,69437.7
6,69640,69623.1
7,69830,69808.5
8,70030,69993.9
9,70130,70179.3
10,70320,70364.7
11,70570,70550.1
12,70760,70735.5
2,71200,71187.4
1,71390,71374.5
3,71550,71561.7
5,71830,71748.9
4,71970,71936
7,72120,72123.2
6,72310,72310.4
9,72470,72497.5
8,72640,72684.7
11,72820,72871.9
10,73060,73059
12,73230,73246.2
2,73460,73433.4
3,73630,73620.5
1,73780,73807.7
4,74020,73994.9
5,74230,74182
6,74400,74369.2
7,74570,74556.4
8,74740,74743.5
9,74910,74930.7
10,75080,75117.9
11,75320,75305
12,75500,75492.2
3,75900,75927.9
2,76090,76114.2
4,76350,76300.5
1,76510,76486.8
6,76640,76673.1
5,76900,76859.4
8,77000,77045.8
7,77190,77232.1
9,77370,77418.4
11,77610,77604.7
10,77810,77791
12,77960,77977.3
2,78210,78163.6
3,78370,78349.9
4,78570,78536.2
6,78760,78722.5
1,78920,78908.8
8,79100,79095.1
5,79280,79281.4
9,79440,79467.8
7,79620,79654.1
10,79810,79840.4
11,80000,80026.7
12,80250,80213
2,80610,80652.7
4,80850,80839.2
3,81060,81025.7
1,81220,81212.2
6,81440,81398.7
5,81630,81585.2
8,81750,81771.7
7,81920,81958.1
9,82110,82144.6
11,82320,82331.1
10,82450,82517.6
12,82670,82704.1
4,82920,82890.6
2,83120,83077.1
3,83260,83263.6
6,83510,83450
1,83640,83636.5
8,83820,83823
5,84000,84009.5
9,84170,84196
7,84380,84382.5
10,84560,84569
11,84750,84755.4
12,84970,84941.9
4,85400,85390.7
3,85590,85577.5
2,85760,85764.3
1,85970,85951.1
6,86170,86138
5,86390,86324.8
8,86480,86511.6
7,86720,86698.5
9,86840,86885.3
11,87050,87072.1
10,87190,87258.9
12,87440,87445.8
3,87650,87632.6
4,87840,87819.4
2,88030,88006.3
6,88260,88193.1
1,88390,88379.9
8,88600,88566.7
5,88740,88753.6
9,88880,88940.4
7,89100,89127.2
10,89270,89314.1
11,89510,89500.9
12,89730,89687.7
4,90160,90130.3
3,90350,90317.3
6,90550,90504.2
2,90690,90691.2
8,90840,90878.1
1,91060,91065.1
9,91220,91252
5,91400,91439
10,91580,91625.9
7,91790,91812.9
11,91940,91999.8
12,92200,92186.8
4,92400,92373.7
6,92600,92560.7
3,92790,92747.7
8,93010,92934.6
2,93130,93121.6
9,93310,93308.5
1,93460,93495.5
10,93640,93682.4
5,93880,93869.4
11,94020,94056.3
7,94220,94243.3
12,94490,94430.2
6,94910,94875.5
4,95070,95061.7
3,95270,95247.9
2,95430,95434.1
8,95640,95620.3
1,95840,95806.4
9,96020,95992.6
5,96180,96178.8
10,96340,96365
7,96520,96551.2
11,96630,96737.3
12,96910,96923.5
6,97100,97109.7
3,97290,97295.9
4,97490,97482.1
8,97740,97668.2
2,97870,97854.4
9,98080,98040.6
1,98240,98226.8
10,98370,98412.9
5,98560,98599.1
11,98740,98785.3
7,98980,98971.5
12,99210,99157.7
3,99590,99596.9
6,99790,99784.1
4,99970,99971.3
2,100150,100158
8,100340,100346
1,100510,100533
9,100730,100720
5,100940,100907
10,101050,101094
7,101250,101282
11,101420,101469
12,101640,101656
3,101850,101843
4,102050,102030
6,102220,102218
8,102450,102405
2,102620,102592
9,102800,102779
1,102970,102966
10,103080,103153
5,103370,103341
11,103520,103528
7,103690,103715
12,103950,103902
4,104330,104337
3,104530,104525
8,104740,104713
6,104890,104900
9,105100,105088
2,105260,105275
10,105430,105463
1,105590,105651
11,105810,105838
5,106000,106026
7,106210,106214
12,106420,106401
3,106620,106589
4,106800,106777
8,107000,106964
9,107160,107152
6,107320,107339
10,107480,107527
