Bell No,Actual Time,Ideal time from medium response Kalman Filter
2,70180,70155.4
10,70390,70362.7
6,70540,70570
4,70790,70777.3
1,71040,70984.6
8,71180,71191.9
12,71400,71399.3
11,71590,71606.6
3,71820,71813.9
9,72020,72021.2
5,72230,72228.5
7,72440,72435.8
10,72880,72883.1
2,73110,73089.1
4,73300,73295.1
6,73470,73501.1
8,73690,73707.2
1,73980,73913.2
11,74060,74119.2
12,74280,74325.2
9,74500,74531.2
3,74750,74737.2
7,74920,74943.2
5,75070,75149.2
2,75400,75355.2
10,75530,75561.2
6,75740,75767.2
4,75970,75973.2
8,76180,76179.3
11,76400,76385.3
1,76700,76591.3
12,76800,76797.3
3,77040,77003.3
9,77180,77209.3
5,77410,77415.3
7,77600,77621.3
10,78080,78084.4
2,78290,78292.1
4,78510,78499.8
6,78710,78707.6
11,78900,78915.3
8,79100,79123
12,79300,79330.8
1,79660,79538.5
9,79780,79746.2
3,79970,79954
7,80170,80161.7
5,80310,80369.4
10,80550,80577.1
4,80770,80784.9
2,81000,80992.6
11,81170,81200.3
6,81320,81408.1
8,81590,81615.8
1,81840,81823.5
12,82040,82031.3
9,82250,82239
7,82480,82446.7
3,82690,82654.5
5,82890,82862.2
4,83260,83298.3
10,83510,83505.4
11,83640,83712.4
2,83930,83919.5
8,84100,84126.6
6,84320,84333.7
12,84520,84540.7
1,84760,84747.8
7,84940,84954.9
9,85140,85161.9
5,85370,85369
3,85580,85576.1
10,85770,85783.1
4,86000,85990.2
2,86180,86197.3
11,86410,86404.3
6,86560,86611.4
8,86820,86818.5
12,87050,87025.6
7,87250,87232.6
1,87460,87439.7
9,87640,87646.8
3,87860,87853.8
5,88080,88060.9
4,88500,88504.1
10,88740,88711
11,88920,88917.9
2,89120,89124.8
8,89290,89331.6
6,89510,89538.5
7,89730,89745.4
12,89930,89952.3
9,90160,90159.1
1,90430,90366
5,90530,90572.9
3,90760,90779.7
4,90990,90986.6
11,91170,91193.5
10,91420,91400.4
8,91610,91607.2
2,91810,91814.1
7,91990,92021
6,92150,92227.8
12,92450,92434.7
1,92650,92641.6
9,92850,92848.5
3,93080,93055.3
5,93330,93262.2
11,93640,93709.2
4,93890,93917
8,94120,94124.8
10,94360,94332.6
7,94540,94540.4
2,94750,94748.2
12,94930,94956
6,95160,95163.8
9,95380,95371.6
1,95620,95579.4
5,95760,95787.1
3,96000,95994.9
4,96270,96202.7
11,96400,96410.5
10,96630,96618.3
8,96880,96826.1
2,97020,97033.9
7,97190,97241.7
6,97400,97449.5
12,97680,97657.3
9,97840,97865.1
5,98060,98072.9
1,98320,98280.7
3,98490,98488.4
11,98900,98934.8
4,99130,99142.8
8,99330,99350.8
10,99600,99558.8
7,99760,99766.7
2,99970,99974.7
12,100170,100183
6,100410,100391
5,100600,100599
9,100790,100807
3,101020,101015
1,101290,101223
11,101400,101431
8,101640,101639
4,101860,101847
7,102050,102054
10,102260,102262
12,102470,102470
2,102650,102678
5,102870,102886
6,103050,103094
9,103290,103302
1,103560,103510
3,103740,103718
8,104160,104161
11,104380,104370
7,104550,104578
4,104770,104787
12,104980,104995
10,105230,105204
5,105380,105412
2,105610,105621
9,105810,105829
6,106020,106037
3,106260,106246
1,106550,106454
11,106640,106663
8,106860,106871
4,107090,107080
7,107240,107288
10,107480,107497
12,107730,107705
2,107930,107914
5,108100,108122
6,108280,108331
9,108520,108539
3,108760,108747
1,109030,108956
8,109400,109400
11,109600,109610
7,109770,109819
4,110020,110029
12,110230,110239
10,110470,110448
5,110640,110658
2,110890,110868
9,111050,111078
6,111260,111287
1,111560,111497
3,111710,111707
8,111910,111916
7,112140,112126
11,112310,112336
12,112550,112545
4,112770,112755
5,112990,112965
10,113180,113174
9,113380,113384
2,113560,113594
6,113740,113804
3,114020,114013
1,114290,114223
7,114650,114652
8,114810,114861
12,115060,115071
11,115260,115281
5,115470,115490
4,115700,115700
9,115890,115909
10,116100,116119
6,116330,116329
2,116550,116538
1,116810,116748
3,116930,116957
8,117170,117167
7,117350,117377
11,117520,117586
12,117790,117796
4,118000,118005
5,118210,118215
10,118440,118425
9,118630,118634
6,118820,118844
1,119120,119053
2,119290,119263
3,119470,119473
7,119920,119895
8,120100,120104
12,120260,120312
11,120470,120520
5,120670,120728
4,120940,120936
9,121140,121144
10,121370,121352
1,121640,121560
6,121760,121769
3,121960,121977
2,122140,122185
7,122390,122393
12,122590,122601
8,122810,122809
5,123020,123017
11,123180,123225
9,123430,123434
4,123590,123642
10,123870,123850
6,124040,124058
1,124330,124266
2,124510,124474
3,124680,124682
12,125110,125116
7,125320,125324
5,125490,125532
8,125700,125741
9,125960,125949
11,126170,126157
10,126380,126366
4,126560,126574
1,126860,126782
6,126980,126991
3,127170,127199
2,127400,127407
7,127650,127616
12,127820,127824
8,127990,128032
5,128210,128241
11,128430,128449
9,128640,128657
10,128910,128866
1,129140,129074
4,129300,129282
6,129460,129491
2,129710,129699
3,129880,129907
12,130300,130336
7,130530,130545
5,130710,130754
8,130920,130963
9,131200,131172
11,131380,131381
1,131660,131590
10,131850,131798
6,132010,132007
4,132220,132216
3,132410,132425
2,132650,132634
12,132810,132843
5,133030,133052
7,133230,133261
9,133440,133470
8,133620,133679
11,133860,133887
10,134110,134096
1,134340,134305
6,134530,134514
3,134730,134723
4,134940,134932
2,135180,135141
5,135570,135565
12,135740,135775
9,135980,135985
7,136170,136195
11,136390,136405
8,136500,136615
1,136860,136825
10,137030,137035
3,137230,137245
6,137470,137456
2,137720,137666
4,137880,137876
12,138090,138086
5,138340,138296
7,138500,138506
9,138700,138716
11,138890,138926
1,139130,139136
8,139320,139347
10,139550,139557
6,139760,139767
3,139970,139977
4,140220,140187
2,140440,140397
5,140790,140826
12,141030,141036
9,141240,141246
7,141450,141455
1,141720,141665
11,141860,141874
10,142120,142084
8,142260,142294
3,142520,142503
6,142690,142713
2,142950,142923
4,143140,143132
5,143340,143342
9,143560,143552
12,143770,143761
7,143910,143971
11,144140,144180
1,144460,144390
10,144610,144600
3,144810,144809
8,145040,145019
2,145210,145229
6,145390,145438
4,145670,145648
9,146080,146075
5,146280,146283
7,146460,146492
12,146640,146700
1,146980,146909
11,147140,147117
3,147350,147326
10,147540,147534
2,147760,147743
8,147920,147952
4,148160,148160
6,148320,148369
5,148590,148577
9,148790,148786
7,148980,148994
1,149230,149203
12,149400,149411
11,149600,149620
10,149850,149828
3,150050,150037
8,150220,150246
2,150460,150454
6,150630,150663
4,150900,150871
9,151320,151303
5,151480,151512
1,151770,151720
7,151980,151929
11,152110,152137
12,152320,152345
3,152540,152554
10,152760,152762
2,152980,152971
8,153170,153179
4,153380,153387
6,153570,153596
9,153810,153804
5,154020,154012
7,154260,154221
1,154420,154429
11,154620,154638
3,154850,154846
12,155020,155054
2,155270,155263
10,155470,155471
4,155720,155679
8,155870,155888
6,156100,156096
5,156490,156531
9,156740,156740
1,156990,156950
7,157200,157159
3,157400,157369
11,157590,157579
2,157780,157788
12,157990,157998
4,158190,158207
10,158380,158417
6,158600,158626
8,158820,158836
5,159040,159046
1,159290,159255
9,159440,159465
7,159660,159674
11,159870,159884
3,160090,160093
12,160320,160303
2,160530,160513
10,160730,160722
4,160950,160932
8,161130,161141
6,161370,161351
1,161850,161782
5,161990,161990
7,162210,162198
9,162420,162406
3,162580,162614
11,162780,162822
2,163010,163030
12,163240,163238
4,163450,163447
10,163670,163655
6,163840,163863
8,164080,164071
5,164320,164279
1,164540,164487
7,164700,164695
3,164870,164903
9,165100,165111
2,165300,165319
11,165500,165527
4,165710,165736
12,165930,165944
6,166130,166152
10,166380,166360
8,166610,166568
1,167080,167001
5,167220,167209
3,167410,167417
7,167620,167625
2,167870,167832
9,168060,168040
4,168230,168248
11,168410,168456
6,168650,168664
12,168860,168871
8,169030,169079
10,169280,169287
1,169530,169495
5,169690,169702
7,169900,169910
3,170100,170118
9,170340,170326
2,170490,170533
11,170700,170741
4,170900,170949
12,171170,171157
6,171390,171365
10,171640,171572
8,171820,171780
5,172120,172200
1,172420,172407
3,172640,172614
7,172830,172820
2,173030,173027
9,173240,173234
4,173370,173440
11,173590,173647
6,173860,173854
12,174070,174060
8,174250,174267
10,174530,174474
5,174720,174680
3,174890,174887
1,175140,175094
2,175340,175300
7,175520,175507
4,175680,175714
9,175870,175920
6,176070,176127
11,176290,176334
8,176540,176540
12,176740,176747
10,177020,176954
3,177410,177394
5,177610,177601
2,177850,177808
1,178100,178015
4,178240,178222
7,178410,178429
6,178630,178636
9,178810,178843
8,179000,179050
11,179230,179257
10,179470,179465
12,179620,179672
3,179920,179879
2,180090,180086
5,180280,180293
1,180540,180500
7,180700,180707
4,180940,180914
9,181110,181121
6,181320,181328
11,181520,181535
8,181750,181742
12,181930,181950
10,182190,182157
2,182640,182606
3,182840,182813
1,183090,183019
5,183230,183225
4,183480,183431
7,183630,183638
6,183870,183844
9,184060,184050
8,184230,184257
11,184440,184463
10,184680,184669
12,184820,184875
2,185050,185082
1,185320,185288
3,185530,185494
4,185750,185701
5,185890,185907
6,186100,186113
7,186340,186319
8,186520,186526
9,186690,186732
10,186920,186938
11,187110,187145
12,187390,187351
1,187880,187814
2,188040,188020
4,188240,188226
3,188440,188432
6,188670,188638
5,188880,188843
8,189050,189049
7,189290,189255
10,189520,189461
9,189620,189667
12,189870,189873
11,190080,190079
1,190330,190284
2,190520,190490
3,190740,190696
4,190900,190902
5,191090,191108
6,191270,191314
7,191500,191519
8,191690,191725
9,191900,191931
10,192120,192137
11,192320,192343
12,192590,192549
1,193120,193013
2,193290,193218
3,193480,193423
4,193620,193628
5,193800,193833
6,194030,194038
7,194240,194243
8,194410,194448
9,194650,194653
10,194880,194858
11,195040,195063
12,195190,195268
1,195520,195473
2,195730,195678
3,195910,195883
4,196120,196088
5,196290,196293
6,196470,196498
7,196700,196703
8,196920,196908
9,197090,197113
10,197310,197318
11,197510,197523
12,197720,197727
1,198260,198187
2,198440,198392
3,198620,198596
4,198800,198801
5,199000,199006
6,199200,199211
7,199400,199415
8,199580,199620
9,199820,199825
10,200020,200030
11,200190,200234
12,200400,200439
1,200710,200644
2,200910,200848
3,201090,201053
4,201250,201258
5,201440,201463
6,201640,201667
7,201870,201872
8,202070,202077
9,202270,202282
10,202490,202486
11,202660,202691
12,202940,202896
