Bell No,Actual Time,Ideal time from medium response Kalman Filter
1,0,0
2,230,217.826
3,400,435.652
4,650,653.478
5,960,871.304
6,1150,1089.13
7,1400,1306.96
8,1560,1524.78
9,1820,1742.61
10,2050,1960.43
11,2210,2178.26
12,2460,2396.09
1,2680,2613.91
2,2860,2831.74
3,3080,3049.57
4,3270,3267.39
5,3510,3485.22
6,3750,3703.04
7,3990,3920.87
8,4150,4138.7
9,4330,4356.52
10,4560,4574.35
11,4800,4792.17
12,5010,5010
1,5410,5420.38
2,5630,5628.23
3,5840,5836.08
4,6050,6043.94
5,6250,6251.79
6,6490,6459.64
7,6700,6667.49
8,6890,6875.34
9,7100,7083.19
10,7320,7291.05
11,7460,7498.9
12,7730,7706.75
1,7910,7914.6
2,8110,8122.45
3,8310,8330.3
4,8520,8538.16
5,8720,8746.01
6,8940,8953.86
7,9150,9161.71
8,9310,9369.56
9,9530,9577.42
10,9790,9785.27
11,10010,9993.12
12,10200,10201
1,10620,10614.7
2,10820,10819.2
3,11000,11023.8
4,11230,11228.3
5,11410,11432.9
6,11640,11637.4
7,11850,11842
8,12000,12046.5
9,12230,12251.1
10,12450,12455.6
11,12600,12660.2
12,12860,12864.8
1,13080,13069.3
2,13300,13273.9
3,13490,13478.4
4,13690,13683
5,13880,13887.5
6,14070,14092.1
7,14300,14296.6
8,14510,14501.2
9,14670,14705.7
10,14900,14910.3
11,15140,15114.8
12,15340,15319.4
1,15750,15747.7
2,15940,15951.6
3,16140,16155.6
4,16370,16359.5
5,16590,16563.5
6,16800,16767.4
7,16990,16971.4
8,17180,17175.4
9,17360,17379.3
10,17570,17583.3
11,17790,17787.2
12,17970,17991.2
1,18190,18195.1
2,18390,18399.1
3,18560,18603
4,18790,18807
5,18990,19010.9
6,19190,19214.9
7,19440,19418.8
8,19620,19622.8
9,19790,19826.8
10,20040,20030.7
11,20270,20234.7
12,20490,20438.6
1,20860,20862.8
2,21060,21066.3
3,21240,21269.8
4,21480,21473.3
5,21690,21676.8
6,21890,21880.3
7,22100,22083.8
8,22260,22287.3
9,22500,22490.8
10,22690,22694.3
11,22880,22897.8
12,23090,23101.3
1,23300,23304.8
2,23490,23508.3
3,23700,23711.7
4,23890,23915.2
5,24100,24118.7
6,24320,24322.2
7,24580,24525.7
8,24740,24729.2
9,24910,24932.7
10,25130,25136.2
11,25360,25339.7
12,25560,25543.2
1,25920,25963.3
2,26140,26167.5
3,26350,26371.7
4,26570,26575.9
5,26790,26780.2
6,27010,26984.4
7,27210,27188.6
8,27380,27392.8
9,27630,27597
10,27820,27801.2
11,28000,28005.4
12,28190,28209.6
1,28390,28413.9
2,28570,28618.1
3,28780,28822.3
4,28990,29026.5
5,29220,29230.7
6,29430,29434.9
7,29660,29639.1
8,29860,29843.4
9,30050,30047.6
10,30270,30251.8
11,30490,30456
12,30680,30660.2
1,31070,31078.8
2,31240,31282.3
3,31490,31485.9
4,31690,31689.4
5,31900,31893
6,32090,32096.5
7,32310,32300
8,32490,32503.6
9,32700,32707.1
10,32930,32910.7
11,33140,33114.2
12,33320,33317.7
1,33520,33521.3
2,33690,33724.8
3,33910,33928.3
4,34130,34131.9
5,34330,34335.4
6,34520,34539
7,34740,34742.5
8,34960,34946
9,35120,35149.6
10,35370,35353.1
11,35570,35556.7
12,35780,35760.2
1,36200,36185.8
2,36390,36390
3,36590,36594.1
4,36820,36798.3
5,37020,37002.4
6,37220,37206.6
7,37400,37410.8
8,37590,37614.9
9,37810,37819.1
10,38020,38023.2
11,38200,38227.4
12,38420,38431.6
1,38630,38635.7
2,38830,38839.9
3,39020,39044
4,39250,39248.2
5,39440,39452.3
6,39630,39656.5
7,39900,39860.7
8,40090,40064.8
9,40250,40269
10,40470,40473.1
11,40720,40677.3
12,40890,40881.5
1,41230,41281.5
2,41440,41485
3,41630,41688.5
4,41880,41892
5,42090,42095.6
6,42300,42299.1
7,42520,42502.6
8,42700,42706.1
9,42940,42909.7
10,43130,43113.2
11,43300,43316.7
12,43530,43520.2
1,43700,43723.8
2,43890,43927.3
3,44080,44130.8
4,44310,44334.3
5,44540,44537.9
6,44720,44741.4
7,44960,44944.9
8,45160,45148.4
9,45350,45352
10,45570,45555.5
11,45790,45759
12,45990,45962.5
1,46380,46378.7
2,46590,46581.9
3,46780,46785
4,47010,46988.1
5,47190,47191.2
6,47420,47394.3
7,47610,47597.5
8,47770,47800.6
9,48000,48003.7
10,48180,48206.8
11,48390,48410
12,48610,48613.1
1,48820,48816.2
2,49010,49019.3
3,49210,49222.5
4,49410,49425.6
5,49600,49628.7
6,49820,49831.8
7,50050,50035
8,50230,50238.1
9,50440,50441.2
10,50690,50644.3
11,50880,50847.5
12,51040,51050.6
1,51500,51470.3
2,51680,51674
3,51880,51877.7
4,52110,52081.3
5,52290,52285
6,52480,52488.7
7,52670,52692.3
8,52860,52896
9,53100,53099.7
10,53280,53303.4
11,53500,53507
12,53680,53710.7
1,53960,53914.4
2,54120,54118
3,54310,54321.7
4,54510,54525.4
5,54720,54729.1
6,54920,54932.7
7,55160,55136.4
8,55320,55340.1
9,55520,55543.7
10,55760,55747.4
11,56000,55951.1
12,56170,56154.8
1,56570,56567.3
2,56760,56771
3,56950,56974.8
4,57170,57178.5
5,57390,57382.3
6,57600,57586
7,57830,57789.7
8,57990,57993.5
9,58220,58197.2
10,58410,58400.9
11,58590,58604.7
12,58770,58808.4
1,59000,59012.2
2,59180,59215.9
3,59390,59419.6
4,59580,59623.4
5,59800,59827.1
6,60030,60030.9
7,60260,60234.6
8,60430,60438.3
9,60640,60642.1
10,60860,60845.8
11,61100,61049.5
12,61280,61253.3
1,61640,61664
2,61850,61868.3
3,62060,62072.7
4,62290,62277
