Bell No,Actual Time,Ideal time from medium response Kalman Filter
1,0,0
2,190,211.304
3,400,422.609
4,580,633.913
5,770,845.217
6,990,1056.52
7,1230,1267.83
8,1440,1479.13
9,1640,1690.43
10,1780,1901.74
11,1950,2113.04
12,2160,2324.35
1,2490,2535.65
2,2740,2746.96
3,2980,2958.26
4,3130,3169.57
5,3330,3380.87
7,3470,3592.17
6,3550,3803.48
8,3910,4014.78
9,4130,4226.09
10,4330,4437.39
11,4540,4648.7
12,4860,4860
1,5370,5269.49
2,5530,5473.09
3,5710,5676.68
4,5920,5880.28
5,6120,6083.87
6,6260,6287.47
7,6470,6491.06
8,6660,6694.65
9,6840,6898.25
10,7040,7101.84
11,7220,7305.44
12,7490,7509.03
1,7770,7712.63
2,7940,7916.22
3,8120,8119.82
4,8290,8323.41
5,8510,8527.01
6,8700,8730.6
7,8970,8934.2
8,9130,9137.79
9,9320,9341.38
10,9520,9544.98
11,9720,9748.57
12,10020,9952.17
1,10480,10389.9
2,10640,10591.7
3,10840,10793.5
4,11030,10995.3
5,11240,11197.1
6,11400,11398.9
7,11600,11600.7
8,11800,11802.5
9,11940,12004.3
10,12190,12206.1
11,12380,12407.9
12,12610,12609.7
1,12740,12811.5
2,13050,13013.3
3,13240,13215.1
4,13400,13416.9
5,13620,13618.7
6,13810,13820.5
7,13980,14022.3
8,14210,14224.1
9,14370,14425.9
10,14660,14627.7
11,14830,14829.5
12,15110,15031.3
1,15570,15475.7
2,15720,15676.7
3,15930,15877.7
4,16080,16078.7
5,16290,16279.6
6,16480,16480.6
7,16680,16681.6
8,16890,16882.6
9,17030,17083.5
10,17240,17284.5
11,17430,17485.5
12,17680,17686.5
1,17950,17887.4
2,18110,18088.4
3,18330,18289.4
4,18470,18490.4
5,18680,18691.4
6,18890,18892.3
7,19090,19093.3
8,19300,19294.3
9,19470,19495.3
10,19690,19696.2
11,19880,19897.2
12,20130,20098.2
1,20640,20543.5
2,20810,20743.5
3,21000,20943.5
4,21150,21143.4
5,21350,21343.4
6,21550,21543.4
7,21740,21743.4
8,21940,21943.4
9,22080,22143.4
10,22290,22343.4
11,22500,22543.4
12,22730,22743.3
1,22940,22943.3
2,23160,23143.3
3,23360,23343.3
4,23520,23543.3
5,23740,23743.3
6,23940,23943.3
7,24130,24143.3
8,24380,24343.2
9,24490,24543.2
10,24750,24743.2
11,24940,24943.2
12,25210,25143.2
1,25670,25590.6
2,25850,25790.8
3,26060,25990.9
4,26190,26191
5,26390,26391.2
6,26590,26591.3
7,26800,26791.4
8,26950,26991.6
9,27110,27191.7
10,27320,27391.8
11,27540,27592
12,27830,27792.1
1,28040,27992.2
2,28230,28192.4
3,28420,28392.5
4,28540,28592.6
5,28770,28792.8
6,28960,28992.9
7,29190,29193
8,29400,29393.1
9,29560,29593.3
10,29810,29793.4
11,30000,29993.5
12,30270,30193.7
1,30730,30641.6
2,30920,30840.7
3,31100,31039.7
4,31250,31238.7
5,31440,31437.8
6,31630,31636.8
7,31820,31835.9
8,32010,32034.9
9,32150,32233.9
10,32400,32433
11,32610,32632
12,32860,32831.1
1,32980,33030.1
2,33230,33229.2
3,33440,33428.2
4,33620,33627.2
5,33820,33826.3
6,34000,34025.3
7,34230,34224.4
8,34440,34423.4
9,34570,34622.5
10,34830,34821.5
11,35030,35020.5
12,35300,35219.6
1,35750,35675.9
2,35940,35875.2
3,36110,36074.6
4,36300,36274
5,36480,36473.4
6,36660,36672.7
7,36890,36872.1
8,37070,37071.5
9,37180,37270.9
10,37420,37470.2
11,37630,37669.6
12,37830,37869
1,38090,38068.3
2,38300,38267.7
3,38490,38467.1
4,38670,38666.5
5,38870,38865.8
6,39070,39065.2
7,39290,39264.6
8,39470,39464
9,39620,39663.3
10,39860,39862.7
11,40070,40062.1
12,40290,40261.5
1,40780,40714.8
2,40960,40913.4
3,41160,41112
4,41330,41310.6
5,41530,41509.2
6,41710,41707.8
7,41930,41906.5
8,42100,42105.1
9,42240,42303.7
10,42460,42502.3
11,42660,42700.9
12,42860,42899.5
1,43090,43098.2
2,43290,43296.8
3,43500,43495.4
4,43670,43694
5,43880,43892.6
6,44070,44091.2
7,44330,44289.9
8,44510,44488.5
9,44670,44687.1
10,44890,44885.7
11,45090,45084.3
12,45330,45282.9
1,45760,45725.8
2,45930,45924.4
3,46130,46123
4,46310,46321.6
5,46500,46520.2
6,46730,46718.8
7,46920,46917.4
8,47110,47116
9,47270,47314.6
10,47480,47513.2
11,47670,47711.8
12,47920,47910.4
1,48160,48109
2,48330,48307.7
3,48490,48506.3
4,48670,48704.9
5,48890,48903.5
6,49080,49102.1
7,49310,49300.7
8,49500,49499.3
9,49680,49697.9
10,49910,49896.5
11,50090,50095.1
12,50360,50293.7
1,50820,50748.5
2,50980,50947.9
3,51160,51147.4
4,51330,51346.8
5,51530,51546.2
6,51750,51745.7
7,51940,51945.1
8,52110,52144.5
9,52260,52343.9
10,52540,52543.4
11,52710,52742.8
12,52990,52942.2
1,53200,53141.7
2,53380,53341.1
3,53560,53540.5
4,53720,53740
5,53920,53939.4
6,54140,54138.8
7,54360,54338.2
