Bell No,Actual Time,Ideal time from medium response Kalman Filter
1,0,0
2,170,209.565
3,380,419.13
4,500,628.696
5,690,838.261
6,940,1047.83
7,1190,1257.39
8,1330,1466.96
9,1540,1676.52
10,1740,1886.09
11,1980,2095.65
12,2280,2305.22
1,2600,2514.78
2,2800,2724.35
3,3010,2933.91
4,3160,3143.48
5,3340,3353.04
6,3530,3562.61
7,3750,3772.17
8,3960,3981.74
9,4130,4191.3
10,4400,4400.87
11,4550,4610.43
12,4820,4820
1,5330,5239.56
2,5510,5443.82
3,5690,5648.07
4,5860,5852.33
5,6040,6056.59
6,6220,6260.85
7,6420,6465.11
8,6670,6669.37
9,6870,6873.63
10,7030,7077.89
11,7220,7282.15
12,7440,7486.41
1,7790,7690.67
2,7980,7894.93
3,8160,8099.19
4,8300,8303.45
5,8510,8507.71
6,8700,8711.96
7,8920,8916.22
8,9080,9120.48
9,9300,9324.74
10,9500,9529
11,9680,9733.26
12,9960,9937.52
1,10440,10360
2,10620,10560.1
3,10800,10760.3
4,10960,10960.4
5,11190,11160.6
6,11340,11360.7
7,11540,11560.9
8,11720,11761
9,11910,11961.2
10,12110,12161.3
11,12300,12361.5
12,12530,12561.6
1,12840,12761.8
2,13020,12961.9
3,13210,13162.1
4,13360,13362.2
5,13560,13562.4
6,13750,13762.5
7,13950,13962.7
8,14150,14162.8
9,14350,14363
10,14550,14563.1
11,14740,14763.2
12,14980,14963.4
1,15470,15394.7
2,15630,15593.6
3,15840,15792.6
4,16000,15991.5
5,16200,16190.5
6,16370,16389.4
7,16540,16588.4
8,16800,16787.3
9,16970,16986.3
10,17140,17185.3
11,17320,17384.2
12,17520,17583.2
1,17840,17782.1
2,18000,17981.1
3,18230,18180
4,18380,18379
5,18580,18577.9
6,18780,18776.9
7,19010,18975.8
8,19170,19174.8
9,19320,19373.7
10,19560,19572.7
11,19750,19771.7
12,20020,19970.6
1,20480,20402.7
2,20630,20600.7
3,20850,20798.7
4,21010,20996.6
5,21180,21194.6
6,21350,21392.6
7,21600,21590.6
8,21780,21788.5
9,21940,21986.5
10,22150,22184.5
11,22330,22382.4
12,22530,22580.4
1,22830,22778.4
2,23020,22976.3
3,23210,23174.3
4,23350,23372.3
5,23560,23570.2
6,23760,23768.2
7,23970,23966.2
8,24170,24164.1
9,24370,24362.1
10,24560,24560.1
11,24740,24758
12,24980,24956
1,25470,25399
2,25640,25597.5
3,25820,25796.1
4,25990,25994.6
5,26170,26193.2
6,26380,26391.7
7,26590,26590.3
8,26780,26788.8
9,26970,26987.4
10,27180,27185.9
11,27350,27384.5
12,27530,27583
1,27870,27781.5
2,28040,27980.1
3,28210,28178.6
4,28370,28377.2
5,28550,28575.7
6,28750,28774.3
7,28980,28972.8
8,29170,29171.4
9,29350,29369.9
10,29560,29568.5
11,29760,29767
12,29990,29965.6
1,30430,30388.4
2,30580,30585.8
3,30780,30783.1
4,30980,30980.4
5,31170,31177.7
6,31380,31375.1
7,31600,31572.4
8,31770,31769.7
9,31930,31967
10,32110,32164.4
11,32290,32361.7
12,32550,32559
1,32790,32756.4
2,32960,32953.7
3,33150,33151
4,33330,33348.3
5,33520,33545.7
6,33740,33743
7,33970,33940.3
8,34150,34137.7
9,34340,34335
10,34490,34532.3
11,34700,34729.6
12,35020,34927
1,35410,35357.1
2,35540,35555
3,35760,35752.8
4,35950,35950.7
5,36120,36148.5
6,36330,36346.4
7,36560,36544.2
8,36740,36742.1
9,36920,36939.9
10,37110,37137.8
11,37280,37335.7
12,37490,37533.5
1,37790,37731.4
2,37980,37929.2
3,38180,38127.1
4,38310,38324.9
5,38500,38522.8
6,38700,38720.6
7,38910,38918.5
8,39110,39116.4
9,39310,39314.2
10,39520,39512.1
11,39710,39709.9
12,39940,39907.8
1,40420,40341.4
2,40570,40539.2
3,40740,40737.1
4,40940,40935
5,41130,41132.9
6,41310,41330.7
7,41540,41528.6
8,41700,41726.5
9,41880,41924.3
10,42070,42122.2
11,42260,42320.1
12,42440,42517.9
1,42780,42715.8
2,42950,42913.7
3,43150,43111.6
4,43310,43309.4
5,43530,43507.3
6,43730,43705.2
7,43930,43903
8,44090,44100.9
9,44290,44298.8
10,44480,44496.6
11,44660,44694.5
12,44930,44892.4
1,45400,45318.5
2,45540,45516.2
3,45720,45713.8
4,45860,45911.4
5,46090,46109.1
6,46300,46306.7
7,46490,46504.4
8,46680,46702
9,46890,46899.6
10,47050,47097.3
11,47230,47294.9
12,47460,47492.6
1,47740,47690.2
