Bell No,Actual Time,Ideal time from medium response Kalman Filter
1,0,0
2,260,224.348
3,460,448.696
4,710,673.043
5,960,897.391
6,1170,1121.74
7,1380,1346.09
8,1660,1570.43
9,1830,1794.78
10,2030,2019.13
11,2290,2243.48
12,2520,2467.83
1,2780,2692.17
2,3020,2916.52
3,3210,3140.87
4,3480,3365.22
5,3640,3589.57
6,3850,3813.91
7,4060,4038.26
8,4250,4262.61
9,4490,4486.96
10,4730,4711.3
11,4920,4935.65
12,5160,5160
1,5630,5598.63
2,5850,5812.11
3,6060,6025.59
4,6300,6239.06
5,6500,6452.54
6,6680,6666.02
7,6890,6879.49
8,7090,7092.97
9,7250,7306.45
10,7500,7519.92
11,7710,7733.4
12,7920,7946.88
1,8220,8160.35
2,8440,8373.83
3,8600,8587.3
4,8820,8800.78
5,9000,9014.26
6,9210,9227.73
7,9400,9441.21
8,9590,9654.69
9,9800,9868.16
10,10060,10081.6
11,10300,10295.1
12,10500,10508.6
1,10960,10951.8
2,11210,11160.6
3,11420,11369.5
4,11580,11578.3
5,11790,11787.2
6,11960,11996
7,12200,12204.9
8,12370,12413.8
9,12560,12622.6
10,12770,12831.5
11,13020,13040.3
12,13240,13249.2
1,13560,13458
2,13740,13666.9
3,13920,13875.8
4,14060,14084.6
5,14300,14293.5
6,14480,14502.3
7,14720,14711.2
8,14900,14920
9,15100,15128.9
10,15310,15337.7
11,15520,15546.6
12,15770,15755.5
1,16260,16218.8
2,16460,16427.4
3,16680,16636
4,16860,16844.6
5,17070,17053.2
6,17260,17261.8
7,17480,17470.4
8,17650,17679.1
9,17810,17887.7
10,18010,18096.3
11,18210,18304.9
12,18470,18513.5
1,18830,18722.1
2,19030,18930.7
3,19190,19139.3
4,19390,19347.9
5,19580,19556.5
6,19770,19765.1
7,20010,19973.7
8,20160,20182.3
9,20360,20390.9
10,20590,20599.5
11,20770,20808.1
12,21000,21016.7
1,21550,21480.9
2,21720,21688.5
3,21930,21896
4,22120,22103.6
5,22320,22311.2
6,22500,22518.7
7,22720,22726.3
8,22940,22933.9
9,23070,23141.5
10,23260,23349
11,23500,23556.6
12,23730,23764.2
1,24080,23971.7
2,24280,24179.3
3,24440,24386.9
4,24590,24594.4
5,24810,24802
6,24990,25009.6
7,25190,25217.1
8,25390,25424.7
9,25620,25632.3
10,25860,25839.9
11,26020,26047.4
12,26270,26255
1,26770,26720.2
2,26960,26926.8
3,27170,27133.4
4,27390,27340
5,27560,27546.5
6,27720,27753.1
7,27990,27959.7
8,28140,28166.3
9,28290,28372.9
10,28470,28579.5
11,28750,28786.1
12,29010,28992.7
