Bell No,Actual Time,Ideal time from medium response Kalman Filter
1,0,0
2,160,209.565
3,370,419.13
4,610,628.696
5,820,838.261
6,1060,1047.83
7,1290,1257.39
8,1450,1466.96
9,1630,1676.52
10,1860,1886.09
11,1990,2095.65
12,2190,2305.22
1,2520,2514.78
2,2730,2724.35
3,2920,2933.91
4,3070,3143.48
5,3280,3353.04
6,3520,3562.61
7,3770,3772.17
8,3970,3981.74
9,4170,4191.3
10,4340,4400.87
11,4560,4610.43
12,4820,4820
1,5260,5215.91
2,5450,5419.31
3,5670,5622.7
4,5830,5826.09
5,5970,6029.49
6,6190,6232.88
7,6390,6436.27
8,6580,6639.67
9,6820,6843.06
10,7050,7046.45
11,7230,7249.85
12,7450,7453.24
1,7710,7656.63
2,7880,7860.03
3,8100,8063.42
4,8270,8266.81
5,8420,8470.21
6,8650,8673.6
7,8870,8876.99
8,9070,9080.39
9,9270,9283.78
10,9470,9487.17
11,9670,9690.57
12,9940,9893.96
1,10420,10329.8
2,10590,10532.9
3,10790,10735.9
4,10960,10939
5,11130,11142.1
6,11330,11345.2
7,11540,11548.2
8,11720,11751.3
9,11970,11954.4
10,12180,12157.4
11,12350,12360.5
12,12530,12563.6
1,12770,12766.7
2,12970,12969.7
3,13180,13172.8
4,13350,13375.9
5,13550,13579
6,13760,13782
7,14010,13985.1
8,14200,14188.2
9,14370,14391.3
10,14610,14594.3
11,14760,14797.4
12,15060,15000.5
1,15480,15420.4
2,15650,15621.3
3,15840,15822.2
4,16000,16023
5,16190,16223.9
6,16390,16424.8
7,16610,16625.7
8,16810,16826.6
9,17020,17027.5
10,17250,17228.4
11,17400,17429.3
12,17630,17630.1
1,17880,17831
2,18100,18031.9
3,18280,18232.8
4,18390,18433.7
5,18600,18634.6
6,18810,18835.5
7,19030,19036.3
8,19240,19237.2
9,19450,19438.1
10,19610,19639
11,19790,19839.9
12,20090,20040.8
1,20540,20471.9
2,20710,20673.1
3,20920,20874.3
4,21060,21075.4
5,21260,21276.6
6,21480,21477.8
7,21680,21679
8,21850,21880.2
9,22070,22081.4
10,22260,22282.6
11,22430,22483.8
12,22640,22685
1,22920,22886.1
2,23120,23087.3
3,23300,23288.5
4,23480,23489.7
5,23670,23690.9
6,23880,23892.1
7,24130,24093.3
8,24300,24294.5
9,24520,24495.6
10,24690,24696.8
11,24870,24898
12,25130,25099.2
1,25580,25526.3
2,25760,25727
3,25940,25927.7
4,26120,26128.4
5,26320,26329.1
6,26530,26529.9
7,26740,26730.6
8,26920,26931.3
9,27130,27132
10,27310,27332.7
11,27480,27533.4
12,27700,27734.1
1,27980,27934.8
2,28160,28135.6
3,28320,28336.3
4,28480,28537
5,28700,28737.7
6,28940,28938.4
7,29180,29139.1
8,29390,29339.8
9,29560,29540.5
10,29730,29741.2
11,29880,29942
12,30200,30142.7
1,30610,30568.5
2,30780,30768.9
3,30970,30969.2
4,31160,31169.6
5,31350,31370
6,31570,31570.3
7,31810,31770.7
8,31960,31971
9,32190,32171.4
10,32350,32371.8
11,32530,32572.1
12,32750,32772.5
1,32990,32972.9
2,33190,33173.2
3,33380,33373.6
4,33550,33574
5,33720,33774.3
6,33970,33974.7
7,34190,34175.1
8,34390,34375.4
9,34580,34575.8
10,34790,34776.1
11,34930,34976.5
12,35240,35176.9
1,35670,35605.6
2,35840,35805.9
3,36030,36006.2
4,36190,36206.4
5,36390,36406.7
6,36610,36606.9
7,36790,36807.2
