Bell No,Actual Time,Ideal time from medium response Kalman Filter
1,0,0
2,200,215.217
3,450,430.435
4,540,645.652
5,770,860.87
6,1000,1076.09
7,1220,1291.3
8,1420,1506.52
9,1710,1721.74
10,1920,1936.96
11,2100,2152.17
12,2220,2367.39
1,2580,2582.61
2,2810,2797.83
3,3040,3013.04
4,3130,3228.26
5,3340,3443.48
6,3580,3658.7
7,3810,3873.91
8,4040,4089.13
9,4220,4304.35
10,4410,4519.57
11,4600,4734.78
12,4950,4950
1,5430,5350.99
2,5600,5557.2
3,5790,5763.4
4,5930,5969.6
5,6130,6175.81
6,6370,6382.01
7,6610,6588.21
8,6780,6794.42
9,6950,7000.62
10,7150,7206.82
11,7340,7413.03
12,7580,7619.23
1,7890,7825.43
2,8090,8031.64
3,8280,8237.84
4,8400,8444.04
5,8590,8650.25
6,8840,8856.45
7,9050,9062.65
8,9290,9268.86
9,9460,9475.06
10,9670,9681.26
11,9860,9887.47
12,10130,10093.7
1,10650,10537.8
2,10780,10743.3
3,10990,10948.8
4,11160,11154.3
5,11350,11359.8
6,11580,11565.3
7,11780,11770.7
8,11980,11976.2
9,12150,12181.7
10,12390,12387.2
11,12550,12592.7
12,12760,12798.2
1,13030,13003.7
2,13200,13209.2
3,13430,13414.7
4,13580,13620.2
5,13790,13825.7
6,14010,14031.2
7,14240,14236.7
8,14480,14442.2
9,14630,14647.7
10,14890,14853.2
11,15050,15058.7
12,15290,15264.2
1,15790,15698.3
2,15920,15902.1
3,16140,16106
4,16290,16309.8
5,16480,16513.6
6,16730,16717.4
7,16930,16921.3
8,17110,17125.1
9,17270,17328.9
10,17520,17532.8
11,17700,17736.6
12,17930,17940.4
1,18200,18144.2
2,18390,18348.1
3,18590,18551.9
4,18700,18755.7
5,18900,18959.6
6,19150,19163.4
7,19360,19367.2
8,19580,19571
9,19750,19774.9
10,20000,19978.7
11,20160,20182.5
12,20450,20386.4
1,20910,20830.5
2,21060,21034
3,21260,21237.5
4,21440,21441
5,21640,21644.5
6,21850,21847.9
7,22070,22051.4
8,22250,22254.9
9,22420,22458.4
10,22650,22661.9
11,22840,22865.4
12,23050,23068.9
1,23320,23272.4
2,23490,23475.9
3,23700,23679.4
4,23830,23882.9
5,24050,24086.4
6,24280,24289.9
7,24500,24493.4
8,24710,24696.9
9,24880,24900.4
10,25120,25103.8
11,25290,25307.3
12,25560,25510.8
1,26060,25959.7
2,26190,26163.9
3,26410,26368.1
4,26580,26572.3
5,26770,26776.5
6,26970,26980.7
7,27210,27184.9
8,27390,27389.1
9,27550,27593.2
10,27750,27797.4
11,27950,28001.6
12,28160,28205.8
1,28450,28410
2,28610,28614.2
3,28830,28818.4
4,28980,29022.5
5,29210,29226.7
6,29420,29430.9
7,29650,29635.1
8,29860,29839.3
9,30070,30043.5
10,30270,30247.7
11,30460,30451.9
12,30670,30656
1,31110,31089.7
2,31270,31293.9
3,31510,31498.1
4,31690,31702.3
5,31900,31906.5
6,32120,32110.7
7,32320,32314.9
8,32520,32519.1
9,32720,32723.3
10,32930,32927.5
11,33120,33131.7
12,33300,33335.9
1,33540,33540.1
2,33730,33744.3
3,33950,33948.5
4,34100,34152.7
5,34330,34356.9
6,34550,34561.1
7,34770,34765.3
8,35020,34969.5
9,35170,35173.7
10,35420,35377.9
11,35580,35582.1
12,35800,35786.3
1,36310,36231.9
2,36450,36435.6
3,36660,36639.3
4,36850,36843
5,37040,37046.7
6,37270,37250.5
7,37450,37454.2
8,37650,37657.9
9,37830,37861.6
10,38050,38065.3
11,38240,38269
12,38440,38472.7
1,38690,38676.4
2,38880,38880.1
3,39080,39083.8
4,39270,39287.5
5,39490,39491.2
6,39720,39695
7,39930,39898.7
8,40130,40102.4
9,40310,40306.1
10,40500,40509.8
11,40690,40713.5
12,40920,40917.2
1,41410,41355.3
2,41590,41558.5
3,41780,41761.8
4,41940,41965.1
5,42150,42168.4
6,42380,42371.6
7,42560,42574.9
8,42750,42778.2
9,42940,42981.5
10,43160,43184.8
11,43350,43388
12,43590,43591.3
1,43840,43794.6
2,44020,43997.9
3,44210,44201.1
4,44370,44404.4
5,44570,44607.7
6,44810,44811
7,45020,45014.2
8,45250,45217.5
9,45420,45420.8
10,45630,45624.1
11,45810,45827.3
12,46070,46030.6
1,46560,46476.6
2,46710,46679.8
3,46900,46882.9
4,47090,47086
5,47290,47289.2
6,47480,47492.3
7,47680,47695.4
8,47900,47898.6
9,48050,48101.7
10,48270,48304.8
11,48490,48508
12,48680,48711.1
1,48960,48914.2
2,49130,49117.4
3,49310,49320.5
4,49490,49523.6
5,49700,49726.8
6,49940,49929.9
7,50180,50133
8,50380,50336.2
9,50500,50539.3
10,50750,50742.4
11,50950,50945.6
12,51160,51148.7
1,51650,51586.4
2,51790,51789.6
3,52010,51992.9
4,52180,52196.1
5,52390,52399.4
6,52600,52602.6
7,52810,52805.8
8,53000,53009.1
9,53150,53212.3
10,53400,53415.6
11,53610,53618.8
12,53790,53822.1
1,54030,54025.3
2,54230,54228.5
3,54440,54431.8
4,54580,54635
5,54780,54838.3
6,55040,55041.5
7,55300,55244.7
8,55480,55448
9,55660,55651.2
10,55860,55854.5
11,56060,56057.7
12,56300,56261
2,56730,56722.6
1,56980,56927.6
4,57180,57132.6
3,57380,57337.6
6,57510,57542.6
5,57740,57747.6
8,57970,57952.6
7,58170,58157.6
10,58350,58362.6
9,58540,58567.6
12,58720,58772.6
11,58970,58977.6
1,59220,59182.6
2,59400,59387.6
4,59640,59592.6
6,59830,59797.6
3,60040,60002.6
8,60240,60207.6
5,60400,60412.6
10,60570,60617.6
7,60820,60822.6
12,61000,61027.6
9,61190,61232.6
11,61470,61437.6
2,61850,61879.3
1,62110,62082.5
6,62290,62285.6
4,62510,62488.8
8,62690,62691.9
3,62930,62895.1
10,63020,63098.2
5,63260,63301.3
12,63500,63504.5
7,63740,63707.6
11,63940,63910.8
9,64110,64113.9
2,64350,64317.1
6,64500,64520.2
1,64780,64723.4
4,64950,64926.5
3,65150,65129.6
8,65360,65332.8
5,65510,65535.9
10,65700,65739.1
7,65920,65942.2
12,66090,66145.4
9,66330,66348.5
11,66580,66551.6
6,67030,67014.2
2,67250,67218.4
4,67480,67422.5
1,67720,67626.6
8,67880,67830.8
3,68050,68034.9
10,68170,68239
5,68430,68443.1
12,68550,68647.3
7,68800,68851.4
11,69020,69055.5
9,69190,69259.6
6,69510,69463.8
2,69720,69667.9
1,69950,69872
4,70110,70076.2
8,70320,70280.3
10,70480,70484.4
3,70710,70688.5
12,70860,70892.7
5,71080,71096.8
11,71300,71300.9
7,71480,71505
9,71710,71709.2
2,72160,72162.1
6,72360,72366.3
4,72580,72570.5
1,72850,72774.7
10,72960,72978.9
8,73180,73183.1
12,73370,73387.3
3,73590,73591.5
11,73770,73795.7
5,73960,73999.9
9,74130,74204.1
7,74440,74408.3
6,74660,74612.5
2,74870,74816.7
4,75060,75020.9
10,75200,75225.1
1,75450,75429.3
8,75640,75633.5
3,75880,75837.7
12,76040,76041.9
5,76240,76246.1
11,76410,76450.3
7,76630,76654.5
9,76850,76858.7
2,77330,77317.1
6,77560,77521.8
10,77750,77726.5
4,77920,77931.3
8,78090,78136
1,78400,78340.7
12,78530,78545.4
3,78790,78750.1
11,78950,78954.8
5,79120,79159.5
9,79310,79364.2
7,79530,79568.9
2,79820,79773.6
10,79980,79978.3
6,80180,80183
4,80440,80387.7
1,80660,80592.4
8,80760,80797.1
12,80980,81001.8
11,81210,81206.5
3,81450,81411.2
9,81610,81616
5,81790,81820.7
7,82010,82025.4
10,82460,82477.9
2,82670,82684.2
4,82920,82890.4
6,83100,83096.7
8,83290,83302.9
1,83570,83509.2
11,83680,83715.5
12,83890,83921.7
9,84100,84128
3,84380,84334.2
7,84540,84540.5
5,84750,84746.7
2,84950,84953
10,85140,85159.2
6,85340,85365.5
4,85540,85571.7
8,85790,85778
11,85970,85984.2
1,86210,86190.5
12,86390,86396.8
3,86640,86603
9,86810,86809.3
5,87020,87015.5
7,87240,87221.8
10,87640,87666.7
2,87820,87874.3
4,88050,88081.9
6,88240,88289.5
11,88480,88497.1
8,88710,88704.6
12,88940,88912.2
1,89200,89119.8
9,89350,89327.4
3,89560,89535
7,89800,89742.6
5,89970,89950.2
10,90160,90157.7
4,90320,90365.3
2,90510,90572.9
11,90750,90780.5
6,90970,90988.1
8,91180,91195.7
1,91410,91403.3
12,91580,91610.8
9,91820,91818.4
7,92070,92026
3,92270,92233.6
5,92440,92441.2
4,92860,92862.9
10,92990,93068.8
11,93220,93274.8
2,93460,93480.7
8,93650,93686.7
6,93890,93892.6
12,94080,94098.5
1,94310,94304.5
7,94550,94510.4
9,94740,94716.3
5,94900,94922.3
3,95110,95128.2
10,95390,95334.2
4,95510,95540.1
2,95720,95746
11,95940,95952
6,96160,96157.9
8,96380,96363.9
12,96560,96569.8
7,96750,96775.7
1,96980,96981.7
9,97210,97187.6
3,97420,97393.5
5,97590,97599.5
4,98040,98044.8
10,98260,98251.7
11,98440,98458.6
2,98650,98665.5
8,98880,98872.3
6,99090,99079.2
7,99300,99286.1
12,99480,99492.9
9,99680,99699.8
1,99940,99906.7
5,100080,100114
3,100320,100320
4,100560,100527
11,100720,100734
10,100950,100941
8,101160,101148
2,101350,101355
7,101530,101562
6,101800,101769
12,101990,101975
1,102210,102182
9,102390,102389
3,102580,102596
5,102780,102803
11,103180,103237
4,103420,103444
8,103640,103650
10,103860,103857
7,104050,104064
2,104280,104271
12,104500,104478
6,104690,104685
9,104900,104891
1,105170,105098
5,105320,105305
3,105520,105512
4,105730,105719
11,105890,105925
10,106110,106132
8,106310,106339
2,106510,106546
7,106700,106753
6,106920,106960
12,107170,107166
9,107370,107373
5,107560,107580
1,107860,107787
3,108040,107994
11,108420,108430
4,108670,108637
8,108830,108844
10,109060,109051
7,109180,109258
2,109430,109465
12,109670,109672
6,109920,109879
5,110090,110086
9,110270,110293
3,110520,110500
1,110770,110707
11,110860,110914
8,111130,111121
4,111340,111328
7,111560,111535
10,111700,111743
12,111960,111950
2,112140,112157
5,112340,112364
6,112540,112571
9,112760,112778
1,113070,112985
3,113190,113192
8,113660,113635
11,113850,113842
7,114070,114049
4,114260,114257
12,114470,114464
10,114650,114671
5,114860,114879
2,115070,115086
9,115250,115293
6,115500,115500
3,115720,115708
1,115930,115915
11,116160,116122
8,116330,116330
4,116580,116537
7,116730,116744
10,116940,116952
12,117150,117159
2,117350,117366
5,117550,117573
6,117780,117781
9,117980,117988
3,118180,118195
1,118450,118403
