Bell No,Actual Time,SJF Model,Kalman Slow Model,RWP Model,Metronomic Model
6,289780,289806,289792,289803,289881
7,290010,290015,290001,290011,290090
3,290280,290224,290209,290219,290298
8,290460,290433,290418,290426,290507
1,290690,290642,290627,290634,290716
5,290830,290851,290836,290842,290924
4,291020,291060,291045,291050,291133
2,291280,291269,291254,291257,291342
9,291480,291478,291462,291465,291550
12,291670,291687,291671,291673,291759
10,292090,292128,292116,292127,292177
11,292260,292335,292324,292334,292385
7,292490,292543,292533,292540,292594
6,292710,292750,292741,292747,292803
8,293010,292957,292950,292954,293011
3,293210,293165,293158,293160,293220
5,293380,293372,293367,293367,293429
1,293590,293580,293575,293574,293637
4,293740,293787,293784,293780,293846
2,293950,293994,293992,293987,294055
9,294170,294202,294201,294194,294264
12,294400,294409,294409,294400,294472
10,294580,294617,294618,294607,294681
7,294810,294824,294826,294814,294890
11,294990,295031,295035,295020,295098
8,295210,295239,295243,295227,295307
6,295430,295446,295452,295434,295516
5,295630,295653,295660,295640,295724
3,295950,295861,295869,295847,295933
4,296060,296068,296077,296054,296142
1,296350,296276,296286,296261,296351
9,296490,296483,296494,296467,296559
2,296710,296690,296703,296674,296768
12,296880,296898,296911,296881,296977
7,297320,297352,297349,297350,297394
10,297530,297559,297557,297557,297603
11,297800,297766,297765,297763,297811
6,297990,297972,297973,297970,298020
8,298180,298179,298181,298177,298229
3,298420,298386,298389,298383,298437
5,298590,298593,298597,298590,298646
1,298800,298800,298804,298797,298855
4,298970,299006,299012,299003,299064
2,299180,299213,299220,299210,299272
9,299370,299420,299428,299417,299481
12,299570,299627,299636,299623,299690
7,299810,299834,299844,299830,299898
11,300040,300040,300052,300037,300107
10,300280,300247,300260,300243,300316
8,300420,300454,300468,300450,300524
6,300650,300661,300676,300657,300733
5,300880,300868,300883,300863,300942
3,301140,301074,301091,301070,301151
4,301260,301281,301299,301277,301359
1,301520,301488,301507,301483,301568
9,301710,301695,301715,301690,301777
2,301930,301902,301923,301897,301985
12,302080,302108,302131,302103,302194
11,302550,302561,302572,302566,302611
7,302770,302769,302779,302773,302820
10,302960,302977,302987,302980,303029
6,303140,303184,303194,303187,303238
8,303400,303392,303402,303394,303446
3,303660,303599,303609,303601,303655
5,303820,303807,303817,303808,303864
1,304030,304015,304024,304014,304072
4,304170,304222,304232,304221,304281
2,304390,304430,304439,304428,304490
9,304590,304638,304647,304635,304698
12,304790,304845,304854,304842,304907
11,305010,305053,305062,305049,305116
10,305240,305261,305269,305256,305325
7,305460,305468,305477,305463,305533
8,305700,305676,305684,305669,305742
6,305870,305883,305892,305876,305951
5,306160,306091,306099,306083,306159
3,306340,306299,306307,306290,306368
4,306480,306506,306514,306497,306577
1,306740,306714,306722,306704,306785
9,306940,306922,306929,306911,306994
2,307160,307129,307137,307118,307203
12,307320,307337,307344,307324,307411
10,307730,307793,307797,307799,307829
11,307950,308000,308005,308006,308038
8,308210,308208,308212,308213,308246
7,308460,308416,308419,308420,308455
5,308680,308623,308627,308627,308664
6,308860,308831,308834,308834,308872
4,309060,309039,309042,309041,309081
3,309290,309246,309249,309248,309290
9,309440,309454,309457,309455,309498
1,309670,309662,309664,309662,309707
2,309830,309870,309871,309869,309916
12,310020,310077,310079,310076,310125
11,310230,310285,310286,310283,310333
10,310470,310493,310494,310490,310542
8,310640,310700,310701,310697,310751
5,310900,310908,310908,310904,310959
7,311120,311116,311116,311111,311168
4,311400,311324,311323,311318,311377
6,311570,311531,311531,311525,311585
9,311730,311739,311738,311732,311794
3,311970,311947,311946,311939,312003
2,312160,312154,312153,312146,312212
1,312380,312362,312360,312353,312420
12,312540,312570,312568,312560,312629
11,313020,313016,313021,313017,313046
8,313230,313224,313229,313224,313255
10,313410,313432,313436,313432,313464
7,313620,313640,313643,313639,313672
5,313810,313848,313851,313847,313881
6,314050,314056,314058,314054,314090
4,314220,314264,314266,314262,314298
3,314480,314471,314473,314469,314507
9,314660,314679,314680,314677,314716
1,314890,314887,314888,314884,314925
2,315080,315095,315095,315092,315133
12,315320,315303,315303,315299,315342
8,315500,315511,315510,315507,315551
11,315730,315719,315717,315714,315759
10,315930,315927,315925,315922,315968
5,316150,316134,316132,316129,316177
7,316330,316342,316340,316337,316385
4,316550,316550,316547,316544,316594
6,316730,316758,316754,316752,316803
9,316920,316966,316962,316959,317012
3,317220,317174,317169,317167,317220
2,317400,317382,317377,317374,317429
1,317620,317590,317584,317582,317638
12,317800,317797,317791,317789,317846
8,318280,318254,318263,318271,318264
10,318450,318464,318471,318479,318472
11,318670,318674,318679,318687,318681
7,318910,318883,318887,318895,318890
5,319130,319093,319095,319103,319099
6,319290,319302,319303,319311,319307
4,319470,319512,319510,319519,319516
3,319760,319721,319718,319727,319725
9,319890,319931,319926,319935,319933
1,320150,320140,320134,320144,320142
2,320340,320350,320342,320352,320351
12,320570,320559,320550,320560,320559
10,320740,320769,320758,320768,320768
8,320880,320979,320966,320976,320977
11,321170,321188,321174,321184,321186
5,321390,321398,321382,321392,321394
7,321620,321607,321590,321600,321603
4,321810,321817,321798,321808,321812
6,322000,322026,322006,322016,322020
9,322220,322236,322214,322224,322229
3,322510,322445,322422,322433,322438
2,322690,322655,322630,322641,322646
1,322880,322864,322838,322849,322855
12,323110,323074,323046,323057,323064
8,323450,323512,323514,323524,323481
10,323640,323721,323722,323732,323690
5,323960,323931,323931,323940,323899
11,324130,324141,324139,324148,324107
4,324350,324350,324348,324357,324316
7,324600,324560,324556,324565,324525
9,324740,324770,324764,324773,324733
6,324980,324979,324973,324981,324942
2,325180,325189,325181,325189,325151
3,325390,325399,325390,325397,325359
1,325630,325608,325598,325605,325568
12,325810,325818,325807,325813,325777
8,325990,326028,326015,326022,325986
5,326250,326238,326224,326230,326194
10,326420,326447,326432,326438,326403
4,326650,326657,326641,326646,326612
11,326860,326867,326849,326854,326820
9,327070,327076,327057,327062,327029
7,327330,327286,327266,327270,327238
2,327480,327496,327474,327478,327446
6,327670,327705,327683,327687,327655
1,327920,327915,327891,327895,327864
3,328160,328125,328100,328103,328073
12,328360,328334,328308,328311,328281
5,328830,328782,328773,328785,328699
8,329030,328990,328982,328993,328907
10,329260,329199,329190,329201,329116
11,329370,329408,329399,329410,329325
4,329560,329616,329608,329618,329533
7,329810,329825,329817,329826,329742
9,330010,330033,330025,330034,329951
6,330230,330242,330234,330243,330160
2,330440,330451,330443,330451,330368
3,330660,330659,330651,330659,330577
1,330880,330868,330860,330868,330786
12,331040,331076,331069,331076,330994
5,331330,331285,331278,331284,331203
10,331480,331494,331486,331492,331412
8,331680,331702,331695,331701,331620
4,331860,331911,331904,331909,331829
11,332100,332119,332113,332117,332038
9,332330,332328,332321,332326,332246
7,332550,332537,332530,332534,332455
2,332730,332745,332739,332742,332664
6,332940,332954,332947,332950,332873
1,333210,333162,333156,333159,333081
3,333390,333371,333365,333367,333290
12,333600,333580,333574,333575,333499
10,334070,334034,334035,334054,333916
5,334240,334243,334244,334261,334125
8,334490,334452,334453,334469,334333
11,334680,334662,334662,334677,334542
4,334800,334871,334871,334884,334751
7,335060,335080,335080,335092,334960
9,335270,335290,335289,335300,335168
6,335480,335499,335498,335507,335377
2,335690,335708,335707,335715,335586
3,335950,335918,335915,335923,335794
1,336180,336127,336124,336130,336003
12,336350,336336,336333,336338,336212
10,336560,336546,336542,336545,336420
8,336770,336755,336751,336753,336629
5,336970,336964,336960,336961,336838
4,337110,337174,337169,337168,337047
11,337340,337383,337378,337376,337255
9,337580,337592,337587,337584,337464
7,337810,337802,337796,337791,337673
2,338010,338011,338005,337999,337881
6,338200,338220,338214,338207,338090
1,338470,338430,338423,338414,338299
3,338670,338639,338631,338622,338507
12,338850,338849,338840,338830,338716
8,339280,339284,339284,339289,339134
10,339500,339492,339492,339497,339342
4,339620,339700,339701,339704,339551
5,339850,339908,339909,339911,339760
9,340100,340116,340118,340118,339968
11,340300,340324,340326,340325,340177
2,340530,340532,340535,340533,340386
7,340740,340740,340743,340740,340594
6,340950,340948,340952,340947,340803
3,341310,341157,341161,341154,341012
1,341470,341365,341369,341362,341220
12,341550,341573,341578,341569,341429
10,341770,341781,341786,341776,341638
8,341890,341989,341995,341983,341847
4,342140,342197,342203,342191,342055
9,342380,342405,342412,342398,342264
5,342590,342613,342620,342605,342473
2,342870,342821,342829,342812,342681
11,343020,343029,343038,343020,342890
6,343200,343237,343246,343227,343099
7,343430,343445,343455,343434,343307
1,343670,343653,343663,343641,343516
3,343900,343861,343872,343848,343725
12,344080,344070,344080,344056,343934
10,344510,344518,344525,344526,344351
4,344700,344726,344734,344734,344560
8,344960,344934,344942,344941,344768
5,345140,345142,345150,345149,344977
9,345330,345351,345358,345356,345186
11,345590,345559,345567,345564,345394
2,345750,345767,345775,345771,345603
7,345990,345975,345983,345979,345812
6,346200,346184,346191,346186,346021
3,346420,346392,346400,346394,346229
1,346640,346600,346608,346601,346438
12,346790,346808,346816,346809,346647
4,347010,347017,347024,347016,346855
10,347250,347225,347233,347224,347064
8,347330,347433,347441,347431,347273
9,347630,347641,347649,347639,347481
5,347830,347850,347857,347846,347690
2,348030,348058,348065,348054,347899
11,348290,348266,348274,348261,348107
6,348500,348474,348482,348469,348316
7,348670,348683,348690,348676,348525
1,348940,348891,348898,348884,348734
3,349110,349099,349107,349091,348942
12,349290,349307,349315,349299,349151
4,349760,349763,349766,349769,349568
8,350020,349971,349974,349976,349777
10,350200,350179,350182,350184,349986
5,350430,350387,350390,350392,350194
9,350590,350595,350598,350599,350403
11,350830,350802,350806,350807,350612
2,351010,351010,351014,351014,350821
7,351180,351218,351222,351222,351029
6,351410,351426,351431,351430,351238
3,351630,351634,351639,351637,351447
1,351870,351842,351847,351845,351655
12,352020,352050,352055,352052,351864
8,352250,352258,352263,352260,352073
4,352480,352466,352471,352468,352281
10,352650,352674,352679,352675,352490
9,352850,352881,352887,352883,352699
5,353090,353089,353095,353090,352908
2,353310,353297,353303,353298,353116
11,353480,353505,353511,353506,353325
6,353730,353713,353719,353713,353534
7,353920,353921,353927,353921,353742
1,354160,354129,354135,354128,353951
3,354350,354337,354343,354336,354160
12,354530,354545,354551,354544,354368
4,355050,355004,355008,355020,354786
8,355280,355212,355216,355227,354995
9,355440,355420,355424,355434,355203
10,355630,355629,355632,355641,355412
2,355840,355837,355840,355849,355621
5,356000,356045,356049,356056,355829
6,356250,356254,356257,356263,356038
11,356460,356462,356465,356470,356247
1,356660,356670,356673,356677,356455
7,356860,356879,356881,356884,356664
3,357120,357087,357089,357091,356873
12,357250,357295,357297,357299,357081
4,357500,357504,357505,357506,357290
9,357680,357712,357713,357713,357499
8,357820,357920,357921,357920,357708
2,358210,358129,358129,358127,357916
10,358350,358337,358337,358334,358125
6,358530,358545,358545,358541,358334
5,358760,358754,358754,358748,358542
1,359000,358962,358962,358956,358751
11,359200,359170,359170,359163,358960
3,359420,359379,359378,359370,359168
7,359600,359587,359586,359577,359377
12,359740,359795,359794,359784,359586
9,360240,360237,360240,360245,360003
4,360420,360444,360448,360452,360212
8,360630,360652,360655,360659,360421
10,360840,360860,360863,360865,360629
2,361070,361067,361071,361072,360838
5,361290,361275,361279,361279,361047
6,361480,361483,361487,361485,361255
11,361700,361690,361694,361692,361464
1,361900,361898,361902,361899,361673
7,362090,362106,362110,362105,361882
3,362310,362314,362318,362312,362090
12,362510,362521,362526,362519,362299
9,362700,362729,362734,362725,362508
8,362960,362937,362941,362932,362716
4,363100,363144,363149,363139,362925
2,363350,363352,363357,363345,363134
10,363570,363560,363565,363552,363342
6,363760,363767,363773,363759,363551
5,363960,363975,363980,363965,363760
1,364220,364183,364188,364172,363969
11,364400,364390,364396,364379,364177
3,364660,364598,364604,364586,364386
7,364780,364806,364812,364792,364595
12,364990,365013,365019,364999,364803
8,365530,365461,365465,365464,365221
9,365710,365668,365673,365671,365429
4,365830,365876,365880,365878,365638
10,366070,366083,366088,366085,365847
2,366280,366290,366295,366292,366055
5,366490,366498,366503,366499,366264
6,366690,366705,366710,366706,366473
11,366880,366912,366918,366913,366682
1,367130,367120,367125,367120,366890
7,367310,367327,367333,367327,367099
3,367530,367534,367541,367534,367308
12,367790,367742,367748,367741,367516
8,367850,367949,367956,367949,367725
4,368160,368156,368163,368156,367934
9,368350,368364,368371,368363,368142
2,368580,368571,368578,368570,368351
10,368790,368778,368786,368777,368560
6,369000,368986,368993,368984,368769
5,369190,369193,369201,369191,368977
1,369450,369400,369408,369398,369186
11,369590,369608,369616,369605,369395
3,369870,369815,369823,369812,369603
7,369960,370022,370031,370019,369812
12,370250,370230,370238,370226,370021
4,370730,370692,370695,370704,370438
8,370930,370899,370903,370911,370647
2,371130,371107,371110,371118,370856
9,371260,371315,371318,371325,371064
6,371500,371522,371525,371532,371273
10,371760,371730,371733,371739,371482
1,372010,371938,371940,371945,371690
5,372150,372145,372148,372152,371899
3,372360,372353,372355,372359,372108
11,372520,372561,372563,372566,372316
7,372690,372768,372770,372773,372525
12,372970,372976,372978,372980,372734
8,373180,373183,373185,373187,372943
4,373430,373391,373393,373394,373151
2,373650,373599,373600,373601,373360
6,373840,373806,373808,373807,373569
9,373980,374014,374015,374014,373777
1,374290,374222,374223,374221,373986
10,374440,374429,374430,374428,374195
3,374680,374637,374638,374635,374403
5,374830,374845,374846,374842,374612
7,374990,375052,375053,375049,374821
11,375210,375260,375261,375256,375029
12,375470,375467,375468,375463,375238
8,375920,375919,375918,375924,375656
2,376110,376126,376125,376131,375864
4,376360,376333,376333,376337,376073
9,376530,376540,376540,376544,376282
6,376750,376747,376747,376750,376490
10,377000,376954,376955,376957,376699
1,377240,377161,377162,377163,376908
5,377360,377368,377369,377370,377116
3,377600,377574,377577,377576,377325
11,377720,377781,377784,377783,377534
7,377880,377988,377991,377989,377743
12,378160,378195,378199,378196,377951
2,378390,378402,378406,378402,378160
8,378580,378609,378613,378608,378369
4,378830,378816,378821,378815,378577
6,379030,379023,379028,379021,378786
9,379210,379229,379235,379228,378995
1,379520,379436,379443,379434,379203
10,379690,379643,379650,379641,379412
3,379910,379850,379857,379847,379621
5,380060,380057,380064,380054,379830
7,380220,380264,380272,380260,380038
11,380440,380471,380479,380467,380247
12,380660,380678,380686,380673,380456
2,381110,381132,381138,381141,380873
4,381300,381340,381345,381347,381082
8,381600,381547,381552,381554,381290
9,381730,381754,381759,381761,381499
6,381980,381962,381966,381967,381708
10,382160,382169,382174,382174,381916
1,382430,382376,382381,382381,382125
5,382620,382584,382588,382587,382334
3,382830,382791,382795,382794,382543
11,382960,382998,383002,383000,382751
7,383120,383206,383210,383207,382960
12,383380,383413,383417,383414,383169
4,383640,383620,383624,383620,383377
2,383860,383828,383831,383827,383586
8,384030,384035,384038,384034,383795
6,384210,384242,384246,384240,384003
9,384410,384450,384453,384447,384212
1,384720,384657,384660,384654,384421
10,384890,384865,384867,384860,384630
3,385120,385072,385074,385067,384838
5,385320,385279,385282,385274,385047
7,385430,385487,385489,385480,385256
11,385640,385694,385696,385687,385464
12,385920,385901,385903,385894,385673
2,386420,386361,386358,386367,386090
4,386550,386568,386565,386574,386299
6,386760,386775,386772,386780,386508
8,387000,386981,386979,386986,386717
1,387260,387188,387186,387193,386925
9,387380,387394,387393,387399,387134
3,387630,387601,387600,387605,387343
10,387810,387808,387808,387812,387551
5,388030,388014,388015,388018,387760
11,388190,388221,388222,388224,387969
7,388370,388428,388429,388431,388177
12,388650,388634,388636,388637,388386
2,388860,388841,388843,388843,388595
6,389020,389047,389050,389049,388804
4,389210,389254,389257,389256,389012
1,389510,389461,389464,389462,389221
8,389610,389667,389672,389668,389430
3,389910,389874,389879,389875,389638
9,390070,390081,390086,390081,389847
5,390270,390287,390293,390287,390056
10,390550,390494,390500,390494,390264
7,390680,390701,390707,390700,390473
11,390870,390907,390914,390906,390682
12,391150,391114,391121,391113,390890
6,391560,391575,391569,391567,391308
2,391750,391780,391776,391773,391517
4,391970,391986,391983,391980,391725
8,392210,392192,392189,392187,391934
1,392490,392398,392396,392393,392143
9,392630,392603,392603,392600,392351
3,392830,392809,392810,392806,392560
10,393010,393015,393016,393013,392769
5,393150,393220,393223,393219,392977
11,393370,393426,393430,393426,393186
7,393580,393632,393637,393633,393395
12,393850,393837,393844,393839,393604
6,394110,394043,394050,394046,393812
4,394280,394249,394257,394252,394021
2,394520,394455,394464,394459,394230
1,394740,394660,394671,394666,394438
8,394880,394866,394877,394872,394647
3,395140,395072,395084,395079,394856
9,395280,395277,395291,395285,395064
5,395450,395483,395498,395492,395273
10,395630,395689,395705,395698,395482
7,395850,395895,395911,395905,395691
11,396030,396100,396118,396112,395899
12,396310,396306,396325,396318,396108
4,396880,396797,396790,396804,396525
6,397040,397003,396997,397011,396734
2,397280,397209,397204,397217,396943
8,397490,397415,397410,397424,397151
1,397670,397622,397617,397630,397360
9,397820,397828,397824,397837,397569
3,398040,398034,398031,398043,397778
10,398240,398240,398238,398249,397986
5,398370,398447,398445,398456,398195
11,398610,398653,398652,398662,398404
7,398760,398859,398859,398869,398612
12,399020,399065,399066,399075,398821
4,399320,399271,399273,399282,399030
2,399550,399478,399479,399488,399238
6,399740,399684,399686,399694,399447
1,399970,399890,399893,399901,399656
8,400160,400096,400100,400107,399864
3,400370,400302,400307,400314,400073
9,400490,400509,400514,400520,400282
5,400660,400715,400721,400727,400491
10,400870,400921,400928,400933,400699
7,401110,401127,401135,401139,400908
11,401310,401334,401342,401346,401117
12,401510,401540,401549,401552,401325
2,402060,402014,401999,402018,401743
4,402190,402219,402205,402223,401951
1,402470,402424,402412,402427,402160
6,402600,402629,402619,402632,402369
3,402880,402833,402825,402837,402578
8,403120,403038,403032,403042,402786
5,403270,403243,403238,403246,402995
9,403410,403448,403445,403451,403204
7,403630,403652,403651,403656,403412
10,403810,403857,403858,403861,403621
11,404030,404062,404065,404065,403830
12,404210,404267,404271,404270,404038
4,404480,404471,404478,404475,404247
2,404680,404676,404684,404680,404456
1,404950,404881,404891,404884,404665
3,405140,405085,405097,405089,404873
6,405300,405290,405304,405294,405082
5,405520,405495,405511,405499,405291
8,405760,405700,405717,405703,405499
7,405930,405904,405924,405908,405708
9,406080,406109,406130,406113,405917
11,406310,406314,406337,406318,406125
10,406350,406519,406543,406522,406334
12,406760,406723,406750,406727,406543
4,407230,407194,407178,407175,406960
1,407470,407397,407383,407379,407169
2,407660,407599,407589,407584,407378
6,407720,407801,407794,407788,407586
3,408030,408004,408000,407992,407795
8,408220,408206,408205,408196,408004
5,408440,408408,408411,408400,408212
9,408580,408611,408616,408605,408421
7,408830,408813,408822,408809,408630
10,408860,409016,409027,409013,408838
11,409130,409218,409233,409217,409047
12,409350,409420,409438,409421,409256
1,409670,409623,409644,409625,409465
4,409860,409825,409849,409830,409673
2,410070,410027,410055,410034,409882
3,410330,410230,410260,410238,410091
6,410460,410432,410466,410442,410299
5,410670,410635,410671,410646,410508
8,410880,410837,410877,410851,410717
7,411090,411039,411082,411055,410925
9,411260,411242,411288,411259,411134
10,411430,411444,411493,411463,411343
11,411460,411646,411699,411667,411552
12,411860,411849,411904,411871,411760
1,412390,412327,412344,412336,412178
2,412570,412532,412549,412541,412386
4,412670,412738,412754,412745,412595
6,412880,412943,412959,412950,412804
3,413210,413148,413164,413154,413012
8,413370,413354,413369,413359,413221
5,413580,413559,413574,413564,413430
9,413750,413764,413779,413768,413639
7,413940,413969,413984,413973,413847
10,414150,414175,414189,414178,414056
11,414300,414380,414394,414382,414265
12,414540,414585,414599,414587,414473
2,414810,414791,414805,414791,414682
1,415030,414996,415010,414996,414891
4,415180,415201,415215,415201,415099
3,415500,415406,415420,415405,415308
6,415620,415612,415625,415610,415517
5,415840,415817,415830,415815,415725
8,416040,416022,416035,416019,415934
7,416220,416227,416240,416224,416143
9,416390,416433,416445,416428,416352
11,416600,416638,416650,416633,416560
10,416840,416843,416855,416838,416769
12,417120,417049,417060,417042,416978
1,417590,417521,417511,417514,417395
2,417760,417725,417715,417718,417604
3,417940,417928,417920,417923,417812
4,418110,418132,418125,418127,418021
5,418340,418335,418330,418331,418230
6,418550,418539,418534,418535,418439
7,418710,418742,418739,418739,418647
8,418920,418945,418944,418944,418856
9,419100,419149,419148,419148,419065
10,419360,419352,419353,419352,419273
11,419550,419556,419558,419556,419482
12,419750,419759,419763,419760,419691
1,420010,419963,419967,419965,419899
2,420180,420166,420172,420169,420108
3,420430,420370,420377,420373,420317
4,420570,420573,420582,420577,420526
5,420770,420777,420786,420781,420734
6,420980,420980,420991,420986,420943
7,421170,421183,421196,421190,421152
8,421330,421387,421401,421394,421360
9,421560,421590,421605,421598,421569
10,421750,421794,421810,421802,421778
11,421990,421997,422015,422007,421986
12,422280,422201,422220,422211,422195
1,422760,422676,422665,422662,422613
2,422910,422878,422869,422866,422821
3,423090,423081,423073,423070,423030
4,423260,423284,423277,423274,423239
5,423460,423486,423482,423478,423447
6,423700,423689,423686,423682,423656
7,423870,423891,423890,423885,423865
8,424090,424094,424094,424089,424073
9,424270,424296,424299,424293,424282
10,424440,424499,424503,424497,424491
11,424680,424702,424707,424701,424699
12,424910,424904,424911,424905,424908
1,425180,425107,425116,425109,425117
2,425350,425309,425320,425312,425326
3,425550,425512,425524,425516,425534
4,425700,425714,425729,425720,425743
5,425900,425917,425933,425924,425952
6,426090,426120,426137,426128,426160
7,426300,426322,426341,426332,426369
8,426490,426525,426546,426536,426578
9,426700,426727,426750,426740,426786
10,426910,426930,426954,426943,426995
11,427140,427132,427158,427147,427204
12,427410,427335,427363,427351,427413
1,427870,427810,427817,427819,427830
2,428070,428015,428022,428023,428039
3,428250,428219,428226,428227,428247
4,428360,428424,428430,428430,428456
5,428620,428629,428634,428634,428665
6,428830,428833,428838,428838,428873
7,429010,429038,429043,429042,429082
8,429200,429243,429247,429246,429291
9,429400,429447,429451,429450,429500
10,429600,429652,429655,429654,429708
11,429800,429857,429860,429858,429917
12,430070,430061,430064,430061,430126
1,430310,430266,430268,430265,430334
2,430510,430471,430472,430469,430543
3,430720,430675,430677,430673,430752
4,430870,430880,430881,430877,430960
5,431070,431085,431085,431081,431169
6,431260,431289,431289,431285,431378
7,431500,431494,431494,431488,431587
8,431650,431699,431698,431692,431795
9,431900,431903,431902,431896,432004
10,432110,432108,432106,432100,432213
11,432310,432313,432310,432304,432421
12,432630,432517,432515,432508,432630
