 137  1633  4890256E173T                                                                                                                                                  E
 138  1645  49820651E37T                                                                                                                                                  1
 139  1657  9480256E173T                                                                                                                                                  3
 140  1669  98420651E37T                                                                                                                                                  1
 141  1681  8940256E173T                                                                                                                                                  3
 142  1693  84920651E37T                                                                                                                                                  1
 143  1705  482960153E7T                                                                                                                                                  E
 144  1717  8426910357ET                                                                                                                                                  3
 145  1729  824960153E7T                                                                                                                                                  1
 146  1741  2846910357ET                                                                                                                                                  3
 147  1753  248960153E7T                                                                                                                                                  1
 148  1765  4286910357ET                                                                                                                                                  3
 149  1777  246819305E7T                                                                                                                                                  9
 150  1789  2641839507ET                                                                                                                                                  1
 151  1801  624819305E7T                                                                                                                                                  3
 152  1813  6421839507ET                                                                                                                                                  1
 153  1825  462819305E7T                                                                                                                                                  3
 154  1837  4261839507ET                                                                                                                                                  1
 155  1849  2416385970ET                                                                                                                                                  E
 156  1861  421365879E0T                                                                                                                                                  3
 157  1873  4126385970ET                                                                                                                                                  1
 158  1885  1423658790ET                                                                                                                                                  30E
 159  1897  1246385970ET                                                                                                                                                  0E
 160  1909  214365879E0T                                                                                                                                                  3
 161  1921  1234567890ET                                                                                                                                                  9
 162  1933  1234567890ET                                                                                                                                                  =
 163  1945  1234567890ET                                                                                                                                                  =
 164  1957  1234567890ET                                                                                                                                                  =
 165  1969  1234567890ET                                                                                                                                                  =
 166  1981  1234567890ET                                                                                                                                                  =
