Bell No,Actual Time,Ideal time from medium response Kalman Filter
1,0,0
2,190,218.261
3,390,436.522
4,600,654.783
5,850,873.043
6,1050,1091.3
7,1270,1309.57
8,1480,1527.83
9,1680,1746.09
10,1960,1964.35
11,2150,2182.61
12,2340,2400.87
1,2650,2619.13
2,2880,2837.39
3,3050,3055.65
4,3210,3273.91
5,3480,3492.17
6,3630,3710.43
7,3850,3928.7
8,4090,4146.96
9,4310,4365.22
10,4540,4583.48
11,4730,4801.74
12,5020,5020
1,5490,5437.11
2,5680,5645.42
3,5880,5853.73
4,6060,6062.04
5,6290,6270.35
6,6450,6478.65
7,6680,6686.96
8,6880,6895.27
9,7110,7103.58
10,7350,7311.89
11,7520,7520.19
12,7700,7728.5
1,7960,7936.81
2,8180,8145.12
3,8360,8353.43
4,8530,8561.73
5,8720,8770.04
6,8910,8978.35
7,9150,9186.66
8,9360,9394.97
9,9600,9603.27
10,9810,9811.58
11,10020,10019.9
12,10250,10228.2
1,10710,10665
2,10910,10869.9
3,11080,11074.9
4,11270,11279.9
5,11470,11484.9
6,11670,11689.9
7,11880,11894.9
8,12100,12099.9
9,12310,12304.9
10,12590,12509.9
11,12730,12714.9
12,12930,12919.9
1,13160,13124.9
2,13330,13329.9
3,13540,13534.9
4,13680,13739.9
5,13890,13944.9
6,14070,14149.9
7,14320,14354.8
8,14580,14559.8
9,14760,14764.8
10,14970,14969.8
11,15180,15174.8
12,15430,15379.8
1,15890,15829.2
2,16050,16033.6
3,16220,16238.1
4,16450,16442.5
5,16670,16646.9
6,16850,16851.4
7,17070,17055.8
8,17250,17260.3
9,17470,17464.7
10,17690,17669.1
11,17840,17873.6
12,18090,18078
1,18340,18282.4
2,18520,18486.9
3,18680,18691.3
4,18870,18895.7
5,19050,19100.2
6,19260,19304.6
7,19480,19509
8,19710,19713.5
9,19910,19917.9
10,20140,20122.4
11,20310,20326.8
12,20590,20531.2
1,21020,20987.9
2,21210,21191.7
3,21380,21395.4
4,21620,21599.1
5,21820,21802.9
6,22010,22006.6
7,22240,22210.3
8,22450,22414
9,22650,22617.8
10,22860,22821.5
11,23010,23025.2
12,23190,23228.9
1,23450,23432.7
2,23650,23636.4
3,23860,23840.1
4,24010,24043.8
5,24220,24247.6
6,24420,24451.3
7,24660,24655
8,24850,24858.8
9,25060,25062.5
10,25270,25266.2
11,25450,25469.9
12,25690,25673.7
1,26170,26124.2
2,26370,26327.3
3,26520,26530.5
4,26730,26733.7
