1,3200
2,3430
3,3660
4,3820
5,4040
6,4290
7,4580
8,4770
9,4980
10,5240
11,5420
12,5640
1,5700
2,6090
3,6260
4,6470
5,6640
6,6840
7,7070
8,7250
9,7480
10,7790
11,8000
12,8270
1,8620
2,8830
3,9080
4,9290
5,9520
6,9670
7,9900
8,10060
9,10270
10,10470
11,10640
12,10990
1,11280
2,11520
3,11690
4,11850
5,12010
6,12180
7,12410
8,12580
9,12770
10,13000
11,13230
12,13500
1,13990
2,14170
3,14360
4,14540
5,14760
6,14940
7,15160
8,15360
9,15600
10,15790
11,15930
12,16180
1,16440
2,16630
3,16830
4,16990
5,17170
6,17360
7,17610
8,17810
9,18030
10,18290
11,18450
12,18710
1,19130
2,19300
3,19510
4,19700
5,19920
6,20110
7,20340
8,20480
9,20760
10,20980
11,21150
12,21370
1,21590
2,21770
3,21950
4,22140
5,22320
6,22550
7,22830
8,23000
9,23190
10,23420
11,23640
12,23900
1,24220
2,24480
3,24680
4,24860
5,25050
6,25270
7,25480
8,25660
9,25880
10,26100
11,26300
12,26530
1,26680
2,26960
3,27150
4,27310
5,27500
6,27710
7,27990
8,28160
9,28340
10,28560
11,28750
12,29030
1,29360
2,29670
3,29820
4,30010
5,30200
6,30440
7,30650
8,30830
9,31030
10,31250
11,31490
12,31710
1,31830
2,32110
3,32310
4,32460
5,32640
6,32850
7,33080
8,33240
9,33430
10,33710
11,33880
12,34170
1,34590
2,34790
3,35020
4,35180
5,35390
6,35560
7,35770
8,35930
9,36100
10,36330
11,36590
12,36810
1,37090
2,37290
3,37500
4,37650
5,37810
6,38000
7,38230
8,38430
9,38630
10,38850
11,39030
12,39260
1,39730
2,39930
3,40160
4,40330
5,40600
6,40750
7,40950
8,41120
9,41370
10,41570
11,41720
12,41920
1,42220
2,42440
3,42620
4,42770
5,42950
6,43170
7,43390
8,43620
9,43770
10,44050
11,44250
12,44430
1,44870
2,45070
3,45270
4,45430
5,45590
6,45820
7,46000
8,46270
9,46480
10,46690
11,46900
12,47090
1,47300
2,47510
3,47700
4,47850
5,48070
6,48260
7,48470
8,48730
9,48900
10,49160
11,49320
12,49600
1,49980
2,50170
3,50370
4,50550
5,50740
6,50930
7,51140
8,51380
9,51550
10,51790
11,51960
12,52210
1,52420
2,52630
3,52820
4,52970
5,53140
6,53360
7,53590
8,53840
9,54020
10,54250
11,54420
12,54710
1,55100
2,55280
3,55460
4,55640
5,55850
6,56060
7,56240
8,56490
