 104  1237  8 0 T 1 E 9 6 7 4 5 2 3   36
 105  1249  0 8 1 T E 6 9 4 7 2 5 3   5
 106  1261  8 0 T 1 6 E 4 9 2 7 3 5   -
 107  1273  0 8 1 T 6 4 E 2 9 3 7 5   5
 108  1285  0 1 8 T 4 6 2 E 3 9 5 7   14
 109  1297  1 0 T 8 6 4 E 2 9 3 7 5   -
 110  1309  0 1 8 T 6 E 4 9 2 7 3 5   5
 111  1321  1 0 T 8 E 6 9 4 7 2 5 3   -
 112  1333  1 T 0 E 8 9 6 7 4 5 2 3   1
 113  1345  T 1 E 0 9 8 7 6 5 4 3 2   -
 114  1357  1 T 0 E 9 7 8 5 6 3 4 2   5
 115  1369  T 1 E 0 7 9 5 8 3 6 2 4   -
 116  1381  T E 1 0 9 7 8 5 6 3 4 2   14
 117  1393  E T 0 1 9 8 7 6 5 4 3 2   5
 118  1405  T E 1 0 8 9 6 7 4 5 2 3   -
 119  1417  E T 0 1 8 6 9 4 7 2 5 3   5
 120  1429  T E 0 8 1 6 4 9 2 7 3 5   36
 121  1441  T 0 E 8 6 1 9 4 7 2 5 3   14
 122  1453  0 T 8 E 1 6 4 9 2 7 3 5   -
 123  1465  T 0 E 8 6 1 4 2 9 3 7 5   7
 124  1477  0 T 8 E 6 4 1 2 3 9 5 7   58
 125  1489  0 8 T 6 E 4 2 1 9 3 7 5   16
 126  1501  8 0 6 T 4 E 1 2 3 9 5 7   -
 127  1513  0 8 T 6 E 4 2 1 3 5 9 7   9
 128  1525  8 0 6 T 4 E 2 3 1 5 7 9   70
 129  1537  8 6 0 4 T 2 E 3 5 1 9 7   18
 130  1549  6 8 4 0 2 T 3 E 1 5 7 9   -
 131  1561  6 4 8 2 0 3 T E 5 1 9 7   18
 132  1573  4 6 2 8 3 0 E T 5 9 1 7   9
 133  1585  6 4 8 2 0 3 T E 9 5 7 1   -
 134  1597  6 8 4 0 2 T 3 E 5 9 1 7   18
 135  1609  8 6 0 4 T 2 E 3 9 5 7 1   -
 136  1621  8 0 6 T 4 E 2 9 3 7 5 1   1
 137  1633  0 8 T 6 E 4 9 2 7 3 1 5   -
 138  1645  0 T 8 E 6 9 4 2 3 7 5 1   18
 139  1657  T 0 E 8 9 6 2 4 7 3 1 5   -
 140  1669  0 T 8 E 6 9 4 2 7 1 3 5   9
 141  1681  0 8 T 6 E 4 9 2 1 7 5 3   18
 142  1693  8 0 6 T 4 E 2 9 7 1 3 5   -
 143  1705  8 6 0 4 T 2 E 9 1 7 5 3   18
 144  1717  6 8 4 0 2 T E 1 9 7 3 5   70
 145  1729  8 6 0 4 T 2 1 E 9 3 7 5   9
 146  1741  6 8 4 0 2 T E 1 3 9 5 7   -
 147  1753  6 4 8 2 0 T 1 E 9 3 7 5   16
 148  1765  4 6 2 8 0 1 T E 3 9 5 7   58
 149  1777  6 4 8 2 1 0 T 3 E 5 9 7   7
 150  1789  4 6 2 8 0 1 3 T 5 E 7 9   -
