Bell No,Actual Time,Ideal time from medium response Kalman Filter
2,66960,66921.5
6,67090,67119.2
1,67280,67316.9
4,67530,67514.6
3,67750,67712.3
8,67930,67910
5,68110,68107.6
10,68270,68305.3
7,68470,68503
12,68680,68700.7
9,68910,68898.4
11,69120,69096.1
6,69480,69535.1
2,69750,69734.1
4,69950,69933
1,70210,70131.9
8,70300,70330.9
3,70540,70529.8
10,70810,70728.8
5,70920,70927.7
12,71080,71126.6
7,71240,71325.6
11,71490,71524.5
9,71700,71723.5
6,71890,71922.4
2,72130,72121.3
1,72370,72320.3
4,72530,72519.2
8,72700,72718.1
10,72980,72917.1
3,73180,73116
12,73350,73315
5,73530,73513.9
11,73700,73712.8
7,73840,73911.8
9,74100,74110.7
2,74500,74538.5
6,74690,74737.2
4,74880,74935.9
1,75170,75134.6
10,75380,75333.2
8,75560,75531.9
12,75730,75730.6
3,75940,75929.3
11,76110,76127.9
5,76320,76326.6
9,76490,76525.3
7,76680,76724
6,76920,76922.6
2,77160,77121.3
4,77320,77320
10,77530,77518.7
1,77750,77717.3
8,77960,77916
3,78160,78114.7
12,78340,78313.4
5,78480,78512
11,78670,78710.7
7,78870,78909.4
9,79100,79108.1
2,79560,79540.9
6,79750,79739.8
10,79950,79938.7
4,80080,80137.6
8,80330,80336.5
1,80610,80535.4
12,80720,80734.3
3,80940,80933.1
11,81080,81132
5,81280,81330.9
9,81530,81529.8
7,81740,81728.7
2,81950,81927.6
10,82130,82126.5
6,82300,82325.4
4,82530,82524.3
1,82760,82723.2
8,82910,82922.1
12,83120,83121
11,83310,83319.9
3,83550,83518.8
9,83720,83717.7
5,83890,83916.6
7,84130,84115.5
10,84590,84547.6
2,84780,84746
4,84920,84944.3
6,85120,85142.6
8,85310,85340.9
1,85600,85539.3
11,85690,85737.6
12,85900,85935.9
9,86120,86134.2
3,86350,86332.6
7,86510,86530.9
5,86710,86729.2
2,86940,86927.5
10,87160,87125.9
6,87300,87324.2
4,87510,87522.5
8,87730,87720.9
11,87960,87919.2
1,88150,88117.5
12,88330,88315.8
3,88560,88514.2
9,88680,88712.5
5,88860,88910.8
7,89100,89109.1
10,89610,89554.3
2,89780,89753.8
4,89960,89953.3
6,90120,90152.8
11,90340,90352.3
8,90560,90551.8
12,90720,90751.3
1,90960,90950.8
9,91150,91150.3
3,91400,91349.8
7,91550,91549.3
5,91730,91748.8
10,91960,91948.3
4,92140,92147.8
2,92350,92347.3
11,92550,92546.8
6,92710,92746.2
8,93000,92945.7
1,93160,93145.2
12,93340,93344.7
9,93530,93544.2
7,93730,93743.7
3,93960,93943.2
5,94130,94142.7
4,94600,94579.8
10,94800,94779.6
11,94970,94979.4
2,95160,95179.2
8,95350,95379
6,95580,95578.8
12,95810,95778.6
1,96030,95978.4
7,96150,96178.2
9,96370,96378
5,96570,96577.8
3,96770,96777.6
10,97020,96977.4
4,97160,97177.2
2,97330,97377.1
11,97570,97576.9
6,97750,97776.7
8,97960,97976.5
12,98210,98176.3
7,98350,98376.1
1,98590,98575.9
9,98800,98775.7
3,98990,98975.5
5,99180,99175.3
4,99600,99604.2
10,99840,99804.6
11,100010,100005
2,100200,100205
8,100350,100406
6,100580,100606
7,100780,100807
12,100950,101007
9,101200,101208
1,101480,101408
5,101640,101608
3,101840,101809
4,102000,102009
11,102190,102210
10,102400,102410
8,102610,102610
2,102810,102811
7,102950,103011
6,103170,103212
12,103390,103412
1,103620,103612
9,103820,103813
3,104090,104013
5,104240,104214
11,104570,104634
4,104800,104833
8,105050,105031
10,105240,105230
7,105370,105429
2,105630,105628
12,105800,105827
6,106030,106026
9,106230,106225
1,106460,106424
5,106630,106623
3,106860,106822
4,107020,107020
11,107210,107219
10,107510,107418
8,107620,107617
2,107800,107816
7,107990,108015
6,108190,108214
12,108420,108413
9,108580,108612
5,108800,108811
1,109010,109010
3,109200,109208
11,109620,109632
4,109820,109833
8,110010,110033
10,110290,110234
7,110420,110434
2,110640,110634
12,110820,110835
6,111000,111035
5,111170,111236
9,111410,111436
3,111670,111636
1,111880,111837
11,111960,112037
8,112230,112238
4,112400,112438
7,112630,112638
10,112870,112839
12,113080,113039
2,113270,113240
5,113440,113440
6,113590,113641
9,113850,113841
1,114110,114041
3,114240,114242
8,114720,114674
11,114860,114875
7,115080,115077
4,115250,115279
12,115450,115481
10,115680,115683
5,115910,115885
2,116100,116087
9,116300,116288
6,116480,116490
3,116690,116692
1,116920,116894
11,117070,117096
8,117290,117298
4,117470,117500
7,117700,117702
10,117900,117903
12,118110,118105
2,118290,118307
5,118520,118509
6,118690,118711
9,118920,118913
3,119160,119115
1,119330,119317
8,119720,119741
11,119920,119942
7,120170,120144
4,120290,120345
12,120530,120546
10,120780,120747
5,120960,120949
2,121150,121150
9,121370,121351
6,121550,121552
1,121810,121754
3,121980,121955
8,122140,122156
7,122340,122357
11,122530,122559
12,122770,122760
4,122950,122961
5,123170,123162
10,123340,123364
9,123580,123565
2,123790,123766
6,123910,123968
3,124190,124169
1,124370,124370
7,124780,124781
8,124960,124982
12,125140,125182
11,125360,125382
5,125570,125582
4,125770,125782
9,125970,125982
10,126170,126182
6,126360,126382
2,126580,126583
1,126820,126783
3,127030,126983
8,127180,127183
7,127400,127383
11,127570,127583
12,127790,127783
4,127930,127983
5,128170,128184
10,128400,128384
9,128570,128584
6,128760,128784
1,129020,128984
2,129180,129184
3,129400,129384
7,129810,129803
8,129970,130003
12,130220,130204
11,130400,130404
5,130600,130604
4,130760,130805
9,131000,131005
10,131220,131205
1,131430,131406
6,131570,131606
3,131810,131806
2,131980,132007
7,132210,132207
12,132450,132407
8,132600,132608
5,132800,132808
11,132990,133008
9,133210,133209
4,133420,133409
10,133630,133609
6,133800,133810
1,134000,134010
2,134220,134210
3,134420,134411
12,134800,134837
7,135060,135039
5,135240,135240
8,135430,135441
9,135670,135642
11,135860,135843
10,136060,136044
4,136200,136245
1,136510,136446
6,136650,136647
3,136860,136848
2,137030,137050
7,137250,137251
12,137440,137452
8,137620,137653
5,137860,137854
11,138030,138055
9,138230,138256
10,138450,138457
1,138720,138658
4,138880,138859
6,139040,139060
2,139280,139262
3,139450,139463
12,139860,139879
7,140050,140079
5,140310,140279
8,140460,140479
9,140690,140680
11,140870,140880
1,141130,141080
10,141300,141280
6,141490,141480
4,141670,141681
3,141880,141881
2,142080,142081
12,142280,142281
5,142460,142481
7,142570,142682
9,142890,142882
8,143080,143082
11,143260,143282
10,143490,143482
1,143700,143682
6,143870,143883
3,144100,144083
4,144280,144283
2,144530,144483
5,144920,144911
12,145080,145112
9,145330,145314
7,145520,145515
11,145700,145717
8,145930,145918
1,146180,146120
10,146320,146322
3,146540,146523
6,146700,146725
2,146950,146926
4,147090,147128
12,147330,147329
5,147540,147531
7,147670,147732
9,147930,147934
11,148130,148136
1,148400,148337
8,148540,148539
10,148710,148740
6,148910,148942
3,149150,149143
4,149350,149345
2,149590,149546
5,150020,149979
12,150210,150180
9,150380,150381
7,150560,150583
1,150820,150784
11,150960,150985
10,151210,151187
8,151380,151388
3,151590,151589
6,151760,151790
2,152040,151992
4,152180,152193
5,152390,152394
9,152610,152596
12,152830,152797
7,152960,152998
11,153190,153199
1,153410,153401
10,153620,153602
3,153830,153803
8,153980,154005
2,154200,154206
6,154360,154407
4,154630,154609
9,155040,155037
5,155230,155239
7,155440,155440
12,155650,155642
1,155890,155843
11,156050,156044
3,156260,156246
10,156470,156447
2,156620,156649
8,156840,156850
4,157020,157052
6,157220,157253
5,157440,157455
9,157630,157656
7,157880,157858
1,158120,158059
12,158250,158261
11,158460,158462
10,158700,158664
3,158900,158865
