1,0
2,180
3,380
4,600
5,840
6,1140
7,1350
8,1520
9,1750
10,1980
11,2200
12,2520
1,2670
2,2810
3,3030
4,3210
5,3400
6,3620
7,3760
8,4000
9,4200
10,4440
11,4610
12,4890
1,5370
2,5570
3,5740
4,5960
5,6130
6,6370
7,6540
8,6720
9,6880
10,7090
11,7310
12,7610
1,7740
2,7940
3,8120
4,8310
5,8550
6,8760
7,8920
8,9120
9,9330
10,9560
11,9690
12,9940
1,10440
2,10590
3,10800
4,11030
5,11170
6,11420
7,11590
8,11750
9,11960
10,12180
11,12410
12,12570
1,12820
2,12960
3,13140
4,13370
5,13560
6,13810
7,13950
8,14150
9,14350
10,14580
11,14730
12,14970
1,15460
2,15610
3,15820
4,16030
5,16210
6,16450
7,16610
8,16780
9,16960
10,17180
11,17380
12,17600
1,17820
2,18030
3,18180
4,18350
5,18560
6,18770
7,18950
8,19150
9,19370
10,19570
11,19690
12,19970
1,20430
2,20610
3,20800
4,21040
5,21210
6,21420
7,21600
8,21770
9,21970
10,22190
11,22390
12,22590
1,22780
2,22950
3,23120
4,23370
5,23600
6,23810
7,23960
8,24160
9,24340
10,24570
11,24730
12,24940
1,25410
2,25610
3,25800
4,25990
5,26180
6,26410
7,26610
8,26760
9,26970
10,27170
11,27380
12,27570
1,27770
2,27910
3,28090
4,28330
5,28530
6,28730
7,28910
8,29120
9,29340
10,29550
11,29700
12,29940
1,30360
2,30550
3,30730
4,30950
5,31140
6,31350
7,31530
8,31700
9,31910
10,32120
11,32320
12,32570
1,32720
2,32870
3,33070
4,33280
5,33470
6,33680
7,33840
8,34050
9,34240
10,34480
11,34660
12,34900
1,35330
2,35480
3,35690
4,35910
5,36110
6,36320
7,36480
8,36630
9,36840
10,37080
11,37280
12,37530
1,37720
2,37820
3,38030
4,38240
5,38440
6,38660
7,38820
8,39000
9,39210
10,39440
11,39590
12,39850
1,40310
2,40490
3,40660
4,40910
5,41070
6,41310
7,41470
8,41640
9,41800
10,42050
11,42230
12,42430
1,42670
2,42830
3,43010
4,43240
5,43400
6,43640
7,43820
8,44000
9,44180
10,44400
11,44560
12,44800
1,45240
2,45440
3,45640
4,45840
5,46020
6,46240
7,46420
8,46610
9,46800
10,47010
11,47210
12,47390
1,47600
2,47750
3,47960
4,48140
5,48350
6,48580
7,48740
8,48950
9,49140
10,49360
11,49520
12,49750
1,50180
2,50370
3,50590
4,50780
5,50990
6,51190
7,51360
8,51530
9,51720
10,51950
11,52140
12,52360
1,52550
2,52730
3,52910
4,53110
5,53300
6,53530
7,53690
8,53890
9,54080
10,54310
11,54460
12,54710
1,55170
2,55360
3,55540
4,55740
5,55930
6,56150
7,56310
8,56500
9,56680
10,56920
11,57110
12,57320
1,57550
2,57670
3,57890
4,58100
5,58280
6,58500
7,58660
8,58830
9,59040
10,59280
11,59420
12,59700
1,60120
2,60320
3,60530
4,60730
5,60930
6,61150
7,61290
8,61450
9,61660
10,61890
11,62070
12,62300
1,62490
2,62640
3,62870
4,63070
5,63270
6,63510
7,63670
8,63860
9,64080
10,64290
11,64420
12,64610
2,65110
1,65270
4,65510
3,65730
6,65900
5,66110
8,66280
7,66470
10,66670
9,66870
12,67100
11,67240
1,67460
2,67690
4,67880
6,68110
3,68280
8,68460
5,68660
10,68860
7,69000
12,69260
9,69390
11,69620
2,70050
1,70250
6,70490
4,70690
8,70860
3,71080
10,71290
5,71440
12,71680
7,71810
11,72020
9,72200
2,72440
6,72630
1,72840
4,73030
3,73230
8,73430
5,73590
10,73800
7,73970
12,74160
9,74380
11,74570
6,75050
2,75220
4,75430
1,75600
8,75800
3,76000
10,76200
5,76400
12,76580
7,76770
11,76990
9,77150
6,77390
2,77590
1,77790
4,77950
8,78140
10,78390
3,78590
12,78760
5,78890
11,79120
7,79270
9,79520
2,79950
6,80170
4,80390
1,80560
10,80770
8,80920
12,81210
3,81380
11,81610
5,81780
9,81920
7,82120
6,82330
2,82530
4,82750
10,82940
1,83140
8,83240
3,83470
12,83720
5,83920
11,84130
7,84290
9,84500
2,84890
6,85130
10,85300
4,85480
8,85660
1,85910
12,86150
3,86330
11,86600
5,86730
9,86920
7,87130
2,87270
10,87460
6,87700
4,87890
1,88100
8,88200
12,88470
11,88690
3,88890
9,89100
5,89270
7,89480
10,89910
2,90050
4,90280
6,90500
8,90630
1,90840
