   1     1  1 2 3 4 5 6 7 8 9 0 E T   
   2    13  1 2 3 4 5 6 7 8 9 0 E T   =
   3    25  1 2 3 4 5 6 7 8 9 0 E T   =
   4    37  1 2 3 4 5 6 7 8 9 0 E T   =
   5    49  1 2 3 4 5 6 7 8 9 0 E T   =
   6    61  1 2 3 4 5 6 7 8 9 0 E T   =
   7    73  1 2 3 4 5 6 7 8 9 0 E T   =
   8    85  1 2 3 4 5 6 7 8 9 0 E T   =
   9    97  1 2 3 4 5 6 7 8 9 0 E T   =
  10   109  1 2 3 4 5 6 7 8 9 0 E T   =
  11   121  1 2 3 4 5 6 7 8 9 0 E T   =
  12   133  1 2 3 4 5 6 7 8 9 0 E T   =
  13   145  2 1 4 3 6 5 8 7 0 9 T E   -
  14   157  1 2 4 6 3 8 5 0 7 T 9 E   3
  15   169  2 1 6 4 8 3 0 5 T 7 E 9   -
  16   181  2 6 1 4 3 8 5 0 7 T 9 E   4
  17   193  6 2 4 1 8 3 0 5 T 7 E 9   -
  18   205  6 2 1 4 8 0 3 T 5 E 7 9   25
  19   217  2 6 4 1 0 8 T 3 E 5 9 7   -
  20   229  6 2 4 0 1 8 3 T 5 E 7 9   36
  21   241  2 6 0 4 8 1 T 3 E 5 9 7   -
  22   253  2 0 6 4 1 8 T E 3 9 5 7   47
  23   265  0 2 4 6 8 1 E T 9 3 7 5   -
  24   277  2 0 6 4 8 E 1 T 3 9 5 7   58
  25   289  0 2 4 6 E 8 T 1 9 3 7 5   -
  26   301  0 4 2 E 6 8 1 T 9 7 3 5   69
  27   313  4 0 E 2 8 6 T 1 7 9 5 3   -
  28   325  0 4 2 E 6 8 T 7 1 9 3 5   70
  29   337  4 0 E 2 8 6 7 T 9 1 5 3   -
  30   349  4 E 0 8 2 7 6 T 1 9 3 5   8
  31   361  E 4 8 0 7 2 T 6 9 1 5 3   -
  32   373  4 E 0 8 2 7 6 T 9 5 1 3   9
  33   385  E 4 8 0 7 2 T 6 5 9 3 1   -
  34   397  E 8 4 7 0 T 2 5 6 9 1 3   0
  35   409  8 E 7 4 T 0 5 2 9 6 3 1   -
  36   421  E 8 4 7 0 T 2 5 6 9 3 1   E
  37   433  8 E 7 4 T 0 5 2 9 6 1 3   -
  38   445  8 7 E T 4 5 0 9 2 6 3 1   0
  39   457  7 8 T E 5 4 9 0 6 2 1 3   -
  40   469  8 7 E T 4 5 0 9 6 1 2 3   9
  41   481  7 8 T E 5 4 9 0 1 6 3 2   -
  42   493  7 T 8 5 E 9 4 0 6 1 2 3   8
  43   505  T 7 5 8 9 E 0 4 1 6 3 2   -
  44   517  7 T 8 5 E 9 0 1 4 6 2 3   70
  45   529  T 7 5 8 9 E 1 0 6 4 3 2   -
  46   541  T 5 7 9 8 E 0 1 6 3 4 2   69
  47   553  5 T 9 7 E 8 1 0 3 6 2 4   -
  48   565  T 5 7 9 E 1 8 0 6 3 4 2   58
  49   577  5 T 9 7 1 E 0 8 3 6 2 4   -
  50   589  5 9 T 7 E 1 0 3 8 2 6 4   47
  51   601  9 5 7 T 1 E 3 0 2 8 4 6   -
  52   613  5 9 7 1 T E 0 3 8 2 6 4   36
  53   625  9 5 1 7 E T 3 0 2 8 4 6   -
  54   637  9 5 7 1 E 3 T 2 0 4 8 6   25
  55   649  5 9 1 7 3 E 2 T 4 0 6 8   -
  56   661  5 1 9 7 E 3 T 2 0 4 8 6   4
  57   673  1 5 7 9 3 E 2 T 4 0 6 8   -
  58   685  5 1 7 3 9 2 E 4 T 6 0 8   3
  59   697  1 5 3 7 2 9 4 E 6 T 8 0   -
  60   709  1 5 7 3 9 2 E 4 T 6 0 8   2
  61   721  5 1 3 7 2 9 4 E 6 T 8 0   -
  62   733  5 3 1 2 7 4 9 6 E 8 T 0   1
  63   745  3 5 2 1 4 7 6 9 8 E 0 T   -
  64   757  3 2 5 1 7 4 9 6 E 8 T 0   4
  65   769  2 3 1 5 4 7 6 9 8 E 0 T   -
  66   781  2 1 3 4 5 6 7 8 9 0 E T   1
  67   793  1 2 4 3 6 5 8 7 0 9 T E   -
  68   805  1 2 3 4 5 6 7 8 9 0 E T   2
