Bell No,Actual Time,Ideal time from medium response Kalman Filter
1,0,0
2,210,217.826
3,420,435.652
4,660,653.478
5,880,871.304
6,1130,1089.13
7,1340,1306.96
8,1530,1524.78
9,1750,1742.61
10,2030,1960.43
11,2200,2178.26
12,2400,2396.09
1,2740,2613.91
2,2910,2831.74
3,3090,3049.57
4,3280,3267.39
5,3490,3485.22
6,3730,3703.04
7,3920,3920.87
8,4130,4138.7
9,4320,4356.52
10,4580,4574.35
11,4760,4792.17
12,5010,5010
1,5530,5439.98
2,5690,5646.58
3,5890,5853.18
4,6100,6059.78
5,6290,6266.38
6,6500,6472.98
7,6700,6679.58
8,6870,6886.18
9,7090,7092.79
10,7260,7299.39
11,7440,7505.99
12,7650,7712.59
1,7980,7919.19
2,8160,8125.79
3,8360,8332.39
4,8550,8538.99
5,8730,8745.59
6,8980,8952.2
7,9190,9158.8
8,9360,9365.4
9,9550,9572
10,9720,9778.6
11,9860,9985.2
12,10200,10191.8
1,10700,10633.8
2,10870,10836.1
3,11080,11038.3
4,11290,11240.6
5,11470,11442.8
6,11670,11645.1
7,11860,11847.3
8,12010,12049.6
9,12220,12251.8
10,12400,12454
11,12570,12656.3
12,12840,12858.5
1,13090,13060.8
2,13260,13263
3,13480,13465.3
4,13670,13667.5
5,13840,13869.8
6,14080,14072
7,14280,14274.3
8,14460,14476.5
9,14680,14678.8
10,14880,14881
11,15060,15083.3
12,15320,15285.5
1,15790,15731.5
2,15960,15932.3
3,16150,16133.1
4,16340,16333.9
5,16520,16534.8
6,16730,16735.6
7,16910,16936.4
8,17090,17137.2
9,17340,17338.1
10,17500,17538.9
11,17700,17739.7
12,17940,17940.5
1,18200,18141.4
2,18390,18342.2
3,18580,18543
4,18770,18743.8
5,18940,18944.7
6,19130,19145.5
7,19330,19346.3
8,19530,19547.1
9,19730,19748
10,19920,19948.8
11,20100,20149.6
12,20420,20350.5
1,20880,20810.9
2,21050,21012
3,21240,21213.2
4,21420,21414.4
5,21590,21615.6
6,21820,21816.7
7,22020,22017.9
8,22210,22219.1
9,22450,22420.3
10,22590,22621.4
11,22740,22822.6
12,23010,23023.8
1,23290,23225
2,23480,23426.1
3,23650,23627.3
4,23820,23828.5
5,23990,24029.7
6,24220,24230.8
7,24430,24432
8,24650,24633.2
9,24860,24834.4
10,25040,25035.5
11,25180,25236.7
12,25460,25437.9
1,25930,25884.1
2,26100,26083.8
3,26290,26283.6
4,26500,26483.3
5,26640,26683
6,26880,26882.8
7,27060,27082.5
8,27260,27282.2
9,27520,27482
10,27670,27681.7
11,27820,27881.4
12,28060,28081.2
1,28330,28280.9
2,28490,28480.7
3,28700,28680.4
4,28870,28880.1
5,29070,29079.9
6,29270,29279.6
7,29490,29479.3
8,29670,29679.1
9,29890,29878.8
10,30090,30078.5
11,30230,30278.3
12,30510,30478
1,30970,30931.8
2,31150,31130.6
3,31360,31329.4
4,31530,31528.2
5,31690,31726.9
6,31930,31925.7
7,32110,32124.5
8,32300,32323.3
9,32560,32522
10,32700,32720.8
11,32850,32919.6
12,33100,33118.4
1,33380,33317.1
2,33580,33515.9
3,33750,33714.7
4,33910,33913.5
5,34100,34112.3
6,34310,34311
7,34490,34509.8
8,34720,34708.6
9,34910,34907.4
10,35110,35106.1
11,35240,35304.9
12,35520,35503.7
1,36020,35967.9
2,36190,36166.9
3,36410,36365.8
4,36580,36564.7
5,36770,36763.6
6,36980,36962.6
7,37180,37161.5
8,37320,37360.4
9,37580,37559.3
10,37750,37758.3
11,37890,37957.2
12,38100,38156.1
1,38360,38355
2,38560,38554
3,38800,38752.9
4,38970,38951.8
5,39140,39150.7
6,39360,39349.7
7,39560,39548.6
8,39710,39747.5
9,39960,39946.4
10,40150,40145.4
11,40330,40344.3
12,40560,40543.2
1,41010,40992.3
2,41200,41189.7
3,41410,41387.1
4,41580,41584.5
5,41750,41781.9
6,42010,41979.4
7,42160,42176.8
8,42360,42374.2
9,42600,42571.6
10,42710,42769
11,42930,42966.4
12,43120,43163.8
1,43440,43361.2
2,43620,43558.6
3,43770,43756
4,43920,43953.4
5,44110,44150.9
6,44340,44348.3
7,44520,44545.7
8,44730,44743.1
9,44950,44940.5
10,45140,45137.9
11,45330,45335.3
12,45570,45532.7
1,46050,45989.8
2,46230,46187.6
3,46410,46385.3
4,46590,46583
5,46740,46780.7
6,46960,46978.5
7,47150,47176.2
8,47340,47373.9
9,47590,47571.6
10,47750,47769.4
11,47930,47967.1
12,48110,48164.8
1,48370,48362.6
2,48580,48560.3
3,48780,48758
4,48980,48955.7
5,49140,49153.5
6,49350,49351.2
7,49550,49548.9
8,49760,49746.6
9,49960,49944.4
10,50160,50142.1
11,50320,50339.8
12,50550,50537.6
1,51040,50995.6
2,51220,51194
3,51430,51392.5
4,51620,51591
5,51780,51789.4
6,51980,51987.9
7,52170,52186.4
8,52350,52384.8
9,52580,52583.3
10,52750,52781.8
11,52920,52980.2
12,53120,53178.7
1,53390,53377.2
2,53580,53575.6
3,53780,53774.1
4,53960,53972.6
5,54160,54171
6,54390,54369.5
7,54580,54568
8,54770,54766.4
9,55020,54964.9
10,55200,55163.4
11,55320,55361.9
12,55580,55560.3
2,56060,56033.6
1,56260,56234.8
4,56490,56435.9
3,56670,56637.1
6,56840,56838.3
5,57070,57039.5
8,57220,57240.7
7,57420,57441.8
10,57600,57643
9,57850,57844.2
12,57970,58045.4
11,58190,58246.6
1,58500,58447.8
2,58690,58648.9
4,58850,58850.1
6,59070,59051.3
3,59290,59252.5
8,59440,59453.7
5,59670,59654.8
10,59850,59856
7,60040,60057.2
12,60240,60258.4
9,60480,60459.6
11,60680,60660.7
2,61120,61116.3
1,61350,61317
6,61510,61517.7
4,61710,61718.5
8,61910,61919.2
3,62150,62119.9
10,62300,62320.6
5,62530,62521.3
12,62690,62722
7,62870,62922.8
11,63090,63123.5
9,63350,63324.2
2,63540,63524.9
6,63770,63725.6
1,63960,63926.3
4,64130,64127.1
3,64330,64327.8
8,64500,64528.5
5,64710,64729.2
10,64930,64929.9
7,65120,65130.6
12,65290,65331.4
9,65570,65532.1
11,65750,65732.8
6,66240,66193.9
2,66450,66395.3
4,66630,66596.6
1,66830,66797.9
8,66980,66999.2
3,67180,67200.5
10,67380,67401.8
5,67600,67603.2
12,67730,67804.5
7,67910,68005.8
11,68130,68207.1
9,68390,68408.4
6,68640,68609.7
2,68850,68811.1
1,69090,69012.4
4,69210,69213.7
8,69420,69415
10,69620,69616.3
3,69860,69817.6
12,70000,70019
5,70240,70220.3
11,70420,70421.6
7,70590,70622.9
9,70850,70824.2
2,71280,71276.1
6,71460,71478.5
4,71660,71680.9
1,71900,71883.3
10,72030,72085.8
8,72270,72288.2
12,72470,72490.6
3,72720,72693
11,72860,72895.5
5,73080,73097.9
9,73300,73300.3
7,73520,73502.7
6,73720,73705.1
2,73930,73907.6
4,74080,74110
10,74300,74312.4
1,74570,74514.8
8,74750,74717.3
3,74950,74919.7
12,75100,75122.1
5,75360,75324.5
11,75500,75527
7,75700,75729.4
9,75930,75931.8
2,76410,76388
6,76590,76591.3
10,76770,76794.6
4,76940,76997.9
8,77170,77201.2
1,77480,77404.5
12,77590,77607.8
3,77830,77811.2
11,77970,78014.5
5,78220,78217.8
9,78430,78421.1
7,78630,78624.4
2,78870,78827.7
10,79040,79031
6,79230,79234.4
4,79450,79437.7
1,79700,79641
8,79830,79844.3
12,80020,80047.6
11,80200,80250.9
3,80420,80454.2
9,80640,80657.5
5,80910,80860.9
7,81080,81064.2
10,81430,81500.4
2,81680,81703.1
4,81930,81905.7
6,82110,82108.4
8,82310,82311
1,82550,82513.7
11,82650,82716.3
12,82850,82919
9,83040,83121.6
3,83300,83324.3
7,83560,83526.9
5,83730,83729.6
2,84010,83932.2
10,84120,84134.9
6,84360,84337.5
4,84560,84540.2
8,84740,84742.8
11,84980,84945.5
1,85140,85148.1
12,85360,85350.8
3,85600,85553.4
9,85710,85756.1
5,85940,85958.7
7,86150,86161.4
10,86590,86615.1
2,86790,86819.4
4,87060,87023.7
6,87240,87228
11,87460,87432.3
8,87660,87636.6
12,87830,87840.9
1,88090,88045.2
9,88220,88249.5
3,88480,88453.7
7,88660,88658
5,88790,88862.3
10,89040,89066.6
4,89220,89270.9
2,89460,89475.2
11,89680,89679.5
6,89880,89883.8
8,90080,90088.1
1,90350,90292.4
12,90490,90496.6
9,90690,90700.9
7,90930,90905.2
3,91130,91109.5
5,91330,91313.8
4,91730,91745
10,91900,91950.1
11,92070,92155.1
2,92340,92360.2
8,92520,92565.3
6,92780,92770.4
12,92980,92975.4
1,93240,93180.5
7,93410,93385.6
9,93610,93590.7
5,93790,93795.7
3,94000,94000.8
10,94180,94205.9
4,94390,94411
2,94600,94616
11,94810,94821.1
6,95010,95026.2
8,95180,95231.3
12,95430,95436.3
7,95630,95641.4
1,95850,95846.5
9,96080,96051.6
3,96290,96256.6
5,96510,96461.7
4,96910,96886.3
10,97080,97090.7
11,97240,97295
2,97490,97499.4
8,97630,97703.8
6,97860,97908.1
7,98090,98112.5
12,98280,98316.9
9,98530,98521.2
1,98750,98725.6
5,98950,98929.9
3,99170,99134.3
4,99370,99338.7
11,99540,99543
10,99740,99747.4
8,99970,99951.8
2,100190,100156
7,100280,100361
6,100480,100565
12,100750,100769
1,101000,100974
9,101170,101178
3,101420,101382
5,101640,101587
11,101960,102017
4,102200,102222
8,102400,102427
10,102610,102632
7,102800,102837
2,103060,103042
12,103260,103247
6,103470,103452
9,103680,103657
1,103880,103862
5,104110,104067
3,104300,104272
4,104510,104477
11,104670,104683
10,104890,104888
8,105000,105093
2,105280,105298
7,105440,105503
6,105670,105708
12,105910,105913
9,106080,106118
5,106350,106323
1,106600,106528
3,106780,106733
11,107080,107161
4,107310,107368
8,107590,107574
10,107810,107780
7,107990,107986
2,108200,108192
12,108400,108398
6,108620,108604
5,108770,108810
9,109000,109016
3,109290,109222
1,109460,109428
11,109570,109634
8,109890,109840
4,110020,110046
7,110190,110252
10,110440,110458
12,110680,110664
2,110860,110870
5,111080,111076
6,111250,111282
9,111500,111488
1,111750,111694
3,111910,111900
8,112320,112322
11,112540,112528
7,112690,112733
4,112910,112939
12,113130,113145
10,113340,113351
5,113520,113556
2,113770,113762
9,114000,113968
6,114150,114174
3,114400,114379
1,114620,114585
11,114790,114791
8,115020,114997
4,115150,115202
7,115340,115408
10,115590,115614
12,115820,115820
2,116040,116026
5,116230,116231
6,116440,116437
9,116680,116643
3,116840,116849
1,117090,117054
8,117480,117474
11,117670,117680
7,117840,117887
4,118030,118093
12,118300,118300
10,118490,118506
5,118690,118713
2,118930,118920
9,119160,119126
6,119340,119333
1,119590,119539
3,119730,119746
8,119920,119952
7,120160,120159
11,120300,120366
12,120610,120572
4,120770,120779
5,120980,120985
10,121150,121192
9,121430,121398
2,121590,121605
6,121790,121811
3,122050,122018
1,122280,122225
7,122640,122640
8,122810,122847
12,123040,123054
11,123250,123260
5,123430,123467
4,123670,123674
9,123880,123881
10,124070,124087
6,124290,124294
2,124520,124501
1,124740,124708
3,124930,124914
8,125090,125121
7,125310,125328
11,125530,125535
12,125710,125741
4,125940,125948
5,126150,126155
10,126370,126361
9,126560,126568
6,126770,126775
1,127020,126982
2,127220,127188
3,127390,127395
7,127790,127803
8,127940,128009
12,128170,128216
11,128390,128422
5,128610,128629
4,128870,128835
9,129090,129041
10,129250,129248
1,129520,129454
6,129660,129661
3,129860,129867
2,130060,130074
7,130230,130280
12,130460,130487
8,130650,130693
5,130870,130899
11,131070,131106
9,131320,131312
4,131540,131519
10,131740,131725
6,131930,131932
1,132170,132138
2,132360,132345
3,132570,132551
12,132950,132949
7,133110,133155
5,133310,133361
8,133530,133568
9,133760,133774
11,133970,133980
10,134160,134187
4,134390,134393
1,134660,134599
6,134800,134806
3,135030,135012
