   1     1  1 2 3 4 5 6 7 8 9 0 E T   
   2    13  1 2 3 4 5 6 7 8 9 0 E T   =
   3    25  1 2 3 4 5 6 7 8 9 0 E T   =
   4    37  1 2 3 4 5 6 7 8 9 0 E T   =
   5    49  1 2 3 4 5 6 7 8 9 0 E T   =
   6    61  1 2 3 4 5 6 7 8 9 0 E T   =
   7    73  1 2 3 4 5 6 7 8 9 0 E T   =
   8    85  1 2 3 4 5 6 7 8 9 0 E T   =
   9    97  1 2 3 4 5 6 7 8 9 0 E T   =
  10   109  1 2 3 4 5 6 7 8 9 0 E T   =
  11   121  1 2 3 4 5 6 7 8 9 0 E T   =
  12   133  1 2 3 4 5 6 7 8 9 0 E T   =
  13   145  1 2 3 4 5 6 7 8 9 0 E T   =
  14   157  1 2 3 4 5 6 7 8 9 0 E T   =
  15   169  1 2 3 4 5 6 7 8 9 0 E T   =
  16   181  1 2 3 4 5 6 7 8 9 0 E T   =
  17   193  1 2 3 4 5 6 7 8 9 0 E T   =
  18   205  1 2 3 4 5 6 7 8 9 0 E T   =
  19   217  2 1 4 3 6 5 8 7 0 9 T E   -
  20   229  2 1 3 4 5 6 7 8 9 0 E T   2
  21   241  1 2 4 3 6 5 8 7 0 9 T E   -
  22   253  1 4 2 6 3 8 5 0 7 T 9 E   1
  23   265  4 1 6 2 8 3 0 5 T 7 E 9   -
  24   277  1 4 2 6 8 0 3 T 5 E 7 9   5
  25   289  4 1 8 6 2 0 T 3 E 5 9 7   ?
  26   301  4 8 1 6 2 0 3 T 5 E 7 9   456
  27   313  8 4 6 1 0 2 T 3 E 5 9 7   -
  28   325  8 4 1 6 0 T 2 E 3 9 5 7   25
  29   337  4 8 6 1 T 0 E 2 9 3 7 5   -
  30   349  8 4 6 T 1 0 2 E 3 9 5 7   36
  31   361  4 8 T 6 0 1 E 2 9 3 7 5   -
  32   373  4 T 8 6 1 0 E 9 2 7 3 5   47
  33   385  T 4 6 8 0 1 9 E 7 2 5 3   -
  34   397  4 T 8 6 0 9 1 E 2 7 3 5   58
  35   409  T 4 6 8 9 0 E 1 7 2 5 3   -
  36   421  T 6 4 9 8 0 1 E 7 5 2 3   69
  37   433  6 T 9 4 0 8 E 1 5 7 3 2   -
  38   445  T 6 4 9 8 0 E 5 1 7 2 3   70
  39   457  6 T 9 4 0 8 5 E 7 1 3 2   -
  40   469  6 9 T 0 4 5 8 E 1 7 2 3   8
  41   481  9 6 0 T 5 4 E 8 7 1 3 2   -
  42   493  6 9 T 0 4 5 8 E 7 3 1 2   9
  43   505  9 6 0 T 5 4 E 8 3 7 2 1   -
  44   517  9 0 6 5 T E 4 8 7 3 1 2   8
  45   529  0 9 5 6 E T 3 4 7 8 2 1   ?
  46   541  9 0 6 5 T E 3 4 8 7 2 1   78E
  47   553  0 9 5 6 E T 3 4 7 8 1 2   78
  48   565  0 5 9 E 6 3 T 7 4 8 2 1   0
  49   577  5 0 E 9 3 6 7 T 8 4 1 2   -
  50   589  0 5 9 E 6 3 T 7 8 1 4 2   9
  51   601  5 0 E 9 3 6 7 T 1 8 2 4   -
  52   613  5 E 0 3 9 7 6 T 8 1 4 2   8
  53   625  E 5 3 0 7 9 T 6 1 8 2 4   -
  54   637  5 E 0 3 9 7 T 1 6 8 4 2   70
  55   649  E 5 3 0 7 9 1 T 8 6 2 4   -
  56   661  E 3 5 7 0 9 T 1 8 2 6 4   69
  57   673  3 E 7 5 9 0 1 T 2 8 4 6   -
  58   685  E 3 5 7 9 1 0 T 8 2 6 4   58
  59   697  3 E 7 5 1 9 T 0 2 8 4 6   -
  60   709  3 7 E 5 9 1 T 2 0 4 8 6   47
  61   721  7 3 5 E 1 9 2 T 4 0 6 8   -
  62   733  3 7 5 1 E 9 T 2 0 4 8 6   36
  63   745  7 3 1 5 9 E 2 T 4 0 6 8   -
  64   757  7 3 5 1 9 2 E 4 T 6 0 8   25
  65   769  3 7 1 5 2 9 4 E 6 T 8 0   -
  66   781  3 1 7 5 9 2 E 4 T 6 0 8   4
  67   793  1 3 5 7 2 9 4 E 6 T 8 0   -
  68   805  3 1 5 2 7 4 9 6 E 8 T 0   3
  69   817  1 3 2 5 4 7 6 9 8 E 0 T   -
  70   829  1 2 3 4 5 6 7 8 9 0 E T   1
  71   841  1 2 3 4 5 6 7 8 9 0 E T   =
  72   853  1 2 3 4 5 6 7 8 9 0 E T   =
  73   865  1 2 3 4 5 6 7 8 9 0 E T   =
  74   877  1 2 3 4 5 6 7 8 9 0 E T   =
