Bell No,Actual Time,Ideal time from medium response Kalman Filter
1,0,0
2,250,226.522
3,490,453.043
4,760,679.565
5,1010,906.087
6,1290,1132.61
7,1490,1359.13
8,1740,1585.65
9,1930,1812.17
10,2140,2038.7
11,2390,2265.22
12,2680,2491.74
1,2900,2718.26
2,3170,2944.78
3,3380,3171.3
4,3530,3397.83
5,3720,3624.35
6,4000,3850.87
7,4140,4077.39
8,4370,4303.91
9,4600,4530.43
10,4760,4756.96
11,4950,4983.48
12,5210,5210
1,5690,5657
2,5920,5868.93
3,6110,6080.86
4,6350,6292.8
5,6580,6504.73
6,6820,6716.66
7,6970,6928.59
8,7160,7140.52
9,7360,7352.45
10,7530,7564.38
11,7730,7776.31
12,7920,7988.24
1,8230,8200.17
2,8440,8412.11
3,8630,8624.04
4,8830,8835.97
5,9040,9047.9
6,9270,9259.83
7,9480,9471.76
8,9640,9683.69
9,9850,9895.62
10,10040,10107.6
11,10240,10319.5
12,10530,10531.4
1,10920,10950.2
2,11180,11155
3,11350,11359.8
4,11570,11564.6
5,11770,11769.3
6,11970,11974.1
7,12150,12178.9
8,12320,12383.7
9,12530,12588.5
10,12770,12793.2
11,12970,12998
12,13130,13202.8
1,13380,13407.6
2,13590,13612.4
3,13830,13817.2
4,14030,14021.9
5,14250,14226.7
6,14480,14431.5
7,14680,14636.3
8,14850,14841.1
9,15080,15045.8
10,15250,15250.6
11,15430,15455.4
12,15610,15660.2
1,16120,16115.6
2,16360,16320
3,16550,16524.5
4,16690,16729
5,16940,16933.4
6,17130,17137.9
7,17340,17342.3
8,17510,17546.8
9,17740,17751.3
10,17950,17955.7
11,18110,18160.2
12,18300,18364.7
1,18610,18569.1
2,18820,18773.6
3,19010,18978
4,19200,19182.5
5,19420,19387
6,19620,19591.4
7,19810,19795.9
8,20000,20000.3
9,20240,20204.8
10,20370,20409.3
11,20560,20613.7
12,20810,20818.2
1,21250,21267.8
2,21500,21472.2
3,21670,21676.5
4,21920,21880.8
5,22080,22085.1
6,22290,22289.4
7,22480,22493.8
8,22700,22698.1
9,22900,22902.4
10,23050,23106.7
11,23290,23311
12,23400,23515.4
1,23720,23719.7
2,23940,23924
3,24160,24128.3
4,24350,24332.6
5,24560,24537
6,24750,24741.3
7,24950,24945.6
8,25170,25149.9
9,25380,25354.2
10,25580,25558.6
11,25720,25762.9
12,25970,25967.2
1,26400,26418.2
2,26650,26622.8
3,26860,26827.4
4,27030,27032
5,27250,27236.6
6,27450,27441.2
7,27640,27645.8
8,27790,27850.4
9,28000,28055
10,28230,28259.6
11,28410,28464.2
12,28670,28668.8
1,28910,28873.3
2,29110,29077.9
3,29310,29282.5
4,29520,29487.1
5,29670,29691.7
6,29900,29896.3
7,30120,30100.9
8,30280,30305.5
9,30520,30510.1
10,30710,30714.7
11,30870,30919.3
12,31180,31123.9
1,31550,31559
2,31740,31762.3
3,31960,31965.6
4,32170,32168.9
5,32360,32372.2
6,32580,32575.5
7,32770,32778.8
8,32930,32982.1
9,33150,33185.5
10,33370,33388.8
11,33580,33592.1
12,33740,33795.4
1,34050,33998.7
2,34230,34202
3,34450,34405.3
4,34580,34608.7
5,34770,34812
6,35020,35015.3
7,35230,35218.6
8,35440,35421.9
9,35670,35625.2
10,35830,35828.5
11,35990,36031.9
12,36250,36235.2
1,36700,36688.7
2,36890,36893.7
3,37120,37098.7
4,37330,37303.8
5,37540,37508.8
6,37710,37713.9
7,37900,37918.9
8,38070,38123.9
9,38300,38329
10,38510,38534
11,38680,38739.1
12,38950,38944.1
1,39160,39149.1
2,39340,39354.2
3,39570,39559.2
4,39780,39764.3
5,39990,39969.3
6,40210,40174.3
7,40410,40379.4
8,40600,40584.4
9,40820,40789.5
10,40970,40994.5
11,41170,41199.5
12,41410,41404.6
1,41810,41840.6
2,42010,42044.3
3,42230,42247.9
4,42450,42451.5
5,42680,42655.1
6,42860,42858.7
7,43080,43062.3
8,43250,43266
9,43480,43469.6
10,43710,43673.2
11,43890,43876.8
12,44030,44080.4
1,44280,44284.1
2,44480,44487.7
3,44710,44691.3
4,44880,44894.9
5,45030,45098.5
6,45290,45302.2
7,45490,45505.8
8,45710,45709.4
9,45950,45913
10,46120,46116.6
11,46320,46320.3
12,46550,46523.9
1,46950,46961.8
2,47160,47165.8
3,47380,47369.8
4,47600,47573.8
5,47790,47777.8
6,47970,47981.9
7,48190,48185.9
8,48330,48389.9
9,48570,48593.9
10,48760,48797.9
11,48980,49002
12,49210,49206
1,49390,49410
2,49590,49614
3,49830,49818
4,50030,50022.1
5,50210,50226.1
6,50430,50430.1
7,50650,50634.1
8,50850,50838.1
9,51080,51042.2
10,51240,51246.2
11,51430,51450.2
12,51700,51654.2
1,52090,52105
2,52320,52311
3,52510,52517
4,52730,52723
5,52950,52929
6,53190,53135
7,53360,53341
8,53510,53547
9,53740,53753
10,53930,53959
11,54090,54165
12,54370,54371
1,54610,54577
2,54790,54783
3,54980,54989
4,55200,55195
5,55390,55401
6,55640,55607
7,55840,55813
8,56030,56019
9,56250,56225
10,56410,56431
11,56600,56637
12,56870,56843
2,57350,57306.1
1,57560,57511.6
4,57840,57717.2
3,57950,57922.8
6,58130,58128.4
5,58360,58333.9
8,58520,58539.5
7,58710,58745.1
10,58870,58950.6
9,59100,59156.2
12,59300,59361.8
11,59510,59567.4
1,59780,59772.9
2,60020,59978.5
4,60260,60184.1
