Bell No,Actual Time,Ideal time from medium response Kalman Filter
1,0,0
2,210,218.261
3,480,436.522
4,710,654.783
5,980,873.043
6,1250,1091.3
7,1420,1309.57
8,1590,1527.83
9,1810,1746.09
10,2040,1964.35
11,2230,2182.61
12,2480,2400.87
1,2700,2619.13
2,2960,2837.39
3,3210,3055.65
4,3440,3273.91
5,3670,3492.17
6,3840,3710.43
7,4090,3928.7
8,4210,4146.96
9,4450,4365.22
10,4630,4583.48
11,4800,4801.74
12,5020,5020
1,5510,5470.81
2,5720,5679.33
3,5950,5887.85
4,6140,6096.36
5,6370,6304.88
6,6590,6513.4
7,6720,6721.92
8,6910,6930.44
9,7140,7138.96
10,7360,7347.48
11,7530,7556
12,7720,7764.52
1,8020,7973.03
2,8240,8181.55
3,8430,8390.07
4,8690,8598.59
5,8830,8807.11
6,9030,9015.63
7,9240,9224.15
8,9400,9432.67
9,9560,9641.19
10,9780,9849.7
11,9950,10058.2
12,10220,10266.7
1,10690,10695.6
2,10920,10898
3,11120,11100.4
4,11370,11302.8
5,11540,11505.2
6,11720,11707.6
7,11890,11910
8,12050,12112.3
9,12270,12314.7
10,12430,12517.1
11,12630,12719.5
12,12930,12921.9
1,13130,13124.3
2,13370,13326.7
3,13560,13529.1
4,13790,13731.5
5,13970,13933.9
6,14160,14136.3
7,14310,14338.7
8,14530,14541.1
9,14740,14743.5
10,14930,14945.8
11,15090,15148.2
12,15350,15350.6
1,15760,15792.6
2,16000,15993.8
3,16220,16195
4,16390,16396.2
5,16620,16597.4
6,16830,16798.6
7,16970,16999.8
8,17160,17201.1
9,17380,17402.3
10,17600,17603.5
11,17760,17804.7
12,17980,18005.9
1,18220,18207.1
2,18450,18408.3
3,18670,18609.5
4,18840,18810.7
5,19060,19011.9
6,19210,19213.1
7,19420,19414.4
8,19610,19615.6
9,19810,19816.8
10,20020,20018
11,20160,20219.2
12,20400,20420.4
1,20890,20869.7
2,21090,21070.4
3,21300,21271
4,21500,21471.6
5,21710,21672.2
6,21890,21872.9
7,22050,22073.5
