1,3500
2,3740
3,3880
4,4080
5,4340
6,4600
7,4760
8,5100
9,5270
10,5480
11,5620
12,5780
1,6110
2,6250
3,6500
4,6640
5,6880
6,7090
7,7290
8,7470
9,7680
10,7990
11,8140
12,8400
1,8820
2,8980
3,9200
4,9400
5,9590
6,9780
7,10010
8,10160
9,10370
10,10620
11,10800
12,10990
1,11250
2,11410
3,11610
4,11770
5,11960
6,12170
7,12380
8,12480
9,12740
10,12990
11,13190
12,13480
1,13850
2,14030
3,14230
4,14420
5,14600
6,14790
7,14980
8,15140
9,15370
10,15600
11,15770
12,15980
1,16290
2,16450
3,16650
4,16820
5,16980
6,17180
7,17360
8,17530
9,17730
10,17970
11,18170
12,18410
1,18880
2,19040
3,19230
4,19430
5,19620
6,19780
7,20000
8,20110
9,20370
10,20590
11,20740
12,20950
1,21250
2,21390
3,21600
4,21750
5,21940
6,22130
7,22360
8,22500
9,22690
10,22920
11,23140
12,23360
1,23860
2,24010
3,24220
4,24370
5,24560
6,24740
7,24940
8,25100
9,25340
10,25530
11,25700
12,25930
1,26170
2,26360
3,26570
4,26760
5,26910
6,27110
7,27320
8,27480
9,27700
10,27890
11,28080
12,28340
1,28730
2,28900
3,29090
4,29300
5,29490
6,29710
7,29910
8,30100
9,30330
10,30550
11,30680
12,30860
1,31110
2,31260
3,31490
4,31660
5,31860
6,32070
7,32270
8,32430
9,32640
10,32870
11,33050
12,33290
1,33680
2,33860
3,34070
4,34250
5,34460
6,34630
7,34850
8,35040
9,35250
10,35460
11,35610
12,35830
1,36040
2,36250
3,36440
4,36620
5,36790
6,37020
7,37230
8,37370
9,37600
10,37810
11,37980
12,38250
1,38630
2,38800
3,39000
4,39190
5,39390
6,39550
7,39760
8,39930
9,40150
10,40360
11,40530
12,40780
1,41010
2,41170
3,41360
4,41540
5,41710
6,41920
7,42160
8,42280
9,42460
10,42700
11,42880
12,43150
1,43590
2,43780
3,43970
4,44160
5,44310
6,44510
7,44690
8,44860
9,45080
10,45280
11,45440
12,45650
1,45940
2,46130
3,46290
4,46480
5,46630
6,46870
7,47090
8,47250
9,47450
10,47700
11,47850
12,48070
2,48540
1,48730
4,48910
3,49140
6,49290
5,49460
8,49640
7,49870
10,50030
9,50240
12,50430
11,50670
1,50880
2,51040
4,51260
6,51500
3,51700
8,51830
5,52010
10,52210
7,52410
12,52670
9,52830
11,53070
2,53480
1,53640
6,53840
4,54050
8,54270
3,54530
10,54660
5,54840
12,55000
7,55210
11,55430
9,55620
2,55850
