 104  1237  8 9 E T 0 1 4 6 2 7 3 5   58
 105  1249  9 8 T E 1 0 6 4 7 2 5 3   -
 106  1261  9 T 8 E 0 1 6 7 4 5 2 3   147
 107  1273  T 9 E 8 1 0 7 6 5 4 3 2   -
 108  1285  9 T E 1 8 0 6 7 4 5 2 3   36
 109  1297  T 9 1 E 0 8 7 6 5 4 3 2   -
 110  1309  T 9 E 1 0 7 8 5 6 3 4 2   125
 111  1321  9 T 1 E 7 0 5 8 3 6 2 4   -
 112  1333  9 1 T E 0 7 8 5 6 3 4 2   14
 113  1345  1 9 E T 7 0 5 8 3 6 2 4   -
 114  1357  9 1 E 7 T 5 0 3 8 2 6 4   3
 115  1369  1 9 7 E 5 T 3 0 2 8 4 6   -
 116  1381  1 9 E 7 T 5 0 3 8 2 6 4   12
 117  1393  9 1 7 E 5 T 3 0 2 8 4 6   -
 118  1405  1 9 7 5 E 3 T 2 0 4 8 6   3
 119  1417  9 1 5 7 3 E 2 T 4 0 6 8   -
 120  1429  9 5 1 7 E 3 T 2 0 4 8 6   14
 121  1441  5 9 7 1 3 E 2 T 4 0 6 8   -
 122  1453  5 9 1 7 3 2 E 4 T 6 0 8   125
 123  1465  9 5 7 1 2 3 4 E 6 T 8 0   -
 124  1477  5 9 7 2 1 3 E 4 T 6 0 8   36
 125  1489  9 5 2 7 3 1 4 E 6 T 8 0   -
 126  1501  9 2 5 7 1 3 4 6 E 8 T 0   147
 127  1513  2 9 7 5 3 1 6 4 8 E 0 T   -
 128  1525  9 2 5 7 3 6 1 4 E 8 T 0   58
 129  1537  2 9 7 5 6 3 4 1 8 E 0 T   -
 130  1549  2 7 9 6 5 3 1 4 8 0 E T   169
 131  1561  7 2 6 9 3 5 4 1 0 8 T E   -
 132  1573  2 7 9 6 5 3 4 0 1 8 E T   70
 133  1585  7 2 6 9 3 5 0 4 8 1 T E   -
 134  1597  7 6 2 3 9 0 5 4 1 8 E T   18
 135  1609  6 7 3 2 0 9 4 5 8 1 T E   -
 136  1621  7 6 2 3 9 0 5 4 8 T 1 E   9
 137  1633  6 7 3 2 0 9 4 5 T 8 E 1   -
 138  1645  6 3 7 0 2 4 9 T 5 8 1 E   10
 139  1657  3 6 0 7 4 2 T 9 8 5 E 1   -
 140  1669  6 3 7 0 2 4 9 T 5 8 E 1   E
 141  1681  3 6 0 7 4 2 T 9 8 5 1 E   -
 142  1693  3 0 6 4 7 T 2 8 9 5 E 1   10
 143  1705  0 3 4 6 T 7 8 2 5 9 1 E   -
 144  1717  3 0 6 4 7 T 2 8 5 1 9 E   9
 145  1729  0 3 4 6 T 7 8 2 1 5 E 9   -
 146  1741  0 4 3 T 6 8 7 2 5 1 9 E   18
 147  1753  4 0 T 3 8 6 2 7 1 5 E 9   -
 148  1765  0 4 3 T 6 8 2 1 7 5 9 E   70
 149  1777  4 0 T 3 8 6 1 2 5 7 E 9   -
 150  1789  4 T 0 8 3 6 2 1 5 E 7 9   169
 151  1801  T 4 8 0 6 3 1 2 E 5 9 7   -
 152  1813  4 T 0 8 6 1 3 2 5 E 7 9   58
 153  1825  T 4 8 0 1 6 2 3 E 5 9 7   -
 154  1837  T 8 4 0 6 1 2 E 3 9 5 7   147
 155  1849  8 T 0 4 1 6 E 2 9 3 7 5   -
 156  1861  T 8 0 1 4 6 2 E 3 9 5 7   36
 157  1873  8 T 1 0 6 4 E 2 9 3 7 5   -
 158  1885  8 T 0 1 6 E 4 9 2 7 3 5   125
 159  1897  T 8 1 0 E 6 9 4 7 2 5 3   -
 160  1909  T 1 8 0 6 E 4 9 2 7 3 5   14
 161  1921  1 T 0 8 E 6 9 4 7 2 5 3   -
 162  1933  T 1 0 E 8 9 6 7 4 5 2 3   3
 163  1945  1 T E 0 9 8 7 6 5 4 3 2   -
 164  1957  1 E T 0 8 9 6 7 4 5 2 3   14
 165  1969  E 1 0 T 9 8 7 6 5 4 3 2   -
 166  1981  1 E 0 9 T 7 8 5 6 3 4 2   3
 167  1993  E 1 9 0 7 T 5 8 3 6 2 4   -
 168  2005  E 9 1 0 T 7 8 5 6 3 4 2   14
 169  2017  9 E 0 1 7 T 5 8 3 6 2 4   -
 170  2029  9 E 1 0 7 5 T 3 8 2 6 4   125
 171  2041  E 9 0 1 5 7 3 T 2 8 4 6   -
 172  2053  9 E 0 5 1 7 T 3 8 2 6 4   36
 173  2065  E 9 0 5 7 1 3 T 2 8 4 6   34
 174  2077  E 5 9 0 1 7 3 2 T 4 8 6   ?
 175  2089  5 E 0 9 7 1 2 3 4 T 6 8   -
 176  2101  E 5 9 0 7 2 1 3 T 4 8 6   58
 177  2113  5 E 0 9 2 7 3 1 4 T 6 8   -
 178  2125  5 0 E 9 7 2 1 3 4 6 T 8   149
 179  2137  0 5 E 7 2 9 3 1 6 4 8 T   ?
 180  2149  5 0 E 2 9 7 3 6 1 4 T 8   ?
 181  2161  0 5 E 2 7 9 6 3 4 1 8 T   34
 182  2173  0 2 5 7 E 9 6 3 1 4 T 8   ?
 183  2185  2 0 7 5 6 E 3 9 4 1 8 T   ?
 184  2197  0 2 5 7 E 6 9 3 4 8 1 T   9
 185  2209  2 0 7 5 6 E 3 9 8 4 T 1   -
 186  2221  2 7 0 6 5 3 E 9 8 4 1 T   1890
 187  2233  7 2 6 0 3 5 8 E 4 9 T 1   ?
 188  2245  2 7 0 6 5 3 E 8 9 4 T 1   E
 189  2257  7 2 6 0 3 5 8 E 4 9 1 T   -
 190  2269  7 6 2 3 0 8 5 4 E 9 T 1   10
 191  2281  6 7 3 2 8 0 4 5 9 E 1 T   -
 192  2293  7 6 2 3 0 8 5 4 9 1 E T   9
 193  2305  6 7 3 2 8 0 4 5 1 9 T E   -
