 104  1237  0 5 9 E 6 3 T 7 8 1 4 2   9
 105  1249  5 0 E 9 3 6 7 T 1 8 2 4   -
 106  1261  5 E 0 3 9 7 6 T 8 1 4 2   18
 107  1273  E 5 3 0 7 9 T 6 1 8 2 4   -
 108  1285  5 E 0 3 9 7 T 1 6 8 4 2   70
 109  1297  E 5 3 0 7 9 1 T 8 6 2 4   -
 110  1309  E 3 5 7 0 9 T 1 8 2 6 4   169
 111  1321  3 E 7 5 9 0 1 T 2 8 4 6   -
 112  1333  E 3 5 7 9 1 0 T 8 2 6 4   58
 113  1345  3 E 7 5 1 9 T 0 2 8 4 6   -
 114  1357  3 7 E 5 9 1 T 2 0 4 8 6   147
 115  1369  7 3 5 E 1 9 2 T 4 0 6 8   -
 116  1381  3 7 5 1 E 9 T 2 0 4 8 6   36
 117  1393  7 3 1 5 9 E 2 T 4 0 6 8   -
 118  1405  7 3 5 1 9 2 E 4 T 6 0 8   125
 119  1417  3 7 1 5 2 9 4 E 6 T 8 0   -
 120  1429  3 1 7 5 9 2 E 4 T 6 0 8   14
 121  1441  1 3 5 7 2 9 4 E 6 T 8 0   -
 122  1453  3 1 5 2 7 4 9 6 E 8 T 0   3
 123  1465  1 3 2 5 4 7 6 9 8 E 0 T   -
 124  1477  1 2 3 4 5 6 7 8 9 0 E T   1
 125  1489  1 2 3 4 5 6 7 8 9 0 E T   =
 126  1501  1 2 3 4 5 6 7 8 9 0 E T   =
 127  1513  1 2 3 4 5 6 7 8 9 0 E T   =
 128  1525  1 2 3 4 5 6 7 8 9 0 E T   =
