 105  1249  3 4 5 2 7 9 1 E 6 T 8 0   16
 106  1261  4 3 2 5 7 1 9 6 E 8 T 0   5
 107  1273  4 3 5 2 1 7 6 9 8 E 0 T   12
 108  1285  3 4 2 5 7 1 9 6 E 8 T 0   -
 109  1297  3 2 4 5 1 7 6 9 8 E 0 T   14
 110  1309  2 3 4 1 5 6 7 8 9 0 E T   3
 111  1321  2 3 1 4 6 5 8 7 0 9 T E   12
 112  1333  3 2 4 1 5 6 7 8 9 0 E T   -
 113  1345  2 3 1 4 5 7 6 9 8 E 0 T   5
 114  1357  2 1 3 4 7 5 9 6 E 8 T 0   14
 115  1369  1 2 4 3 5 7 6 9 8 E 0 T   -
 116  1381  2 1 3 4 5 6 7 8 9 0 E T   5
 117  1393  1 2 3 4 6 5 8 7 0 9 T E   34
 118  1405  1 2 3 4 5 6 7 8 9 0 E T   1234
 119  1417  1 2 3 4 5 6 7 8 9 0 E T   =
 120  1429  1 2 3 4 5 6 7 8 9 0 E T   =
 121  1441  1 2 3 4 5 6 7 8 9 0 E T   =
 122  1453  1 2 3 4 5 6 7 8 9 0 E T   =
 123  1465  1 2 3 4 5 6 7 8 9 0 E T   =
 124  1477  1 2 3 4 5 6 7 8 9 0 E T   =
